"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - ANURADHA SHARMA","2 - UMA BHARATI","3 - DR. CHANDRAPAL SINGH YADAV","4 - PRADEEP JAIN ADITYA","5 - ARCHANA","6 - CHINTAMANI","7 - NARESH KUMAR","8 - MAULANA MOHAMMAD","9 - SUNIL MASSEY","10 - KULDEEP KUMAR","11 - TULA RAM","12 - DILSHAD AHMAD","13 - RACHNA SHARMA","14 - RAJENDRA KUMAR","15 - RAM KUMAR ANK SHASTRI","16 - None of the Above","Total Votes Secured"
308,"M S RAJPOOT JUNIOR HIGH SCHOOL PART-4",405,371,0,776,288,206,0,494,494,0,13,246,124,100,3,0,1,1,1,0,0,0,0,1,0,4,494
309,"KASTURBA KANYA INTER COLLEGE PART-1",636,557,0,1193,422,306,0,728,728,0,167,254,175,113,1,0,1,0,0,0,1,0,7,2,2,5,728
310,"KASTURBA KANYA INTER COLLEGE PART-2",823,666,0,1489,561,425,0,986,986,0,83,424,217,245,9,1,1,0,0,0,0,0,0,1,1,4,986
311,"KASTURBA KANYA INTER COLLEGE PART-3",718,615,0,1333,396,280,0,676,676,0,68,163,113,320,2,0,0,0,0,0,0,0,1,4,2,3,676
312,"KASTURBA KANYA INTER COLLEGE PART-4",518,443,0,961,268,187,0,455,455,0,132,101,97,119,0,0,0,0,0,0,0,0,0,0,2,4,455
313,"KASTURBA KANYA INTER COLLEGE PART-5",530,442,0,972,282,225,0,507,507,0,110,111,97,177,5,0,0,1,0,0,0,0,1,1,1,3,507
314,"KASTURBA KANYA INTER COLLEGE PART-6",692,583,0,1275,406,338,0,744,744,0,55,544,74,48,11,0,1,1,0,0,3,0,0,3,2,2,744
315,"KASTURBA KANYA INTER COLLEGE PART-7",580,444,0,1024,334,246,0,580,580,0,44,411,49,58,7,1,0,0,0,2,1,0,1,0,1,5,580
316,"DON BASCO INTER COLLEGE PREMNAGAR NAGRA-1",849,669,0,1518,460,315,0,775,775,0,118,489,49,98,7,1,4,0,1,0,0,0,0,0,2,6,775
317,"DON BASCO INTER COLLEGE PREMNAGAR NAGRA-2",808,641,0,1449,457,350,0,807,807,0,233,385,65,94,9,1,1,1,0,0,3,0,2,4,1,8,807
318,"DON BASCO INTER COLLEGE PREMNAGAR NAGRA-3",732,621,0,1353,432,359,0,791,791,0,392,313,18,50,6,0,0,1,0,0,1,2,0,1,4,3,791
319,"SANT JUIDAS HIGH SCHOOL",894,721,0,1615,509,400,0,909,909,0,255,305,128,195,7,0,1,2,0,0,2,1,1,2,1,9,909
320,"SANT UMAR INTER COLLEGE PART-1",405,355,0,760,226,213,0,439,439,0,32,295,55,50,2,0,0,0,0,0,1,0,1,0,0,3,439
321,"SANT UMAR INTER COLLEGE PART-2",475,376,0,851,280,205,0,485,485,0,82,135,99,161,4,1,0,0,0,0,0,0,0,0,0,3,485
322,"SANT UMAR INTER COLLEGE PART-3",560,477,0,1037,366,259,0,625,625,0,87,196,179,156,3,0,0,0,0,0,0,0,0,0,0,4,625
323,"RISING FLOWER PUBLIC HIGH SCHOOL PRATAPPURA PART-1",474,365,0,839,342,241,0,583,583,0,79,370,31,80,7,0,2,3,0,1,0,0,1,0,1,8,583
324,"RISING FLOWER PUBLIC HIGH SCHOOL PRATAPPURA PART-2",430,378,0,808,295,200,0,495,495,0,52,339,12,73,5,0,0,0,1,0,1,0,2,0,7,3,495
325,"KAMLA BHARTIYA CONVENT SCHOOL NAINAGARH-1",398,334,0,732,269,225,0,494,494,0,163,243,30,34,10,1,2,0,0,0,2,1,2,2,1,3,494
326,"KAMLA BHARTIYA CONVENT SCHOOL NAINAGARH-2",509,432,0,941,441,105,0,546,546,0,96,362,21,53,6,0,2,0,0,1,1,0,0,1,1,2,546
327,"PRATHAM SWATANTRATA SENANI MANGAL PANDEY-1",718,579,0,1297,415,305,0,720,720,0,169,345,74,106,7,1,4,0,0,0,1,0,0,3,4,6,720
328,"PRATHAM SWATANTRATA SENANI MANGAL PANDEY-2",824,642,0,1466,425,331,0,756,756,0,54,543,45,78,3,1,7,1,1,2,1,1,4,1,7,7,756
329,"PRATHAM SWATANTRATA SENANI MANGAL PANDEY-3",544,437,0,981,362,270,0,632,632,0,153,381,31,57,2,0,1,1,1,1,0,0,0,1,1,2,632
330,"NAVEEN PRAGATI JUNIOR HIGH SCHOOL KASAI BABA",477,388,0,865,297,225,0,522,522,0,93,322,25,72,5,1,0,0,0,0,0,0,1,1,2,0,522
331,"SARASWATI GYAN MANDIR MAHAVEERANPURA PART-1",467,379,0,846,324,265,0,589,589,0,226,248,28,69,0,0,2,0,1,2,2,2,0,2,4,3,589
332,"SARASWATI GYAN MANDIR MAHAVEERANPURA PART-2",487,431,0,918,298,231,0,529,529,0,93,292,58,53,8,0,2,0,0,0,0,2,0,1,15,5,529
333,"SARASWATI GYAN MANDIR MAHAVEERANPURA PART-3",837,656,0,1493,522,357,0,879,879,0,183,459,136,68,7,0,4,0,0,0,0,1,3,3,11,4,879
334,"SARASWATI GYAN MANDIR MAHAVEERANPURA PART-4",493,371,0,864,336,257,0,593,593,0,185,309,28,49,2,1,2,0,1,2,0,2,1,2,6,3,593
335,"SARASWATI GYAN MANDIR MAHAVEERANPURA PART-5",502,415,1,918,315,232,0,547,547,0,101,349,39,33,0,0,3,0,2,1,2,1,3,1,9,3,547
336,"PRI SCHOLL GADIYA GAON PART-1",532,431,0,963,416,270,0,686,686,0,60,495,88,19,0,0,4,1,1,0,2,0,1,4,8,3,686
337,"PRI SCHOLL GADIYA GAON PART-2",421,407,0,828,306,274,0,580,580,0,202,244,68,42,4,0,2,1,1,3,0,1,3,3,1,5,580
338,"PRI SCHOOL KANYA GADIYA GAON PART-1",553,480,1,1034,345,327,0,672,672,0,357,169,80,34,1,0,0,2,0,0,2,3,2,2,5,15,672
339,"PRI SCHOOL KANYA GADIYAGAON PART-2",537,417,0,954,307,298,0,605,605,0,143,308,53,84,1,2,0,3,2,1,0,0,3,0,3,2,605
340,"PRI SCHOOL KANYA GADIYAGAON PART-3",464,385,0,849,290,239,0,529,529,0,82,365,20,47,2,1,1,0,0,0,1,1,1,1,6,1,529
341,"DR. B R AMBEDKAR SCIENCE INTER COLLEGE-1",632,508,0,1140,394,293,0,687,687,0,114,476,35,49,6,0,1,1,0,0,0,0,0,0,2,3,687
342,"DR. B R MEMORIAL SCHOOL MAHOVIYA POLIYA-2",372,297,0,669,212,134,0,346,346,0,37,87,87,129,3,0,0,0,0,0,0,0,0,0,1,2,346
343,"B R MEMORIAL SCHOOL MAHOVIYA POLIYA-2",672,553,1,1226,455,333,1,789,789,0,114,412,87,156,2,2,1,1,1,0,0,1,1,3,4,4,789
344,"LITTLE LIFE PUBLIC SCHOOL TIKONIYA-1",390,313,0,703,269,194,0,463,463,0,44,163,84,155,2,0,1,1,1,0,0,1,1,1,1,8,463
345,"LITTLE LIFE PUBLIC SCHOOL TIKONIYA-2",525,428,0,953,323,226,0,549,549,0,42,121,113,268,1,1,0,0,0,0,1,2,0,0,0,0,549
346,"SUBHAS IND. PRI JUNIOR HIGH SCHOOL PULIYA NO.9 PART-1",650,527,0,1177,404,304,0,708,708,0,235,185,69,211,3,0,0,0,0,0,1,0,0,2,0,2,708
347,"SUBHAS IND. PRI JUNIOR HIGH SCHOOL PULIYA NO.9 PART-2",547,466,0,1013,325,229,0,554,554,0,68,280,61,138,3,1,0,0,0,0,0,0,0,0,1,2,554
348,"SUBHAS IND. PRI JUNIOR HIGH SCHOOL PULIYA NO.9 PART-3",631,495,0,1126,376,279,0,655,655,0,111,356,90,85,2,3,0,0,0,0,2,0,1,1,2,2,655
349,"SUBHAS IND. PRI JUNIOR HIGH SCHOOL PULIYA NO.9 PART-4",685,533,0,1218,382,249,0,631,631,0,71,192,187,157,8,0,2,0,1,0,0,1,0,3,5,4,631
350,"SUBHAS IND. PRI JUNIOR HIGH SCHOOL PULIYA NO.9 PART-5",478,423,0,901,318,232,0,550,550,0,68,226,162,78,1,0,0,0,0,0,0,2,0,2,6,5,550
351,"SUBHAS IND. PRI JUNIOR HIGH SCHOOL PULIYA NO.9 PART-6",499,411,1,911,382,303,0,685,685,0,90,428,54,93,4,3,2,1,1,0,0,2,4,0,2,1,685
352,"SUBHAS IND. PRI JUNIOR HIGH SCHOOL PULIYA NO.9 PART-7",375,328,0,703,250,209,0,459,459,0,72,168,107,90,10,1,0,0,1,0,0,0,1,1,2,6,459
353,"PRI SCHOOL HANSARI GIRD PART-1",433,352,0,785,274,212,0,486,486,0,169,194,56,51,1,1,2,1,0,0,1,0,1,0,4,5,486
354,"PRI SCHOOL HANSARI GIRD PART-2",612,468,0,1080,330,219,0,549,549,0,127,255,97,55,1,0,1,0,0,0,0,1,0,2,3,7,549
355,"PRI SCHOOL HANSARI GIRD PART-3",614,413,0,1027,309,250,0,559,559,0,143,217,134,54,2,0,1,0,0,0,0,0,1,0,3,4,559
356,"DR AMBEDKAR PRI SCHOOL HANSARI GIRD PART-1",457,395,0,852,319,266,0,585,585,0,341,148,34,38,7,1,1,0,0,0,1,0,1,2,1,10,585
357,"DR AMBEDKAR PRI SCHOOL HANSARI GIRD PART-2",952,663,0,1615,595,365,0,960,960,0,314,400,135,69,10,1,2,2,3,0,2,0,1,4,7,10,960
358,"SARASWATI GYAN MANDIR GOVIND NAGAR PART-1",645,523,0,1168,357,296,0,653,653,0,224,293,59,59,6,0,1,1,0,0,0,2,1,1,3,3,653
359,"SARASWATI GYAN MANDIR GOVIND NAGAR PART-2",552,498,0,1050,334,296,0,630,630,0,284,216,65,44,6,0,0,1,1,1,0,0,2,1,4,5,630
360,"JUNIOR HIGH SCHOOL ROTARY CLUB PART-1",524,455,0,979,340,280,0,620,620,0,134,342,63,65,5,0,2,0,0,1,0,0,0,0,3,5,620
361,"JUNIOR HIGH SCHOOL ROTARY CLUB PART-2",462,348,0,810,258,177,0,435,435,0,129,188,80,32,1,2,0,0,0,0,0,0,0,1,2,0,435
362,"JUNIOR HIGH SCHOOL ROTARY CLUB PART-3",571,489,0,1060,300,198,0,498,498,0,114,267,59,47,7,0,0,0,0,0,0,0,1,1,1,1,498
363,"PUSHPA CONVENT HIGH SCHOOL PART-1",618,510,0,1128,284,345,0,629,629,0,157,314,54,87,3,0,2,0,1,0,0,1,2,3,1,4,629
364,"PUSHPA CONVENT HIGH SCHOOL PART-2",552,502,0,1054,297,245,0,542,542,0,151,281,45,53,1,0,0,0,0,0,1,0,2,0,3,5,542
365,"PUSHPA CONVENT HIGH SCHOOL PART-3",856,646,0,1502,576,332,0,908,908,0,247,447,105,76,7,1,2,0,0,1,1,1,1,5,7,7,908
366,"KALAWATI INTER COLLEGE RAJGARH PART-1",868,647,1,1516,460,387,0,847,847,0,191,366,203,75,3,0,3,0,0,0,0,0,0,0,3,3,847
367,"KALAWATI INTER COLLEGE RAJGARH PART-2",494,382,0,876,321,218,0,539,539,0,107,204,160,51,3,0,3,1,1,0,1,0,1,2,2,3,539
368,"KALAWATI INTER COLLEGE RAJGARH PART-3",624,478,0,1102,402,260,0,662,662,0,160,247,189,60,2,0,0,0,0,0,1,0,0,0,2,1,662
369,"VILLAGE INTER COLLEGE BIJAULI PART-1",694,532,0,1226,390,302,0,692,692,0,190,292,135,58,3,1,1,1,1,0,1,0,0,1,0,8,692
370,"VILLAGE INTER COLLEGE BIJAULI PART-2",669,506,0,1175,399,287,0,686,686,0,138,300,162,67,10,2,0,0,0,1,0,0,2,0,1,3,686
371,"SHYAMKARAN ENGG COLLEGE POLICE CHOWKI KE SAMNE-1",950,696,0,1646,531,343,0,874,874,0,130,449,246,26,2,1,5,1,2,0,1,1,1,5,0,4,874
372,"PRI SCHOOL KANYA BIJAULI",619,526,0,1145,496,362,0,858,858,0,35,569,195,38,1,1,6,3,0,1,1,0,3,1,2,2,858
373,"PRI SCHOOL BALAK BIJOLI PART-1",517,466,0,983,367,348,0,715,715,0,31,382,233,43,2,1,1,1,0,1,2,0,2,6,4,6,715
374,"PRI SCHOOL BALAK BIJOLI PART-2",557,497,0,1054,430,345,0,775,775,0,30,489,208,24,6,1,1,2,0,1,0,1,2,1,3,6,775
375,"PRI SCHOOL SHRINAGAR PART-1",538,409,0,947,379,311,0,690,690,0,305,215,124,12,0,0,3,1,0,0,0,0,5,3,14,8,690
376,"PRI SCHOOL SIMRAHA PART-1",658,546,0,1204,400,326,0,726,726,0,185,393,62,51,5,1,5,1,0,2,0,4,0,0,8,9,726
377,"PRI SCHOOL SIMRAHA PART-2",651,525,0,1176,485,316,0,801,801,0,17,518,182,46,0,2,4,2,2,1,4,2,3,3,8,7,801
378,"PRI SCHOOL SINGARA",773,634,0,1407,535,385,0,920,920,0,29,568,220,65,1,1,3,1,2,2,2,2,6,2,9,7,920
379,"PRI SCHOOL KHIRAKPATTI PART-1",823,652,0,1475,492,354,0,846,846,0,378,325,57,52,1,1,2,1,1,3,2,2,4,3,3,11,846
380,"PRI SCHOOL KHIRAKPATTI PART-2",783,628,0,1411,432,338,0,770,770,0,276,313,116,41,3,1,0,0,2,2,1,0,4,1,3,7,770
381,"EKTA PUBLIC SCHOOL BHATTAGAON PART-1",924,596,0,1520,457,348,0,805,805,0,229,288,172,90,7,0,4,1,1,1,1,1,0,1,6,3,805
382,"EKTA PUBLIC SCHOOL BHATTAGAON PART-2",773,585,0,1358,421,288,0,709,709,0,255,266,91,82,3,1,0,1,1,1,0,0,1,0,4,3,709
383,"PRI SCHOOL BHAGVANTPURA PART-1",535,444,0,979,448,307,0,755,755,0,63,261,395,15,1,0,2,0,1,2,0,0,1,2,5,7,755
384,"PRI SCHOOL BHAGVANTPURA PART-2",526,496,0,1022,409,288,0,697,697,0,267,230,158,12,2,3,0,3,1,0,1,1,1,3,4,11,697
