"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - ABHISHEK MISRA","2 - NAKUL DUBEY","3 - RAJ NATH SINGH","4 - PROF. RITA BAHUGUNA JOSHI","5 - SYED JAVED AHMED JAFRI","6 - TARA PATKAR","7 - NAND KUMAR LODHI RAJPOOT","8 - RABI DUBEY","9 - RAJ KUMAR SINGH","10 - RADHA KRISHNAN","11 - RAMPHAL RAWAT","12 - VIJAY BAHADUR SINGH","13 - SHISHU PAL YADAV","14 - MOHD. SARWAR MALIK","15 - SUNIL SINGH","16 - SUMAN VERMA","17 - SANJEEV MEHROTRA ALIAS PIKKU BHAI","18 - HARI RAM ALIAS HARIBHAI PATEL","19 - SYED ALI HUSAIN","20 - ASOK PANDE","21 - ADARSH SHASTRI","22 - GHANSHYAM SINGH","23 - PADAM CHANDRA GUPTA","24 - MANOJ SINGH","25 - YOGESH CHANDRA BHATT","26 - RAJEEV RANJAN TIWARI ALIAS RAJ BEHARI","27 - VINAY PRAKASH MISHRA","28 - SHAILENDRA SINGH YADAV","29 - SUBHASH CHANDRA LEHRI","30 - None of the Above","Total Votes Secured"
41,"SENT MERRY PUBLIC SCHOOL PARA ROOM NO-8",1152,867,0,2019,244,167,0,411,378,0,18,107,211,47,21,0,0,0,0,0,0,0,1,0,3,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,411
42,"S.B.N. INTER COLLEGE NARPAT KHERA ROOM NO-1",460,359,0,819,198,122,0,320,294,0,12,19,249,20,6,0,1,0,0,1,0,0,1,2,1,4,0,0,0,0,0,0,0,0,1,1,0,1,0,1,320
43,"S.B.N. INTER COLLEGE NARPAT KHERA ROOM NO-2",681,547,1,1229,374,276,0,650,598,0,16,28,514,62,16,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,1,0,2,0,1,0,2,650
44,"S.B.N. INTER COLLEGE NARPAT KHERA ROOM NO-3",665,494,0,1159,296,175,0,471,433,0,20,39,293,98,9,1,4,0,0,1,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,471
45,"S.B.N. INTER COLLEGE NARPAT KHERA ROOM NO-4",682,557,0,1239,346,258,0,604,556,0,24,63,437,51,18,1,0,0,1,0,1,0,0,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,3,604
46,"S.B.N. INTER COLLEGE NARPAT KHERA ROOM NO-5",650,482,0,1132,288,153,0,441,406,0,61,25,280,52,6,1,0,0,0,0,0,0,0,1,3,1,0,2,1,1,0,2,1,0,0,0,1,0,2,1,441
47,"S.B.N. INTER COLLEGE NARPAT KHERA ROOM NO-6",677,509,0,1186,321,203,0,524,482,0,40,34,379,50,5,0,0,1,0,0,0,1,2,3,1,1,2,1,0,0,1,0,0,0,0,1,0,1,0,1,524
48,"S.B.N. INTER COLLEGE NARPAT KHERA ROOM NO-7",505,369,0,874,298,133,0,431,397,0,100,64,214,37,0,2,0,0,1,0,0,0,1,1,1,2,1,0,2,1,0,0,1,2,0,0,0,1,0,0,431
49,"S.B.N. INTER COLLEGE NARPAT KHERA ROOM NO-8",650,560,0,1210,323,186,0,509,468,0,14,85,357,30,2,4,0,1,0,0,1,0,3,0,0,3,0,0,0,2,0,0,2,0,0,0,0,2,1,2,509
50,"S.B.N. INTER COLLEGE NARPAT KHERA ROOM NO-9",700,508,0,1208,351,218,0,569,523,0,18,106,374,51,9,0,1,0,1,0,0,0,1,0,0,3,0,1,0,0,0,1,0,0,0,1,0,0,0,2,569
51,"S.B.N. INTER COLLEGE NARPAT KHERA ROOM NO-11",1434,1272,1,2707,675,549,0,1224,1126,0,76,662,218,209,8,1,1,2,1,2,2,1,2,2,1,9,4,7,0,1,0,0,4,2,1,1,0,1,1,5,1224
52,"S.B.N. INTER COLLEGE NARPAT KHERA ROOM NO-11",674,615,0,1289,328,262,0,590,543,0,58,190,131,180,5,1,0,2,0,2,2,0,2,1,3,3,0,0,0,0,0,0,2,2,1,0,0,1,1,3,590
53,"S.B.N. INTER COLLEGE NARPAT KHERA ROOM NO-12",746,719,0,1465,366,306,0,672,618,0,47,242,189,164,3,2,0,0,0,0,2,0,0,3,2,3,1,2,0,2,0,0,0,3,0,0,0,1,2,4,672
54,"S.B.N. INTER COLLEGE NARPAT KHERA ROOM NO-13",789,578,0,1367,383,255,0,638,587,0,53,156,319,76,5,0,2,0,0,0,0,0,0,5,1,3,0,0,3,0,1,0,2,3,2,0,0,2,0,5,638
55,"PRIMARY KANYA SCHOOL MARDAN KHERA ROOM NO-1",526,433,0,959,333,222,0,555,511,0,169,34,250,69,15,0,0,0,0,3,1,0,1,0,1,3,3,0,0,0,0,0,1,0,0,0,0,0,1,4,555
56,"PRIMARY KANYA SCHOOL MARDAN KHERA ROOM NO-2",387,339,1,727,199,162,0,361,332,0,43,24,208,66,12,1,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,361
57,"PRIMARY KANYA SCHOOL MARDAN KHERA ROOM NO-3",295,217,0,512,149,91,0,240,221,0,22,15,151,48,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,240
58,"RAMESHWAR SCHOOL JALALPUR ROOM NO-1",498,383,0,881,272,207,0,479,441,0,18,41,323,75,17,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,479
59,"RAMESHWAR SCHOOL JALALPUR ROOM NO-2",648,530,0,1178,400,274,0,674,620,0,23,59,466,90,21,0,2,0,0,0,0,0,0,3,0,1,2,1,3,0,0,0,1,0,0,0,0,0,0,2,674
60,"RAMESHWAR SCHOOL JALALPUR ROOM NO-3",710,616,0,1326,394,312,0,706,650,0,49,66,377,167,8,1,0,0,0,4,1,0,0,4,3,4,4,2,1,1,0,1,2,1,3,0,1,1,2,3,706
61,"RAMESHWAR SCHOOL JALALPUR ROOM NO-4",782,679,0,1461,409,300,0,709,652,0,49,43,405,157,17,1,1,1,3,2,0,3,2,1,0,3,2,0,2,1,2,0,2,0,0,1,2,1,1,7,709
62,"RAMESHWAR SCHOOL JALALPUR ROOM NO-5",655,546,0,1201,250,189,0,439,404,0,16,42,299,65,12,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,439
63,"RAMESHWAR SCHOOL JALALPUR ROOM NO-6",655,526,0,1181,379,265,0,644,592,0,33,16,452,109,12,0,1,1,3,1,1,0,1,5,1,0,2,0,1,0,0,0,0,1,1,0,1,0,0,2,644
64,"RAJKUMAR CHILDREN ACEDMY ALAMNAGAR LUCKNOW ROOM NO-1",685,538,0,1223,378,264,0,642,591,0,28,53,418,126,5,1,0,0,0,0,1,0,0,1,1,1,0,0,4,1,0,0,0,0,0,0,0,0,1,1,642
65,"RAJKUMAR CHILDREN ACEDMY ALAMNAGAR LUCKNOW ROOM NO-2",793,623,0,1416,382,276,0,658,605,0,15,72,422,129,10,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,5,658
66,"RAJKUMAR CHILDREN ACEDMY ALAMNAGAR LUCKNOW ROOM NO-3",489,391,0,880,263,172,0,435,400,0,29,9,252,127,5,1,1,1,0,0,1,1,3,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,435
67,"RAJKUMAR CHILDREN ACEDMY ALAMNAGAR LUCKNOW ROOM NO-4",591,450,0,1041,402,249,0,651,599,0,28,36,449,121,6,1,0,0,0,1,0,1,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,651
68,"RAJKUMAR CHILDREN ACEDMY ALAMNAGAR LUCKNOW ROOM NO-5",987,767,0,1754,570,385,0,955,878,0,38,42,636,206,14,0,0,0,2,0,1,1,6,0,1,2,0,0,0,0,1,0,0,0,1,0,0,0,0,4,955
69,"RAJKUMAR CHILDREN ACEDMY ALAMNAGAR LUCKNOW ROOM NO-6",775,564,0,1339,416,278,0,694,638,0,41,146,372,112,11,0,0,0,0,0,1,1,0,0,0,4,0,0,1,0,0,0,2,0,0,0,0,0,0,3,694
70,"RAJKUMAR CHILDREN ACEDMY ALAMNAGAR LUCKNOW ROOM NO-7",732,567,0,1299,374,258,0,632,581,0,63,140,341,75,6,0,0,1,0,0,0,0,0,3,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,632
71,"RAJKUMAR CHILDREN ACEDMY ALAMNAGAR LUCKNOW ROOM NO-8",659,554,0,1213,380,240,0,620,570,0,9,35,420,124,20,0,0,0,1,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,1,3,620
72,"RAJKUMAR CHILDREN ACEDMY ALAMNAGAR LUCKNOW ROOM NO-9",418,337,0,755,254,191,0,445,409,0,28,54,260,88,5,0,0,0,0,0,0,0,0,1,0,2,2,0,0,1,0,1,0,1,0,0,0,0,1,1,445
73,"PRIMARY SCHOOL ALAMNAGAR ROOM NO-1",555,460,0,1015,315,247,0,562,517,0,38,62,256,182,11,1,0,0,1,0,1,0,2,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,4,562
74,"PRIMARY SCHOOL ALAMNAGAR ROOM NO-2",801,621,1,1423,411,258,0,669,615,0,29,80,397,131,10,1,0,0,0,0,2,0,3,0,0,3,1,1,2,0,0,0,0,2,0,1,0,0,1,5,669
75,"PRIMARY SCHOOL ALAMNAGAR ROOM NO-3",985,726,0,1711,546,344,0,890,819,0,79,94,482,93,113,3,0,1,0,1,1,2,4,2,1,4,1,0,1,0,0,1,1,0,0,0,1,2,1,2,890
76,"KAMLA CONVENT SCHOOL ALAMNAGAR MOHAN ROAD LUCKNOW ROOM NO-1",755,569,0,1324,357,234,0,591,544,0,46,16,219,284,6,0,0,0,2,0,1,1,1,1,1,0,2,1,1,2,0,0,0,2,0,1,0,0,3,1,591
77,"KAMLA CONVENT SCHOOL ALAMNAGAR MOHAN ROAD LUCKNOW ROOM NO-2",690,587,1,1278,415,290,0,705,649,0,27,40,446,161,15,1,0,0,0,0,1,1,2,1,1,2,1,0,0,0,0,0,0,0,1,0,1,0,0,4,705
78,"KAMLA CONVENT SCHOOL ALAMNAGAR MOHAN ROAD LUCKNOW ROOM NO-3",974,714,0,1688,498,300,0,798,734,0,15,99,559,97,6,3,0,0,0,0,1,0,2,3,2,2,0,2,3,0,0,0,0,0,0,0,1,1,0,2,798
79,"AXON MONTESSORY SCHOOL CAMPWELL ROAD HABIBPUR ROOM NO-1",523,373,0,896,285,148,0,433,398,0,19,20,229,151,5,1,0,2,0,0,1,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,433
80,"AXON MONTESSORY SCHOOL CAMPWELL ROAD HABIBPUR ROOM N0-2",489,380,0,869,234,136,0,370,340,0,12,17,115,207,10,0,0,0,0,3,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,370
81,"AXON MONTESSORY SCHOOL CAMPWELL ROAD HABIBPUR ROOM N0-3",440,375,0,815,251,195,0,446,410,0,21,11,81,302,21,2,1,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,446
82,"AXON MONTESSORY SCHOOL CAMPWELL ROAD HABIBPUR ROOM NO-4",626,496,0,1122,313,229,0,542,499,0,31,18,117,353,13,0,0,0,0,0,0,0,0,1,1,2,1,1,1,0,0,0,0,0,0,0,1,0,0,2,542
83,"AXON MONTESSORY SCHOOL CAMPWELL ROAD HABIBPUR ROOM NO-5",569,501,0,1070,367,247,0,614,565,0,43,27,213,290,4,0,0,0,0,0,0,0,0,0,1,3,1,3,5,4,3,0,3,2,0,1,2,1,3,5,614
84,"AXON MONTESSORY SCHOOL CAMPWELL ROAD HABIBPUR ROOM NO-6",843,682,0,1525,411,294,0,705,649,0,63,22,164,436,7,1,0,0,0,0,0,2,0,2,1,3,0,1,0,0,0,0,0,1,0,1,0,0,0,1,705
