"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - JITENDRA KUMAR SINGH BABLU BHAIYA","2 - NIRMAL KHATRI","3 - MITRASEN YADAV","4 - LALLU SINGH","5 - JAI RAM SINGH JAI","6 - NASREEN BANO","7 - MAKASUD ALI","8 - MAYURI TIWARI","9 - RADHIKA PRASAD","10 - RAM JANAM","11 - SHAILENDRA KUMAR SHUKLA","12 - None of the Above","Total Votes Secured"
100,"PS KAURAH",707,616,0,1323,385,339,0,724,713,0,62,111,110,403,4,1,1,6,11,3,2,10,724
101,"PS SIDHARI BAJAR",366,315,0,681,271,205,0,476,450,0,27,27,36,376,2,0,1,1,4,1,0,1,476
102,"PS PAKARPUR",487,431,0,918,289,267,0,556,556,0,223,31,101,175,2,1,2,0,3,5,4,9,556
103,"PS TIKATI",449,358,0,807,269,214,0,483,11,0,29,31,102,299,1,1,9,0,7,3,0,1,483
104,"SHIVPURI INTER COLLEGE KHANDASA-1",666,512,0,1178,297,401,0,698,608,0,76,95,130,353,7,3,2,5,7,6,5,9,698
105,"SHIVPURI INTER COLLEGE KHANDASA-2",251,227,0,478,150,111,0,261,105,0,25,39,38,151,2,0,0,0,1,1,2,2,261
106,"SHIVPURI INTER COLLEGE KHANDASA-3",368,302,0,670,205,159,0,364,364,0,61,26,70,198,2,1,1,2,0,1,1,1,364
107,"PS NAGIPUR",365,298,0,663,209,183,0,392,392,0,15,12,121,208,3,2,0,2,14,7,5,3,392
108,"PS BARAULI",691,579,0,1270,363,332,0,695,405,0,43,81,213,315,6,4,0,4,10,4,4,11,695
109,"JHS RAUTAVAN-1",535,448,0,983,326,258,0,584,584,0,96,22,154,287,1,1,1,8,8,1,0,5,584
110,"JHS RAUTAVAN-2",440,368,0,808,223,170,0,393,122,0,19,11,132,199,4,0,3,3,11,6,2,3,393
111,"PS RAIPUR KATRA(DEVRA)",703,590,0,1293,437,385,0,822,820,0,75,32,305,376,4,1,8,1,9,5,2,4,822
112,"RAM CHARAN INTER COLLEGE GHATAULI- NORTH",603,535,0,1138,330,258,0,588,588,0,63,45,131,314,2,1,3,2,9,3,5,10,588
113,"RAM CHARAN INTER COLLEGE GHATAULI - SOUTH",493,436,0,929,290,262,0,552,550,0,22,37,183,283,3,0,3,4,7,7,1,2,552
114,"PS MITAURA",345,301,0,646,213,180,0,393,197,0,39,9,217,108,1,4,0,1,2,5,2,5,393
115,"PS KALANDARPUR",521,445,0,966,351,239,0,590,576,0,96,54,64,348,1,0,1,2,6,5,2,11,590
116,"PS SARAI DHANETHI",618,535,0,1153,350,316,0,666,666,0,197,25,195,192,3,1,2,6,11,12,4,18,666
117,"PS GOEDI",362,319,0,681,267,240,0,507,507,0,46,8,192,233,1,3,1,3,11,6,1,2,507
118,"PS CHITAURA",397,337,0,734,271,244,0,515,350,0,52,34,112,296,6,2,4,0,4,1,2,2,515
119,"PS MASEDHA",293,252,0,545,169,170,0,339,339,0,87,12,100,134,3,0,0,0,2,1,0,0,339
120,"PS DAFALPUR",295,230,0,525,174,140,0,314,125,0,6,7,99,187,1,3,2,1,6,1,0,1,314
121,"PS BAGHAURA",576,501,0,1077,344,264,0,608,608,0,24,22,104,412,4,0,1,7,20,4,3,7,608
122,"PS KANJI",255,241,0,496,159,172,0,331,290,0,6,19,207,54,0,3,33,0,2,4,1,2,331
123,"PS GADAULI",669,554,0,1223,425,351,0,776,773,0,25,16,484,228,1,0,2,2,3,6,4,5,776
124,"JHS CHAUDHRIPUR",595,497,0,1092,374,304,0,678,675,0,114,20,196,313,4,3,2,3,6,3,3,11,678
125,"PS UMARHAR",541,429,0,970,280,234,0,514,18,0,91,31,187,173,2,2,3,0,8,4,3,10,514
126,"PS BHATPURA GOPALPUR",260,212,0,472,141,112,0,253,201,0,4,15,17,203,2,0,5,1,2,3,0,1,253
127,"PS KATGHARA",584,506,0,1090,327,283,0,610,540,0,58,30,155,339,5,3,3,4,6,3,0,4,610
128,"PS TINDAULI- NORTH",475,417,0,892,270,221,0,491,400,0,99,58,44,259,0,2,15,3,6,2,1,2,491
129,"PS TINDAULI -SOUTH",342,303,0,645,208,180,0,388,388,0,33,15,90,236,3,0,0,1,4,0,2,4,388
130,"PS ITAUNJA",586,502,0,1088,290,319,0,609,609,0,81,231,173,99,3,1,4,3,1,4,2,7,609
131,"PS BIRAULIJHAM",721,643,0,1364,477,421,0,898,898,0,116,33,203,513,7,1,0,2,4,4,2,13,898
132,"PS DHAMTHUA",789,719,0,1508,439,407,0,846,831,0,130,68,249,322,11,6,3,4,7,13,6,27,846
133,"PS AKMA",767,689,0,1456,469,470,0,939,156,0,115,92,218,460,15,2,1,2,7,8,5,14,939
134,"PS SHIVNATHPUR",316,269,0,585,236,182,0,418,418,0,42,88,75,201,1,1,0,4,1,2,1,2,418
135,"RASHTRIYA VIDYA PEETH INTER COLLAGE PITHLA-1",715,624,0,1339,411,316,0,727,727,0,79,89,120,392,6,1,5,5,12,6,2,10,727
136,"RASHTRIYA VIDYA PEETH INTER COLLAGE PITHLA-2",220,210,0,430,127,111,0,238,233,0,43,48,39,99,1,1,0,0,4,0,1,2,238
137,"PS AMAWACHITEN",283,250,0,533,166,146,0,312,312,0,93,26,110,77,1,1,1,0,0,1,1,1,312
138,"PS JORRIYAM I - NORTH",602,518,0,1120,375,313,0,688,688,0,42,105,116,387,6,1,2,5,12,0,2,10,688
139,"PS JORRIYAM I - SOUTH",556,463,0,1019,308,201,0,509,509,0,36,37,93,331,1,3,0,0,4,2,2,0,509
140,"JHS NARENDRANAGAR",715,564,0,1279,280,237,0,517,510,0,60,63,65,317,3,0,1,3,2,0,1,2,517
141,"PS BAVAN I - NORTH",686,573,0,1259,275,349,0,624,624,0,99,115,135,238,3,1,2,5,9,7,4,6,624
142,"PS BAVAN I - SOUTH",720,589,0,1309,472,345,0,817,807,0,151,86,113,415,5,3,2,2,14,7,7,12,817
143,"RAM CHARAN SMARAK INTER COLLAGE KUMARGANJ-1",720,594,0,1314,380,332,0,712,712,0,38,29,269,332,6,2,1,3,17,5,1,9,712
144,"RAM CHARAN SMARAK INTER COLLAGE KUMARGANJ-2",676,522,0,1198,406,232,0,638,629,0,23,40,105,460,2,0,0,3,3,1,0,1,638
145,"RAM CHARAN SMARAK INTER COLLAGE KUMARGANJ-3",578,433,0,1011,318,241,0,559,559,0,5,63,114,364,1,0,2,5,2,1,2,0,559
146,"PS SARURPUR",609,545,0,1154,314,295,0,609,600,0,12,112,165,292,4,0,0,3,8,5,3,5,609
147,"PS SARAIHEMRAJ",356,324,0,680,198,213,0,411,409,0,5,19,274,100,4,0,0,2,1,2,1,3,411
148,"PS TENDHA",464,432,0,896,255,264,0,519,496,0,12,13,158,310,1,0,2,8,6,1,0,8,519
149,"PS TENDHA EXTRA ROOM",395,333,0,728,210,180,0,390,380,0,32,20,135,192,0,1,0,2,3,1,0,4,390
150,"PS BARAIPARA",399,348,0,747,234,219,0,453,453,0,42,50,125,208,3,1,0,3,6,7,4,4,453
151,"PS ISAULIBHARI",549,487,0,1036,334,296,0,630,628,0,100,7,285,224,2,0,1,0,3,1,2,5,630
152,"PS BALARMAU",690,612,0,1302,411,374,0,785,625,0,100,320,85,237,3,1,2,8,6,3,10,10,785
153,"PS PURABGAON",667,600,0,1267,370,372,0,742,742,0,151,50,142,350,5,1,14,9,8,3,3,6,742
154,"PS SIDHAUNA - EAST",811,717,0,1528,440,393,0,833,833,0,114,103,136,411,1,4,0,3,41,4,4,12,833
155,"P S SIDHAUNA WEST",312,299,0,611,183,174,0,357,357,0,57,58,40,184,3,4,1,1,2,1,1,5,357
156,"JHS GOKULA-1",501,479,0,980,248,246,0,494,494,0,85,10,217,166,1,0,0,3,2,2,2,6,494
157,"JHS GOKULA-2",522,486,0,1008,290,270,0,560,532,0,94,49,204,186,2,2,2,3,3,5,1,9,560
158,"JHS GOKULA-3",546,531,0,1077,330,312,0,642,580,0,79,71,203,261,7,2,4,2,2,4,3,4,642
159,"PS NARENDRABHADA",530,510,0,1040,268,293,0,561,561,0,94,68,199,169,6,4,1,3,1,5,2,9,561
160,"PS MARUIGANESHPUR",531,480,0,1011,343,324,0,667,667,0,53,62,305,235,2,1,0,1,0,1,1,6,667
161,"PS KHARIYAUNA",400,350,0,750,213,208,0,421,410,0,178,21,74,128,4,0,0,5,6,1,1,3,421
162,"JANTA INTER COLLEGE HANUMANGANJ CHILBILI NEW BUILDING",285,249,0,534,174,164,0,338,338,0,47,11,105,159,0,1,1,2,3,2,4,3,338
163,"PS GANESHPUR",543,482,0,1025,324,316,0,640,626,0,81,13,241,281,5,1,1,2,4,2,2,7,640
164,"PS REVNA - EAST",736,625,0,1361,377,352,0,729,726,0,60,69,177,390,4,5,3,2,12,3,0,4,729
165,"PS REVNA - WEST",468,396,0,864,232,206,0,438,54,0,34,40,155,177,9,3,5,0,4,4,2,5,438
166,"PS REVNA - EXTRA ROOM",377,316,0,693,182,165,0,347,171,0,26,36,116,154,2,1,0,0,5,1,1,5,347
167,"PS DEVGIRI FIRST",723,657,0,1380,390,380,0,770,755,0,61,49,365,262,3,0,1,4,5,6,3,11,770
168,"PS AHARAN SUVANSH - NORTH",704,639,0,1343,402,382,0,784,784,0,43,32,340,325,6,1,0,2,13,7,4,11,784
169,"PS AHARAN SUVANSH - SOUTH",512,469,1,982,286,268,0,554,552,0,18,50,225,242,2,1,0,2,2,3,3,6,554
170,"PS BHITARI",498,466,0,964,376,318,0,694,465,0,43,15,549,60,2,2,1,4,4,4,4,6,694
171,"PS PURE KHIRAI (KHARBHARIYA)",336,308,0,644,210,208,0,418,418,0,26,11,244,119,0,2,1,5,1,4,0,5,418
172,"KISAN VIDYALAY INTER COLLEGE KALYANPUR KEVTANI",335,287,0,622,194,183,0,377,375,0,46,7,207,106,2,1,0,2,2,0,0,4,377
173,"PS DEVGIRI PALIA- NORTH",534,505,0,1039,353,339,0,692,3,0,70,39,270,291,2,0,0,3,7,3,1,6,692
174,"PS DEVGIR PALIA- SOUTH",377,317,0,694,249,199,0,448,448,0,12,19,134,271,3,0,1,0,5,0,2,1,448
175,"PS MOHANAWA",195,184,0,379,130,136,0,266,266,0,180,13,35,34,0,1,0,0,2,1,0,0,266
176,"PS HARDOIYA EAST",655,620,0,1275,306,405,0,711,701,0,149,27,301,204,3,3,1,4,9,2,3,5,711
177,"PS HARDOIYA - WEST",660,636,0,1296,409,453,0,862,859,0,192,55,346,238,2,0,3,7,6,5,5,3,862
178,"PS GIRDHARAMAU",341,293,0,634,226,197,0,423,423,0,56,10,171,177,4,0,0,1,1,1,0,2,423
179,"JHS NIMARI PILAI ROOM NO.-1",713,676,0,1389,451,398,0,849,849,0,81,24,413,290,3,3,0,4,9,6,7,9,849
180,"JHS NIMARI PILAI ROOM NO.-2",745,682,0,1427,457,396,0,853,833,0,82,53,334,364,3,0,1,3,4,2,0,7,853
181,"JHS NIMARI PILAI ROOM NO.-3",437,406,0,843,203,211,0,414,413,0,82,28,157,136,3,0,0,0,2,2,1,3,414
182,"PS GHATAMPUR",376,339,0,715,203,220,0,423,411,0,98,9,112,196,1,1,0,3,2,1,0,0,423
183,"PS DHANETHUVA",653,546,0,1199,340,301,0,641,641,0,66,125,240,173,4,16,0,0,1,5,6,5,641
184,"PS HISAMUDDINPUR - EAST",593,538,0,1131,297,311,0,608,607,0,94,44,199,234,5,0,1,3,10,1,3,14,608
185,"PS HISAMUDDINPUR - WEST",579,540,0,1119,280,276,0,556,556,0,39,72,185,237,1,0,1,3,3,5,1,9,556
186,"SARVODAYA INTER COLLEGE RAMGANJ",496,417,0,913,265,219,0,484,461,0,16,149,52,245,3,3,2,1,5,2,1,5,484
187,"PS DHANAICHA",796,711,0,1507,471,371,0,842,840,0,94,205,389,112,1,1,6,5,5,8,6,10,842
188,"PS UDUI",564,460,0,1024,339,296,0,635,631,0,144,28,137,299,3,2,0,1,7,3,2,9,635
189,"DARBARI LAL JANSAHYOGI INTER COLLEGE KALUWAMAU ANJRAULI-1",532,439,0,971,268,233,0,501,380,0,171,29,123,168,1,1,0,2,1,1,0,4,501
190,"DARBARI LAL JANSAHYOGI INTER COLLEGE KALUWAMAU ANJRAULI-2",515,450,0,965,284,249,0,533,533,0,111,37,103,232,4,3,5,5,9,5,2,17,533
