"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - TUFANI","2 - TUFANI NISHAD","3 - BHOLANATH ALIAS B.P. SAROJ","4 - RAM CHARITRA NISHAD","5 - SUBAS CHANDRA","6 - RAJ ALIAS VIRENDRA KUMAR SONKAR","7 - RAJESH","8 - LALJI","9 - SIKANDAR","10 - SURESH GAUTAM","11 - HARI","12 - OMPRAKASH ALIAS AMBEDKAR","13 - RAJESH SONKAR","14 - SHRAVAN KUMAR PASWAN","15 - HARINATH","16 - None of the Above","Total Votes Secured"
84,"P S RAIYA",586,438,0,1024,344,237,0,581,581,0,80,10,78,393,8,0,1,0,0,1,1,2,0,2,0,5,581
85,"P S RAIYA",681,576,0,1257,368,353,0,721,178,0,146,21,271,221,22,4,1,4,2,1,1,2,5,6,10,4,721
86,"R I COLLEGE PRATAPGANJ",616,484,0,1100,364,306,0,670,207,0,229,17,24,362,15,8,8,0,0,1,0,0,0,1,2,3,670
87,"P S SARAIYA",471,404,0,875,218,218,0,436,36,0,115,16,168,116,7,3,0,0,0,0,0,1,3,4,2,1,436
88,"P S SARAIYA",293,220,0,513,131,109,0,240,239,0,109,6,42,77,4,0,0,0,0,0,0,0,0,0,1,1,240
89,"P S MALSIL NORTH SIDE",621,447,0,1068,227,189,0,416,415,0,85,42,84,178,9,4,0,1,0,0,4,0,2,0,1,6,416
90,"P S MALSIL SOUTH SIDE",863,693,0,1556,299,355,0,654,427,0,132,13,405,89,1,4,1,0,1,1,0,0,2,1,4,0,654
91,"JANTA JANARDAN I C MEHANDI",688,551,0,1239,307,286,0,593,593,0,404,9,71,90,3,8,1,0,0,0,0,1,1,1,2,2,593
92,"JANTA JANARDAN I C MEHANDI",234,211,0,445,124,122,0,246,246,0,61,2,144,27,2,3,0,1,0,0,0,1,1,2,0,2,246
93,"P S SEURA",719,602,0,1321,333,329,0,662,600,0,121,23,200,267,19,1,2,0,3,1,1,1,7,4,6,6,662
94,"P S GAHANI",502,412,0,914,204,217,0,421,10,0,93,9,62,243,5,3,0,0,0,0,1,2,0,2,0,1,421
95,"P S GAHANI",377,284,0,661,164,189,0,353,17,0,10,14,9,290,15,9,0,0,0,0,1,1,0,4,0,0,353
96,"P S KASNAHI",496,402,1,899,219,182,0,401,350,0,298,10,15,69,4,0,0,0,0,1,0,0,1,0,2,1,401
97,"P S KASNAHI",457,397,0,854,234,176,0,410,410,0,91,5,145,157,3,0,0,0,0,2,1,1,1,0,0,4,410
98,"JHS KUDA",487,425,0,912,257,221,0,478,461,0,160,11,40,244,12,1,0,1,1,1,1,2,1,2,1,0,478
99,"JHS KUDA",391,319,0,710,286,195,0,481,50,0,414,1,9,46,5,3,0,0,0,0,1,0,0,0,1,1,481
100,"P S NIZAMUDDINPUR",762,659,0,1421,361,359,0,720,320,0,177,46,184,272,13,7,0,3,2,1,0,0,0,3,3,9,720
101,"P S PAHSANA",731,624,0,1355,420,305,0,725,725,0,152,6,271,255,14,1,0,0,0,1,2,1,3,9,3,7,725
102,"P S ARUAWAN",803,700,0,1503,412,399,0,811,8,0,109,19,351,263,20,1,2,3,0,1,3,2,5,18,6,8,811
103,"UMV GOHAKA EAST SIDE",528,398,0,926,189,185,0,374,374,0,3,17,163,169,7,0,1,0,0,1,0,0,0,4,2,7,374
104,"UMV GOHAKA EAST SIDE",598,483,0,1081,238,199,0,437,437,0,177,22,76,129,12,1,0,0,0,1,3,3,3,3,6,1,437
105,"P S HATIYA",356,299,0,655,155,175,0,330,184,0,167,5,66,71,5,1,0,0,1,0,2,0,1,7,0,4,330
106,"P S RAMPUR",339,239,0,578,193,142,0,335,15,0,6,7,62,252,2,4,1,0,0,0,0,0,0,1,0,0,335
107,"P S PAUHA EAST SIDE",510,456,0,966,301,219,0,520,140,0,101,11,95,275,14,6,0,1,1,0,0,0,4,0,3,9,520
108,"P S PAUHA WEST SIDE",270,252,0,522,146,122,0,268,265,0,54,0,56,144,6,0,0,0,1,0,0,0,0,1,2,4,268
109,"P S KHAJURI",451,357,0,808,147,276,0,423,23,0,108,7,147,151,5,0,0,0,0,1,1,0,0,0,2,1,423
110,"P S SARAWA EAST SIDE",721,646,0,1367,318,347,0,665,663,0,159,12,280,136,15,14,0,1,5,1,1,3,5,9,8,16,665
111,"P S SARAWA WEST SIDE",745,704,0,1449,337,409,0,746,742,0,163,13,169,339,12,21,4,0,1,2,1,1,3,4,7,6,746
112,"P S DIYANVA",451,363,0,814,219,193,0,412,183,0,21,22,25,307,13,7,2,1,0,0,2,4,2,3,0,3,412
113,"P S DIYANVA EAST SIDE",207,168,0,375,96,78,0,174,104,0,31,2,23,116,0,0,0,0,1,0,0,0,1,0,0,0,174
114,"P S CHAK ENGLISH BELAUNA KHURD",270,232,0,502,108,112,0,220,217,0,10,10,108,64,8,5,1,2,1,0,0,1,1,0,3,6,220
115,"P S KHARUAWA EAST SIDE",734,587,0,1321,348,324,0,672,53,0,87,5,264,278,15,3,0,0,3,0,1,0,4,6,1,5,672
116,"P S KHARUAWA WEST SIDE",551,468,0,1019,305,292,0,597,297,0,337,3,196,45,2,0,0,0,0,1,0,1,2,1,8,1,597
117,"P S BAMI NORTH SIDE",728,596,0,1324,380,378,0,758,100,0,56,9,278,394,15,0,0,0,0,0,0,1,0,2,1,2,758
118,"P S BAMI SOUTH SIDE",367,260,0,627,162,128,0,290,90,0,36,5,76,163,4,3,0,0,0,0,0,1,0,1,0,1,290
119,"P S MAHAPUR",445,346,0,791,197,168,0,365,341,0,40,4,70,224,14,1,1,0,1,1,0,1,0,2,2,4,365
120,"P S CHITAON EAST SIDE",695,580,0,1275,304,282,0,586,500,0,141,21,155,234,9,5,2,1,0,0,0,1,2,7,5,3,586
121,"P S CHITAON WEST SIDE",463,413,0,876,156,244,0,400,400,0,158,7,81,127,7,1,0,0,1,1,2,1,1,5,4,4,400
122,"P S BHATEVARA",456,359,0,815,215,183,0,398,381,0,50,3,147,170,4,6,0,0,1,3,2,0,2,5,3,2,398
123,"P S BHATEARA",419,386,0,805,211,217,0,428,381,0,84,10,109,187,23,3,0,0,3,2,0,0,0,3,0,4,428
124,"P S ADARI",494,406,0,900,221,183,0,404,100,0,112,1,54,211,14,1,0,1,0,2,0,2,2,1,2,1,404
125,"P S DABHIYA",356,280,0,636,185,171,0,356,125,0,159,8,13,156,5,0,0,0,0,1,0,1,1,3,1,8,356
126,"P S JAGDISHPUR NORTH SIDE",726,558,0,1284,430,341,0,771,71,0,31,3,146,553,20,2,0,0,0,1,0,2,3,8,1,1,771
127,"P S JAGDISHPUR NORTH SIDE",84,75,0,159,31,26,0,57,5,0,36,1,1,19,0,0,0,0,0,0,0,0,0,0,0,0,57
128,"P S LASA",501,385,0,886,260,247,0,507,507,0,60,8,237,186,6,1,0,1,0,1,0,1,1,2,1,2,507
129,"P S LASA",460,372,0,832,193,207,0,400,35,0,34,19,214,94,14,2,0,2,2,0,1,2,3,6,2,5,400
130,"P S TILORA NORTH SIDE",859,677,0,1536,455,393,0,848,848,0,128,29,266,389,16,4,0,1,0,0,1,1,1,5,1,6,848
131,"P S TILORA",489,433,0,922,204,246,0,450,450,0,144,5,50,221,8,5,0,1,0,1,2,1,2,5,2,3,450
132,"P S TILORA SOUTH SIDE",357,297,0,654,154,153,0,307,307,0,150,4,111,35,0,0,0,0,0,0,0,0,1,2,1,3,307
133,"P S KARAURA",248,209,0,457,85,111,0,196,30,0,23,4,59,97,5,0,2,0,0,0,0,0,0,3,1,2,196
134,"P S KARAURA",734,633,0,1367,458,269,0,727,34,0,355,13,158,182,9,0,0,0,1,0,0,2,0,0,2,5,727
135,"P S KHARAIYAMAU",411,346,0,757,154,206,0,360,17,0,114,10,99,125,5,0,0,0,0,0,0,0,0,4,1,2,360
136,"P S RAMPUR KALA NORTH SIDE",680,535,0,1215,312,296,0,608,608,0,215,7,125,203,19,2,0,1,0,0,4,1,2,7,6,16,608
137,"P S RAMPUR KALA SOUTH SIDE",651,507,0,1158,303,301,0,604,20,0,36,17,311,214,11,0,0,0,2,0,1,2,0,1,2,7,604
138,"JHS BHATADEEH",662,533,0,1195,214,247,0,461,79,0,95,2,135,218,4,2,0,0,0,0,0,0,0,1,4,0,461
139,"P S SARAIMALIK GADDO",648,594,0,1242,321,288,0,609,9,0,233,11,169,165,5,3,3,1,0,1,1,1,1,2,7,6,609
140,"P S SARAIMALIK GADDO",548,494,0,1042,263,274,0,537,534,0,132,10,170,162,17,8,0,0,1,0,0,1,2,15,6,13,537
141,"SADHAN SAHKARI SAMITI VISHUNPUR",285,229,0,514,152,149,0,301,301,0,31,3,151,98,5,3,0,0,0,0,0,0,1,4,1,4,301
142,"SADHAN SAHKARI SAMITI VISHUNPUR",257,212,0,469,117,127,0,244,244,0,44,9,62,117,3,1,1,0,0,0,0,0,2,5,0,0,244
