"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - DR. ARVIND KUMAR SINGH","2 - ZAFAR ALAM","3 - BIJENDRA SINGH","4 - SATISH KUMAR","5 - AMITA SINGH JAT","6 - DURGESH CHANDRA GAUTAM","7 - DEVANAND","8 - PRADEEP KUMAR","9 - BADSHAH","10 - RAKESH CHANDRA RAWAT","11 - VINOD KUMAR BAGHEL","12 - MOHD. SABIR RAHI","13 - NATTHI LAL SHARMA","14 - SANJAY KUMAR","15 - None of the Above","Total Votes Secured"
69,"MINTO CIRCLE SCHOOL A M U JAMALPUR, R.NO.-3",491,421,0,912,338,237,0,575,547,0,31,449,71,7,0,0,0,0,0,1,0,15,0,0,1,575
70,"MINTO CIRCLE SCHOOL A M U JAMALPUR, R.NO.-4",507,417,0,924,314,209,0,523,265,0,71,401,31,6,1,0,0,0,0,0,0,10,0,1,2,523
71,"MINTO CIRCLE SCHOOL A M U JAMALPUR, R.NO.-5",512,414,0,926,248,160,0,408,368,0,13,335,47,3,0,0,0,0,3,0,1,2,0,1,3,408
72,"MINTO CIRCLE SCHOOL A M U JAMALPUR, R.NO.-6",604,518,0,1122,330,250,0,580,579,0,12,475,65,0,1,0,1,0,0,1,0,22,0,1,2,580
73,"MINTO CIRCLE SCHOOL A M U JAMALPUR, R.NO.-7",503,487,0,990,366,253,0,619,619,0,13,534,57,1,0,0,0,0,0,1,0,10,0,1,2,619
74,"MINTO CIRCLE SCHOOL A M U JAMALPUR, R.NO.-8",715,621,0,1336,427,310,0,737,700,0,30,556,122,11,2,0,1,0,1,1,0,11,0,0,2,737
75,"A B K U M SCHOOL A M U JAMALPUR, R.NO.-1",850,694,0,1544,486,307,0,793,699,0,23,608,90,53,1,1,0,1,0,0,2,11,0,1,2,793
76,"A B K U M SCHOOL A M U JAMALPUR, R.NO.-2",482,441,0,923,278,214,0,492,187,0,48,295,94,26,0,0,0,0,0,0,0,29,0,0,0,492
77,"A B K U M SCHOOL A M U JAMALPUR, R.NO.-3",514,470,1,985,307,267,0,574,532,0,136,320,77,18,3,0,1,0,0,0,0,15,0,0,4,574
78,"A B K U M SCHOOL A M U JAMALPUR, R.NO.-4",531,432,0,963,263,187,0,450,391,0,39,339,41,19,1,0,0,0,0,0,0,10,0,1,0,450
79,"A B K U M SCHOOL A M U JAMALPUR, R.NO.-5",689,599,0,1288,374,279,0,653,650,0,31,507,87,5,0,0,0,0,0,0,0,16,0,1,6,653
80,"A B K U M SCHOOL A M U JAMALPUR, R.NO.-6",633,546,0,1179,331,213,0,544,540,0,26,430,56,8,0,0,0,0,0,1,0,17,2,1,3,544
81,"A B K U M SCHOOL A M U JAMALPUR, R.NO.-7",567,496,0,1063,306,230,0,536,536,0,20,347,138,2,1,0,0,0,0,0,1,22,1,2,2,536
82,"A B K U M SCHOOL A M U JAMALPUR, R.NO.-8",578,513,0,1091,289,237,0,526,526,0,10,379,103,15,0,0,0,0,0,0,1,15,1,0,2,526
83,"A B K U M SCHOOL A M U JAMALPUR, R.NO.-9",703,595,0,1298,468,213,0,681,681,0,18,510,125,3,0,1,0,0,1,0,0,20,1,1,1,681
84,"M R SHERWANI PUBLIC SCHOOL JAMALPUR, R.NO.-1",1025,856,0,1881,511,360,0,871,854,0,37,702,100,7,0,0,1,0,0,1,0,22,0,0,1,871
85,"M R SHERWANI PUBLIC SCHOOL JAMALPUR, R.NO.-2",823,699,1,1523,551,407,0,958,862,0,43,773,121,2,0,0,0,0,2,0,1,13,1,1,1,958
86,"M R SHERWANI PUBLIC SCHOOL JAMALPUR, R.NO.-3",826,659,0,1485,424,331,0,755,739,0,50,574,110,2,0,0,0,0,0,0,0,19,0,0,0,755
87,"BALCK DEL PUBLIC JAMALPUR, R.NO.-1",566,466,0,1032,302,229,0,531,529,0,23,453,31,1,0,0,0,1,0,0,1,17,1,0,3,531
88,"BALCK DEL PUBLIC JAMALPUR, R.NO.-2",614,477,0,1091,401,264,0,665,665,0,29,554,60,5,0,0,1,1,4,0,0,9,0,0,2,665
89,"S T H I PUBLIC SCHOOL JAMALPUR, R.NO.-1",1198,943,0,2141,291,175,0,466,460,0,16,406,20,6,0,0,0,1,0,0,1,10,0,0,6,466
90,"S T H I PUBLIC SCHOOL JAMALPUR, R.NO.-2",1469,1178,1,2648,436,290,0,726,725,0,63,600,40,3,1,0,2,0,0,0,1,10,3,1,2,726
91,"S T H I PUBLIC SCHOOL JAMALPUR, R.NO.-3",1340,1155,0,2495,374,206,0,580,566,0,21,528,19,2,3,2,3,0,0,0,0,0,0,1,1,580
92,"M R SHERWANI PUBLIC SCHOOL JAMALPUR, R.NO.-4",748,633,0,1381,436,307,0,743,738,0,27,651,33,8,0,0,0,0,0,1,0,19,0,2,2,743
93,"M R SHERWANI PUBLIC SCHOOL JAMALPUR, R.NO.-5",772,598,0,1370,435,319,0,754,313,0,24,659,31,23,0,0,2,1,0,0,0,9,1,0,4,754
94,"M R SHERWANI PUBLIC SCHOOL JAMALPUR, R.NO.-6",724,569,0,1293,403,284,0,687,299,0,42,595,17,13,0,0,1,0,0,1,0,13,2,1,2,687
95,"A M U BLIND OF SCHOOL KILA ROAD, R.NO.-1",760,658,0,1418,381,367,0,748,620,0,40,572,85,14,0,0,1,0,0,1,1,29,0,1,4,748
96,"WILD LIFE CENTRE A M U KILA ROAD, R.NO.-1",1062,886,0,1948,533,360,0,893,887,0,33,792,33,2,0,0,0,0,2,0,3,25,1,1,1,893
97,"WILD LIFE CENTRE A M U KILA ROAD, R.NO.-2",675,594,0,1269,399,229,0,628,400,0,24,558,20,1,1,0,1,0,0,0,1,21,0,0,1,628
98,"WILD LIFE CENTRE A M U KILA ROAD, R.NO.-3",540,473,0,1013,300,220,0,520,500,0,7,473,17,1,0,0,0,1,1,0,0,19,0,0,1,520
99,"A M U BLIND OF SCHOOL KILA ROAD, R.NO.-2",503,445,0,948,362,294,0,656,395,0,73,334,25,207,2,1,0,1,0,0,0,12,0,1,0,656
100,"A M U BLIND OF SCHOOL KILA ROAD, R.NO.-3",470,379,0,849,304,233,0,537,527,0,214,48,44,218,6,1,0,0,0,1,0,0,2,1,2,537
101,"A M U BLIND OF SCHOOL KILA ROAD, R.NO.-4",588,492,0,1080,364,255,0,619,600,0,9,557,40,4,0,0,0,0,1,0,0,6,0,0,2,619
102,"A M U BLIND OF SCHOOL KILA ROAD, R.NO.-5",793,673,0,1466,482,384,0,866,846,0,33,720,85,4,1,0,0,0,0,0,0,19,0,3,1,866
103,"A M U BLIND OF SCHOOL KILA ROAD, R.NO.-6",830,685,1,1516,466,364,0,830,750,0,30,646,96,25,0,1,1,0,0,1,1,16,3,2,8,830
104,"Y K JUNIOR HIGH SCHOOL BHMAULA MAFI, R.NO.-1",439,390,0,829,233,165,0,398,397,0,7,358,24,3,0,0,0,0,0,1,0,2,1,1,1,398
105,"Y K JUNIOR HIGH SCHOOL BHMAULA MAFI, R.NO.-2",464,392,0,856,259,206,0,465,420,0,6,411,30,3,0,0,0,0,0,0,0,13,0,1,1,465
106,"Y K JUNIOR HIGH SCHOOL BHMAULA MAFI, R.NO.-3",595,536,0,1131,345,257,0,602,560,0,26,450,70,34,1,0,0,0,2,0,1,7,0,2,9,602
107,"ADHI. ABHI. PRANTIYA KHAND LO. NI. SECTION ANOOPSHEHAR ROAD, R.NO.-1",597,497,0,1094,285,237,0,522,522,0,31,336,102,16,1,0,0,0,0,0,0,34,1,0,1,522
108,"ADHI. ABHI. PRANTIYA KHAND LO. NI. SECTION ANOOPSHEHAR ROAD, R.NO.-2",610,558,0,1168,305,253,0,558,556,0,35,341,126,12,1,0,0,0,0,0,0,40,0,0,3,558
109,"SAMUDAYIC KENDRA UACCH SHAKTI KENDRA AKASHWANDI ANOOPSHAHAR, R.NO.-1",629,517,0,1146,408,281,0,689,679,0,49,412,120,80,2,1,0,1,0,0,0,20,0,0,4,689
110,"SAMUDAYIC KENDRA UACCH SHAKTI KENDRA AKASHWANDI ANOOPSHAHAR, R.NO.-2",386,359,0,745,204,179,0,383,327,0,36,238,63,23,0,0,0,0,0,0,1,21,0,0,1,383
111,"SAMUDAYIC KENDRA UACCH SHAKTI KENDRA AKASHWANDI ANOOPSHAHAR, R.NO.-3",807,724,0,1531,434,362,0,796,438,0,29,619,96,27,0,0,1,0,1,0,0,20,0,1,2,796
112,"BASIC PRIMARY SCHOOL POLICE LINE, R.NO.-1",294,242,0,536,201,145,0,346,332,0,39,47,26,216,2,0,0,0,1,0,0,13,2,0,0,346
113,"BASIC PRIMARY SCHOOL POLICE LINE, R.NO.-2",321,291,1,613,217,171,0,388,380,0,22,106,18,238,1,0,0,0,0,0,0,3,0,0,0,388
114,"BASIC PRIMARY SCHOOL POLICE LINE, R.NO.-3",1068,822,0,1890,551,376,0,927,800,0,62,694,84,58,0,0,2,0,4,2,0,15,0,2,4,927
115,"BASIC PRIMARY SCHOOL PULIC LINE, R.NO.-4",461,409,0,870,240,172,0,412,407,0,14,339,26,17,1,1,0,0,0,0,0,8,1,0,5,412
116,"KARYALAY JILA VIDKALAY NIRISHAK NAURANGILAL INTER COLLEGE, R.NO.-1",760,612,0,1372,409,270,0,679,600,0,57,360,69,174,0,3,0,0,1,0,11,2,0,0,2,679
117,"SEWA BHAWAN NAGAR NIGAM KARYALAY NAGAR NIGAM, R.NO.-1",711,583,0,1294,416,321,0,737,450,0,38,12,172,475,2,3,1,0,0,0,0,21,1,0,12,737
118,"SEWA BHAWAN NAGAR NIGAM KARYALAY NAGAR NIGAM, R.NO.-2",549,442,0,991,325,220,0,545,545,0,24,30,56,416,3,4,0,0,0,0,1,6,0,1,4,545
119,"ALIGARH PUBLIC SCHOOL LALDIGGI ROAD, R.NO.-1",387,343,0,730,225,195,0,420,379,0,44,201,46,104,2,1,7,1,0,2,2,8,0,0,2,420
120,"ALIGARH PUBLIC SCHOOL LALDIGGI ROAD, R.NO.-2",451,423,0,874,251,210,0,461,371,0,38,320,65,20,0,0,0,0,0,0,1,11,1,2,3,461
121,"MORDEN PUBLIC SCHOOL MATHURIYA NAGAR BARAULA BYPASS ROAD, R.NO.-1",291,254,0,545,223,197,0,420,361,0,23,3,15,356,1,6,6,0,0,0,0,4,2,2,2,420
122,"PARISHDIY PRIMARY VIDHALYA NAGLA BARAULA, R.NO.-1",411,338,0,749,244,172,0,416,406,0,31,84,23,267,3,0,1,0,0,0,1,2,3,1,0,416
123,"PRISHDIY PRIMARY VIDHALYA NAGLA BARAULA, R.NO.-2",647,558,0,1205,461,383,0,844,829,0,17,41,17,739,3,4,1,0,1,1,1,11,4,3,1,844
124,"D A V INTER COLLEGE G T ROAD, R.NO.-1",341,309,0,650,158,113,0,271,259,0,222,1,5,42,0,0,1,0,0,0,0,0,0,0,0,271
125,"D A V INTER COLLEGE G T ROAD, R.NO.-2",607,531,0,1138,423,310,0,733,649,0,696,15,0,12,1,0,0,1,0,0,0,6,0,0,2,733
126,"D A V INTER COLLEGE G T ROAD, R.NO.-3",773,676,0,1449,530,350,0,880,870,0,286,25,23,493,5,4,3,3,0,0,1,13,7,4,13,880
127,"KISHORE BAL VIDYALAYA AMBEDKAR COLONY CHHAVNI, R.NO.-1",668,569,0,1237,403,352,0,755,695,0,504,2,19,206,2,2,0,1,0,2,0,6,0,0,11,755
128,"KISHORE BAL VIDYALAYA AMBEDKAR COLONY CHHAVNI, R.NO.-2",476,381,0,857,316,237,0,553,480,0,289,20,18,213,2,0,0,0,0,0,0,3,3,1,4,553
129,"JAYDEVI MEMORIAL SCHOOL TIKARAM COLONY CHHAVANI, R.NO.-1",920,814,0,1734,459,374,0,833,824,0,407,8,22,373,1,3,1,1,0,1,2,6,5,0,3,833
130,"JAYDEVI MEMORIAL SCHOOL TIKARAM COLONY CHHAVANI, R.NO.-2",566,488,0,1054,333,270,0,603,422,0,70,7,23,485,0,2,0,0,0,0,1,7,2,1,5,603
131,"JAYDEVI MEMORIAL SCHOOL TIKARAM COLONY CHHAVANI, R.NO.-3",565,503,0,1068,352,279,0,631,626,0,180,18,18,392,0,1,1,1,0,0,0,9,1,2,8,631
