"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - DR.MURLI MANOHAR JOSHI","2 - SALEEM AHMAD","3 - SURENDRA MOHAN AGARWAL","4 - SRIPRAKASH JAISWAL","5 - ANIL AWASTHI","6 - ANAND MEHROTRA","7 - DEVENDRA KUMAR SHARMA","8 - MOHD.NASIR KHAN","9 - DR.NIKHIL GUPTA","10 - MAHMOOD HUSAIN RAHMANI","11 - MOHAMMAD ATEEQ","12 - RAMESH KUMAR GUPTA","13 - VINAYAK RAO TOPE","14 - HIMMAT LAL","15 - ASHOK PASWAN ADVOCATE","16 - KISHOR BAJPAI","17 - PREM CHANDRA PANDEY","18 - BETALAL DIWAKAR","19 - MUZAFFAR HUSAIN KHAN","20 - VISHWANATH KATARIA","21 - KUMARI SARASWATI","22 - None of the Above","Total Votes Secured"
88,"KAUSHALYA DEVI U.M.BALIKA VIDHYALAYA A ROOM NO  6 KIDWAI NAGAR",799,704,0,1503,417,287,0,704,698,0,497,43,13,132,4,0,0,2,1,2,0,0,1,1,2,4,1,0,0,0,0,1,704
89,"KAUSHALYA DEVI U M BALIKA VIDHYALAYA   ROOM NO 7 KIDWAI NAGAR",299,248,0,547,148,90,0,238,226,0,167,7,2,52,1,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,0,238
90,"KAUSHALYA DEVI U M BALIKA VIDHYALAYA   ROOM NO 8 KIDWAI NAGAR",287,261,0,548,171,138,0,309,307,0,222,13,5,57,1,0,0,1,0,1,0,0,0,0,2,1,3,1,1,0,0,1,309
91,"SAMUDAIK KENDRA JUHI GARHHA ROOM NO 1",577,477,0,1054,342,263,0,605,535,0,321,172,5,82,2,1,1,1,0,9,1,0,0,0,1,0,4,2,1,0,0,2,605
92,"VISHNU SHILP KALA VIDHAYALY S. BLOCK JUHI GARHA SHAKTI NAGAR ROOM NO 1",501,436,0,937,325,258,0,583,581,0,450,17,18,93,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,583
93,"G.P.G. VIDHYALAYA  S. BLOCK JUHI HAMIRPUR  RAOD JUHI GARHA ROOM NO 1",470,378,0,848,242,188,0,430,428,0,219,128,3,66,1,1,2,0,0,3,0,1,1,1,0,2,0,0,0,0,1,1,430
94,"G.P.G. VIDHYALAYA  S. BLOCK JUHI HAMIRPUR  RAOD JUHI GARHA ROOM NO 2",492,435,0,927,212,160,0,372,362,0,145,128,11,64,2,0,2,0,1,6,0,0,2,1,2,3,2,2,0,0,0,1,372
95,"G.P.G. VIDHYALAYA  S. BLOCK JUHI HAMIRPUR  RAOD JUHI GARHA ROOM NO 3",818,664,0,1482,390,246,0,636,606,0,388,100,3,115,2,2,1,0,0,4,0,0,0,2,4,1,7,1,1,3,2,0,636
96,"G.P.G. VIDHYALAYA  S. BLOCK JUHI HAMIRPUR  RAOD JUHI GARHA ROOM NO 4",638,526,0,1164,414,280,0,694,281,0,410,93,43,114,2,2,1,0,1,5,4,0,0,1,2,5,3,1,1,1,0,5,694
97,"G.P.G. VIDHYALAYA  S. BLOCK JUHI HAMIRPUR  RAOD JUHI GARHA ROOM NO 5",934,730,0,1664,466,297,0,763,755,0,497,152,14,56,4,0,0,0,0,7,1,0,1,0,2,9,3,7,4,2,3,1,763
