"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - KAUSHAL KISHORE","2 - R.K CHAUDHARY","3 - NARENDRA GAUTAM","4 - SUSHILA SAROJ","5 - AMIT RAWAT","6 - OM PRAKASH","7 - GOPAL KANAUJIYA","8 - GAUTAM BHARTI","9 - JAGDISH PRASAD GAUTAM","10 - BRIJLAL","11 - MAHENDRA KUMAR RAWAT","12 - MEENA RAWAT","13 - MEERA DEVI","14 - SANTOSH KUMAR DHARKAR","15 - SUNIL GAUTAM","16 - MAHESH KUMAR","17 - REENA CHAUDHARY","18 - SHATROHANLAL RAWAT","19 - None of the Above","Total Votes Secured"
131,"P.S. TAUKLAPUR",342,283,0,625,214,157,0,371,11,0,134,116,5,82,4,0,1,0,0,0,0,1,2,0,0,1,12,12,1,371
132,"P.S. MUDIYAKAIL",696,536,0,1232,539,374,0,913,1,0,481,171,14,211,2,5,1,1,0,2,2,0,3,6,2,6,4,0,2,913
133,"P.S. SARAIYA",645,574,0,1219,404,335,0,739,5,0,356,211,10,132,2,0,0,1,3,2,1,0,1,3,2,10,5,0,0,739
134,"P.S. DEVRI KAIL",698,552,0,1250,430,302,0,732,584,0,227,252,14,207,4,1,1,1,1,1,2,1,1,6,3,5,1,2,2,732
135,"P.S. MOHAMMADAPUR JHABRA",338,263,0,601,225,184,0,409,409,0,108,225,4,55,1,1,0,3,0,0,1,1,0,2,5,1,0,2,0,409
136,"P.S. RASULAPUR",351,280,0,631,239,175,0,414,364,0,126,173,19,56,7,0,1,1,0,3,0,1,2,3,5,8,7,1,1,414
137,"P.S. PARA",469,377,0,846,348,246,0,594,294,0,106,145,9,322,3,0,0,1,1,0,0,0,0,1,0,0,3,3,0,594
138,"P.S. UMEDAPUR M0  /PARA",277,256,0,533,229,208,0,437,437,0,50,331,0,47,1,0,0,0,0,0,0,0,0,3,0,3,1,0,1,437
139,"J.H.S. ISMAILGANJ  KAMRA NO 1",668,502,0,1170,412,297,0,709,231,0,206,207,5,259,2,1,1,1,0,3,1,1,3,3,3,3,4,4,2,709
140,"J.H.S. ISMAIL GANJ KAMRA NO 2",214,170,0,384,143,110,0,253,211,0,11,114,11,95,2,1,1,1,0,1,0,0,1,0,4,2,2,3,4,253
141,"P.S. KHALEGDHI",499,432,0,931,374,316,0,690,1,0,64,500,16,80,3,0,0,0,1,1,1,3,2,0,5,2,3,6,3,690
142,"P.S. KOTHAVAN",271,252,0,523,182,175,0,357,1,0,124,187,2,27,3,0,2,0,0,0,0,0,0,1,3,3,2,3,0,357
143,"P.S. GANESHAPUR M0  KOTHAVAN",212,189,0,401,171,136,0,307,101,0,24,225,3,43,1,1,1,1,0,0,0,0,0,0,0,3,1,4,0,307
144,"P.S. LOHANGAPUR",324,259,0,583,260,199,0,459,4,0,45,281,7,117,2,0,1,1,0,0,1,0,0,0,0,1,1,1,1,459
145,"P.S. NANDAVAN",268,232,0,500,186,139,0,325,12,0,148,60,15,89,1,0,0,0,2,2,0,0,0,0,1,6,0,1,0,325
