"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - AKHILESH","2 - KASHI NATH SHUKLA","3 - PANKAJ","4 - HARSH VARDHAN","5 - ARAT KHARVAR","6 - KAVILAS","7 - MUMMATAJ","8 - MANGAL LAL","9 - PASHUPATI NATH GUPTA","10 - RADHEYSHYAM","11 - RAMSAMUJH","12 - VIMLESH TRIPATHI","13 - SHIVCHARAN","14 - SHREE AKHILESH KUMAR","15 - AJAYDHAR","16 - ANIL KUMAR SHAHANI","17 - GOVIND DAS","18 - TEJ PRATAP","19 - DAYARAM NISHAD","20 - DINESH KUMAR","21 - DINANATH","22 - RAKESH KUMAR GIRI","23 - RAKESH KUMAR GUPTA","24 - None of the Above","Total Votes Secured"
104,"P.P. PADAULI",632,560,1,1193,353,406,0,759,739,0,82,272,297,91,0,2,1,1,2,0,1,1,0,0,0,0,2,2,2,0,1,0,0,2,759
105,"PANCHAYAT BHAWAN PAUDAULI DACHHIN",329,276,0,605,137,186,0,323,321,0,54,92,79,82,1,0,5,0,0,1,2,1,0,1,1,1,2,0,1,0,0,0,0,0,323
106,"P.P. KHAIRAHAWA DUBE",587,531,1,1119,356,369,0,725,725,0,326,130,160,57,2,1,6,0,1,2,2,0,1,2,1,16,7,5,2,0,0,0,0,4,725
107,"P.P. JHIGATI",664,546,0,1210,372,367,0,739,737,0,283,137,266,10,4,0,7,0,1,0,6,1,3,1,2,5,2,2,4,2,1,0,2,0,739
108,"MUNDARPARASAD INTER KA.BARAGADAWA  K.N1",648,528,0,1176,410,368,0,778,777,0,212,101,345,70,3,2,2,0,1,1,4,0,0,4,0,11,2,6,4,1,1,4,1,3,778
109,"MUNDARPARASAD INTER KA.BARAGADAWA  K.N 2",841,694,0,1535,532,427,0,959,850,0,242,141,486,35,1,6,1,1,3,1,1,0,1,4,2,20,5,4,2,1,0,1,0,1,959
110,"MUNDARPARASAD INTER KA.BARAGADAWA  K.N3",650,544,0,1194,412,356,0,768,764,0,141,142,407,17,3,2,3,0,11,1,7,0,2,1,3,20,2,2,0,0,2,1,0,1,768
111,"P.P.PIPARA PURAB",750,631,0,1381,364,408,0,772,633,0,314,96,230,98,1,0,12,1,3,2,1,1,0,2,0,5,0,2,0,0,0,0,0,4,772
112,"P.P. PIPARA PACHIM",711,573,0,1284,364,324,0,688,680,0,253,37,161,162,6,0,9,1,1,1,1,2,3,2,0,12,5,11,7,3,4,3,0,4,688
113,"KA. P.P. PIPARA",598,500,0,1098,282,287,0,569,560,0,187,84,97,140,5,0,2,0,2,0,2,2,1,5,1,7,9,7,3,5,4,2,2,2,569
114,"JU.HA.SCHOOL RAJABARI K.N.1",603,510,0,1113,410,346,0,756,756,0,109,120,458,19,3,3,1,1,1,2,4,1,2,3,1,7,1,7,4,0,1,0,1,7,756
115,"JU.HA.SCHOOL RAJABARI K.N.2",390,341,0,731,219,231,0,450,450,0,171,60,140,34,1,6,0,0,2,1,3,1,1,2,2,11,4,4,1,0,1,2,0,3,450
116,"P.P.RAMGARHAWA NAYA BHAWAN TOLA BHARGAI",765,595,0,1360,431,426,0,857,857,0,425,65,296,19,1,2,1,2,0,1,2,1,3,3,3,14,7,5,1,1,0,1,2,2,857
117,"P.P. SHISHGARH PURAB",691,556,0,1247,404,364,0,768,768,0,405,127,190,12,0,1,4,0,1,0,1,1,1,1,1,1,7,4,5,1,1,2,1,1,768
118,"P.P. SHISHGARH PASCHIM",556,502,0,1058,324,315,0,639,639,0,280,32,302,4,1,9,2,0,3,0,1,1,1,1,0,0,0,0,0,0,0,2,0,0,639
119,"P.P. BHAGATPURAWA",607,514,0,1121,464,301,0,765,765,0,217,192,289,18,0,0,3,0,1,0,2,0,0,2,2,22,4,5,1,0,0,3,0,4,765
120,"P.P.MANGALAPUR PURAB",811,701,0,1512,531,450,0,981,981,0,350,94,455,25,3,0,1,1,1,0,3,1,0,5,1,14,7,10,3,2,0,3,2,0,981
121,"P.P. DEVGHATTI K.N.1",378,320,0,698,267,200,0,467,467,0,163,104,115,17,19,0,6,0,1,0,4,1,2,1,6,18,0,1,1,1,3,0,2,2,467
122,"P.P. DEVGHATTI K.N.2",697,617,0,1314,463,439,0,902,902,0,194,122,518,34,0,1,1,0,2,2,5,0,0,0,2,6,3,2,2,2,2,3,1,0,902
123,"P.P. KOHARGADDI K.N. 1",557,483,0,1040,527,201,0,728,728,0,122,263,169,130,5,2,2,1,0,0,3,3,1,2,2,11,1,5,2,0,1,1,1,1,728
124,"P.P. KOHARGADDI K.N.2",434,411,0,845,286,200,0,486,486,0,134,24,153,91,3,0,1,0,1,1,6,0,1,0,4,57,2,0,1,0,0,3,0,4,486
125,"P.P. PARASAMALIK UTTAR",599,552,0,1151,500,318,0,818,818,0,151,221,383,11,0,2,2,0,1,0,2,3,2,4,4,10,3,5,4,2,1,1,0,6,818
