"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - MULAYAM SINGH YADAV","2 - SHATRUGHAN SINGH CHAUHAN","3 - DR. SANGHMITRA MAURYA","4 - ABU NASIM PATHAN","5 - BABA HARDEV SINGH","6 - SHISHUPAL SINGH","7 - SATENDRA VEER SINGH CHAUHAN","8 - ASHOK KUMAR","9 - ALOK NANDAN","10 - MUKESH KUMAR","11 - MUKESH KUMAR SHAKYA","12 - RAJESHWARI","13 - HAKIM SINGH","14 - None of the Above","Total Votes Secured"
347,"PRIMARY SCHOOL MOHRI SOUTH",702,591,0,1293,470,334,0,804,796,0,534,211,40,2,1,0,0,0,4,0,3,1,2,6,804
348,"PRIMARY SCHOOL CHAMARPUR RUDRAPUR",637,518,0,1155,393,263,0,656,656,0,446,89,109,2,3,0,0,1,1,0,1,0,1,3,656
349,"PRIMARY SCHOOL NAGARIYA",498,397,0,895,354,230,0,584,582,0,391,126,54,2,1,0,0,0,4,0,1,0,0,5,584
350,"PRIMARY SCHOOL KUITA EAST",721,570,0,1291,539,312,0,851,851,0,631,94,105,0,1,2,0,1,6,1,2,2,2,4,851
351,"PRIMARY SCHOOL KUITA WEST",479,358,0,837,317,203,0,520,520,0,497,11,5,0,1,0,0,1,0,0,0,1,0,4,520
352,"PRIMARY SCHOOL NAGLA BHAGE",427,321,0,748,345,245,0,590,590,0,572,12,4,0,0,0,0,0,0,0,1,1,0,0,590
353,"PRIMARY SCHOOL KAUA EAST",536,414,0,950,328,323,0,651,651,0,469,79,66,6,2,0,0,1,4,1,6,4,3,10,651
354,"PRIMARY SCHOOL RAMPURA",632,446,0,1078,319,187,0,506,506,0,394,59,40,0,1,0,1,1,3,0,1,0,1,5,506
355,"JUNIOR HIGH SCHOOL DEEG",349,236,0,585,207,99,0,306,306,0,212,68,15,1,0,0,0,0,1,1,0,0,4,4,306
356,"PRIMARY SCHOOL JAFAR PURA",344,251,0,595,270,172,0,442,439,0,375,46,20,0,0,0,0,0,1,0,0,0,0,0,442
357,"PRIMARY SCHOOL DEENG",373,266,0,639,297,174,0,471,471,0,409,15,40,1,0,0,1,0,1,0,0,0,0,4,471
358,"PRIMARY SCHOOL NAGLA MASOOD",286,187,0,473,144,118,0,262,232,0,196,18,42,1,0,0,0,0,0,0,2,0,1,2,262
359,"KANYA JUNIOR HIGH SCHOOL SAMTHAR EAST",767,618,0,1385,467,255,0,722,720,0,537,104,49,4,5,0,0,0,2,0,3,1,1,16,722
360,"KANYA JUNIOR HIGH SCHOOL SAMTHAR WEST",462,361,0,823,263,153,0,416,415,0,230,83,93,0,2,0,1,0,1,0,0,2,1,3,416
361,"PRIMARY SCHOOL SAMTHAR",607,465,0,1072,313,219,0,532,532,0,372,58,78,1,1,0,1,3,4,0,3,3,1,7,532
362,"PRIMARY SCHOOL NAGLA PACHHAYA",472,342,0,814,191,152,0,343,343,0,117,94,129,0,0,0,0,0,1,0,0,0,0,2,343
363,"PRIMARY SCHOOL AMTHARI",575,423,0,998,359,201,0,560,537,0,439,28,74,0,1,0,0,1,2,2,1,4,3,5,560
364,"PRIMARY SCHOOL AMTHARI",334,252,0,586,222,137,0,359,348,0,273,19,59,0,0,0,1,0,2,0,1,0,0,4,359
365,"PRIMARY SCHOOL RUDOLI",465,362,0,827,362,237,0,599,599,0,521,43,28,1,0,0,0,1,2,0,1,0,1,1,599
366,"PRIMARY SCHOOL KURKHA",447,343,0,790,255,159,0,414,414,0,299,34,69,0,0,0,0,1,2,0,1,3,0,5,414
367,"PRIMARY SCHOOL AGHINI",792,626,0,1418,397,240,0,637,632,0,458,64,92,1,0,1,0,1,2,0,3,3,4,8,637
368,"PRIMARY SCHOOL AGHINI",213,147,0,360,182,106,0,288,288,0,243,6,37,1,0,0,0,0,0,0,1,0,0,0,288
369,"HIGHER SECONDRY SCHOOL KHARAGPUR SARIYA",419,323,0,742,230,162,0,392,391,0,306,42,32,0,0,0,0,0,3,0,1,0,2,6,392
370,"PRIMARY SCHOOL HINDUPUR BAIDPUR",572,435,0,1007,357,251,0,608,596,0,535,28,36,0,1,0,1,0,0,0,1,1,1,4,608
371,"PRIMARY SCHOOL SONTHANA",778,652,0,1430,577,408,0,985,985,0,798,46,127,2,1,0,1,0,0,0,4,5,0,1,985
372,"PRIMARY SCHOOL RAMPURA PACHAR",297,235,0,532,205,140,0,345,333,0,231,29,79,0,1,0,0,0,1,0,1,0,1,2,345
373,"JUNIOR HIGH SCHOOL RAMPURA PACHAR",587,443,0,1030,445,267,0,712,712,0,625,29,47,1,0,1,1,0,2,0,0,1,1,4,712
374,"PRIMARY SCHOOL BHAGWANTPURA VILL. HARKUNJALPUR",754,549,0,1303,479,256,0,735,735,0,441,251,18,1,1,0,0,2,6,2,1,0,2,10,735
375,"PRIMARY SCHOOL PURELA (R.N. 1)",649,540,0,1189,339,168,0,507,507,0,276,130,83,3,1,0,0,0,2,0,1,1,3,7,507
376,"PRIMARY SCHOOL PURELA (R.N. 2)",539,389,0,928,309,196,0,505,500,0,320,124,43,2,10,0,0,0,2,1,1,1,0,1,505
377,"JUNIOR HIGH SCHOOL VISHUNPURA NAGLA GUJRATI",691,526,0,1217,425,251,0,676,666,0,434,112,121,1,2,0,0,1,2,0,1,1,0,1,676
378,"KANNYA JUNIOR HIGH SCHOOL KUDRAIL EAST",550,376,0,926,288,192,0,480,473,0,275,141,41,1,0,0,1,0,4,1,4,0,4,8,480
379,"KANNYA JUNIOR HIGH SCHOOL KUDRAIL WEST",515,403,0,918,307,205,0,512,512,0,408,48,42,1,0,0,0,0,1,0,2,2,3,5,512
380,"PRIMARY SCHOOL KUDRAIL",540,388,0,928,297,155,0,452,451,0,270,62,107,0,2,0,0,0,3,1,3,2,0,2,452
381,"PRIMARY SCHOOL KUDRAIL",229,166,0,395,102,59,0,161,161,0,84,36,35,1,0,0,0,0,0,1,2,0,0,2,161
382,"PRIMARY SCHOOL POORANPURA",646,436,0,1082,452,227,0,679,675,0,583,30,58,1,0,0,0,0,1,0,1,0,1,4,679
383,"PRIMARY SCHOOL BADARIYAPOOTH",215,143,0,358,179,111,0,290,290,0,183,0,98,1,4,0,0,0,0,0,1,1,0,2,290
384,"PRIMARY SCHOOL NAGLA CHATUR",513,359,0,872,269,174,0,443,401,0,291,64,73,0,1,0,1,3,3,1,1,1,1,3,443
385,"PRIMARY SCHOOL NARAYANPUR",222,165,0,387,193,143,0,336,336,0,54,5,269,5,0,0,0,1,0,0,0,2,0,0,336
386,"PRIMARY SCHOOL KESHONPUR",595,388,0,983,350,197,0,547,474,0,438,12,91,1,0,0,0,0,0,0,1,2,1,1,547
387,"PRIMARY SCHOOL KATHOTIYA",447,322,0,769,318,204,0,522,522,0,360,48,105,2,0,0,1,0,0,1,3,0,0,2,522
388,"PRIMARY SCHOOL PATIYAYAT EAST",612,456,0,1068,437,264,0,701,701,0,510,68,103,3,3,0,2,0,0,1,4,0,1,6,701
389,"PRIMARY SCHOOL PATIYAYAT WEST",605,404,0,1009,357,171,0,528,528,0,461,37,11,1,6,0,0,0,4,0,1,1,2,4,528
390,"JUNIOR HIGH SCHOOL TAKHA EAST",638,550,0,1188,422,349,0,771,759,0,639,55,58,0,3,2,1,0,3,1,1,1,3,4,771
391,"JUNIOR HIGH SCHOOL TAKHA WEST",636,510,0,1146,382,174,0,556,551,0,422,57,68,1,1,1,1,0,3,0,1,0,1,0,556
392,"PRIMARY SCHOOL KAYAMPUR ROOM-1",408,297,0,705,248,149,0,397,397,0,349,39,3,0,1,1,0,0,0,0,0,1,0,3,397
393,"PRIMARY SCHOOL KAYAMPUR ROOM-2",534,398,0,932,255,154,0,409,406,0,296,81,18,0,3,0,2,0,1,1,5,0,0,2,409
394,"PRIMARY SCHOOL  NAGLA DULI",845,628,0,1473,543,296,0,839,770,0,808,11,9,0,0,0,0,1,0,0,1,1,0,8,839
395,"PRIMARY SCHOOL NAGLA DHAKAU ROOM-1",548,371,0,919,415,236,0,651,651,0,528,90,17,0,5,0,0,1,1,1,2,0,3,3,651
396,"PRIMARY SCHOOL NAGLA DHAKAU ROOM-2",508,358,0,866,351,179,0,530,512,0,484,13,14,0,12,0,0,0,0,1,1,1,0,4,530
397,"HIGHER SECONDRY SCHOOL MAMAN HIMATPUR EAST",447,365,0,812,248,149,0,397,397,0,236,87,44,3,9,0,0,1,6,0,1,1,4,5,397
398,"HIGHER SECONDRY SCHOOL MAMAN HIMATPUR WEST",270,235,0,505,173,79,0,252,252,0,144,70,30,0,1,0,0,1,1,0,2,3,0,0,252
399,"PRIMARY SCHOOL GANGDASPUR",414,313,0,727,315,186,0,501,501,0,464,14,4,0,13,1,0,0,0,0,1,1,1,2,501
400,"PRIMARY SCHOOL NAGLA MAKEY",700,522,0,1222,390,198,0,588,584,0,304,65,191,0,10,0,0,0,3,0,5,3,2,5,588
401,"PRIMARY SCHOOL SARAWA NORTH",551,480,0,1031,285,172,0,457,455,0,222,181,35,1,1,1,0,2,3,0,2,1,3,5,457
402,"PRIMARY SCHOOL SARAWA MIDDLE",531,400,0,931,289,167,0,456,455,0,314,108,11,0,0,2,1,2,3,1,1,3,6,4,456
403,"PRIMARY SCHOOL BELAHAR",618,499,0,1117,535,365,0,900,900,0,740,87,56,0,4,0,0,0,3,1,0,0,0,9,900
404,"BALWANT SHAHEED I . C. NAGRIYA YADVAN (BELAHAR)",852,660,0,1512,490,218,0,708,708,0,531,103,43,0,20,0,0,0,6,1,0,2,0,2,708
405,"PRIMARY SCHOOL NAGLA DHOKAL SORON",729,517,0,1246,380,193,0,573,570,0,317,204,25,0,0,2,1,2,5,2,1,1,2,11,573
406,"PRIMARY SCHOOL RATAHRI SARAWA",533,415,0,948,425,277,0,702,702,0,413,127,113,25,1,0,1,5,10,1,1,1,1,3,702
407,"PRIMARY SCHOOL NAGARIYA SARAWA",574,399,0,973,245,167,0,412,407,0,248,115,25,1,1,0,1,2,8,2,1,2,5,1,412
408,"PRIMARY SCHOOL KAKRAHI EAST",420,319,0,739,227,159,0,386,386,0,136,79,161,3,0,0,1,0,0,0,1,0,2,3,386
409,"PRIMARY SCHOOL KAKRAHI WEST",566,428,0,994,314,202,0,516,516,0,386,91,29,1,1,0,1,0,1,0,1,1,0,4,516
