"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - ASHOK SINGH","2 - RAKESH PANDEY","3 - RAM MURTI VERMA","4 - HARI OM PANDEY","5 - GOPAL NISHAD","6 - JAHAR SINGH KASHYAP","7 - BALMUKUND DHURIYA","8 - BRIJESH KUMAR","9 - RAM BAHAL VERMA","10 - SREERAM","11 - SURENDRA KUMAR","12 - SURESH KUMAR BAUDDH","13 - TIGER RAMNIHOR PATEL","14 - VINOD KUMAR TIWARI","15 - None of the Above","Total Votes Secured"
109,"PS PARARAM NORTH",539,486,0,1025,260,268,0,528,210,0,14,133,99,255,1,2,1,2,0,0,3,1,9,6,2,528
110,"PS PARARAM SOUTH",251,211,0,462,125,117,0,242,242,0,9,39,72,111,1,1,0,0,1,6,0,1,0,0,1,242
111,"PS  THARIYAKALA ROOM NO. 1",632,534,0,1166,346,268,0,614,498,0,15,139,96,307,2,1,2,3,3,1,2,9,15,8,11,614
112,"PS  THARIYAKALA ROOM NO. 2",579,499,0,1078,296,296,0,592,586,0,23,190,93,263,1,1,3,0,0,1,1,4,9,3,0,592
113,"PS  THARIYAKALA EXTRA ROOM",500,450,0,950,269,278,0,547,546,0,12,162,28,323,1,1,1,1,0,1,1,5,3,0,8,547
114,"PS ANKARI",308,273,0,581,171,172,0,343,340,0,17,61,53,189,3,0,0,3,1,6,0,3,2,1,4,343
115,"ADARSH INTER COLLAGE PACHIYANA EAST",526,444,0,970,302,256,0,558,490,0,20,138,66,312,4,1,1,1,1,1,1,2,1,3,6,558
116,"ADARSH INTER COLLAGE PACHIYANA MIDDLE",701,618,0,1319,374,354,0,728,728,0,16,200,149,341,3,0,2,4,2,0,1,3,2,0,5,728
117,"ADARSH INTER COLLAGE PACHIYANA WEST",776,672,0,1448,440,390,0,830,780,0,26,229,127,418,0,3,1,0,2,4,1,8,5,2,4,830
118,"SHRI ANANT INTER COLLAGE KHAPARADEEH NORTH",709,589,0,1298,361,337,0,698,686,0,25,126,67,458,1,1,0,4,2,2,2,5,1,4,0,698
119,"SHRI ANANT INTER COLLAGE KHAPARADEEH SOUTH",287,251,0,538,153,132,0,285,212,0,10,35,21,207,2,0,0,0,0,0,1,1,4,1,3,285
120,"PS KATAUNA",330,313,0,643,171,189,0,360,250,0,14,70,75,184,0,0,1,0,1,1,0,2,3,3,6,360
121,"PS HAIDERGANJ EAST",578,487,0,1065,352,319,0,671,665,0,37,118,59,432,1,2,1,1,0,0,1,6,4,0,9,671
122,"PS HAIDERGANJ WEST",303,239,0,542,148,140,0,288,288,0,6,71,29,174,2,0,1,1,1,0,2,1,0,0,0,288
123,"PS HAIDERGANJ NEW EAST",466,417,0,883,334,253,0,587,586,0,9,173,42,334,0,0,2,1,0,1,0,6,4,4,11,587
124,"PS HAIDERGANJ NEW WEST",464,403,0,867,288,249,0,537,532,0,13,58,66,379,3,0,3,2,1,1,0,2,4,1,4,537
125,"PS  JANA NORTH",509,434,0,943,223,224,0,447,435,0,7,56,104,246,0,0,0,1,1,2,3,9,5,6,7,447
126,"PS  JANA SOUTH",583,489,0,1072,274,292,0,566,238,0,20,84,113,315,2,2,0,1,1,0,4,11,4,6,3,566
127,"PANCHAYAT BHAWAN JANA",626,538,0,1164,349,310,0,659,657,0,22,62,195,339,2,5,1,7,3,2,1,6,9,1,4,659
128,"KANYA PS JANA ROOM NO. 1",703,611,0,1314,379,318,0,697,281,0,25,120,202,302,5,2,0,2,1,5,3,4,11,7,8,697
129,"KANYA PS JANA ROOM NO. 2",261,249,0,510,135,132,0,267,266,0,8,64,82,106,1,0,0,0,0,0,0,2,0,1,3,267
130,"PS SAHSIPUR",776,638,0,1414,418,406,0,824,820,0,46,77,172,473,6,2,3,2,2,4,9,9,4,9,6,824
131,"PS  BELGARA NORTH",560,514,0,1074,342,328,0,670,668,0,26,106,92,405,2,6,1,2,2,4,0,6,10,2,6,670
132,"PS  BELGARA SOUTH",570,518,0,1088,329,331,0,660,660,0,22,49,164,366,7,8,3,4,0,3,1,6,17,4,6,660
133,"PS KEWLAPUR URF TAKMINGANJ EAST",436,372,0,808,201,201,0,402,382,0,4,58,76,234,2,0,0,1,3,2,1,4,7,2,8,402
134,"PS KEWLAPUR URF TAKMINGANJ WEST",522,442,0,964,260,269,0,529,507,0,24,46,127,278,5,11,2,1,1,6,8,7,11,1,1,529
135,"PS  DHARMPUR MU. PARAGARIBSHAH",246,226,0,472,139,144,0,283,282,0,12,27,109,105,1,1,0,2,0,0,1,0,2,1,22,283
136,"PS  BARA",341,293,0,634,215,197,0,412,412,0,5,29,115,224,7,2,0,1,0,3,3,10,4,3,6,412
