"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - KAMLESH PASWAN","2 - GORAKH PRASAD PASWAN","3 - SADAL PRASAD","4 - SANJAI KUMAR","5 - ARJUN PRASAD RAW","6 - CHANDRIKA PRASAD BHARATI","7 - RAMNARESH","8 - RAMNIVAS  PASWAN","9 - RAMPRIT JAKHMEE","10 - LALCHAND PRASAD JATAV","11 - KUNJAWATI","12 - SHEO SHANKAR","13 - None of the Above","Total Votes Secured"
160,"P.P JARI",260,218,0,478,145,130,0,275,1,0,3,60,207,2,0,0,1,0,0,2,0,0,0,275
161,"P.P SAITALL",544,400,0,944,243,212,0,455,445,0,93,63,256,25,0,0,3,0,1,1,7,1,5,455
162,"P.P LALPUR",554,452,0,1006,233,210,0,443,438,0,230,62,115,14,0,0,2,0,1,7,3,0,9,443
163,"J. H. SCH. LALPUR",653,472,0,1125,264,220,0,484,28,0,92,112,245,15,1,1,0,0,0,4,4,4,6,484
164,"K.P.P BAGHRAI",608,462,0,1070,291,245,0,536,20,0,375,19,88,38,1,0,1,9,1,0,0,1,3,536
165,"K.P.P BAGHRAI",702,529,0,1231,362,274,0,636,1,0,409,12,178,27,0,0,1,0,0,1,2,2,4,636
166,"N.P.P ATRAULI R.N 1",609,443,0,1052,273,247,0,520,1,0,228,37,225,14,0,0,2,2,0,1,2,0,9,520
167,"N.P.P ATRAULI R.N 2",389,290,0,679,236,136,0,372,1,0,137,78,136,10,0,0,2,0,2,3,1,0,3,372
168,"P.P BAHIDADI",670,545,0,1215,267,261,0,528,102,0,130,99,229,46,1,0,4,4,2,1,0,0,12,528
169,"P.P BAHIDADI",440,381,0,821,202,178,0,380,380,0,139,97,96,39,0,0,2,0,0,1,1,1,4,380
170,"P.P DONKHAR UTTAR",781,588,0,1369,345,251,0,596,1,0,359,67,109,25,0,2,0,1,2,7,2,4,18,596
171,"P.P DONKHAR D.",849,601,0,1450,435,290,0,725,120,0,466,99,72,44,1,2,2,7,5,12,3,5,7,725
172,"P.P DONKHAR M.",666,509,0,1175,306,256,0,562,26,0,417,80,31,24,1,0,0,1,1,6,0,1,0,562
173,"P.P MARVATIYA",478,410,0,888,218,199,0,417,403,0,290,45,63,9,2,0,0,1,0,0,0,1,6,417
174,"P.P GARUABABU",656,540,0,1196,309,278,0,587,405,0,205,159,178,23,0,0,0,0,9,1,0,2,10,587
175,"P.P GARUABABU",156,133,0,289,62,61,0,123,3,0,35,20,49,17,0,0,0,0,0,1,0,1,0,123
176,"P.P BALUA URF GOPALPUR",302,259,0,561,158,139,0,297,1,0,188,52,36,10,2,0,2,1,0,2,2,1,1,297
177,"P.P AMARPUR R.N 1",377,280,0,657,166,175,0,341,1,0,92,37,192,9,0,0,1,6,2,0,1,0,1,341
178,"P.P AMARPUR R.N 2",169,123,0,292,77,77,0,154,1,0,13,90,39,8,0,0,0,2,0,0,1,0,1,154
179,"P.P PHULHAR KHURD",638,487,0,1125,253,268,0,521,6,0,293,20,151,28,3,0,5,4,3,7,6,0,1,521
180,"P.P P.B.V JIGINA BHIYAW",808,601,0,1409,385,332,0,717,15,0,307,32,305,38,0,1,4,3,2,4,3,3,15,717
181,"P.P P.B.V JIGINA BHIYAW",233,173,0,406,114,120,0,234,60,0,30,3,193,0,2,0,0,0,3,0,3,0,0,234
182,"P.P KISUNPUR URF BHAGHI",510,407,0,917,336,222,0,558,1,0,437,48,38,26,1,0,0,0,0,2,1,0,5,558
183,"P.P GAURI KHURD",286,217,0,503,104,112,0,216,1,0,99,39,60,9,0,0,0,0,2,3,0,2,2,216
184,"P.P DHOBAULI GAHRWAR",383,292,0,675,265,209,0,474,40,0,331,13,94,19,0,1,1,5,0,2,0,1,7,474
