"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - UPENDRA SINGH","2 - NARAYAN SINGH SUMAN","3 - MAHARAJ SINGH DHANGAR","4 - DR. RAM SHANKAR KATHERIA","5 - ANIL","6 - ANITA","7 - CHANDRA PAL","8 - PREM SINGH","9 - RAMESH","10 - RAVINDRA SINGH","11 - AMAR SINGH","12 - ASHOK KUMAR","13 - OM PRAKASH","14 - DINESH KUMAR GAUTAM","15 - VINOD KUMAR SINGH","16 - None of the Above","Total Votes Secured"
123,"P.P.NAGLA MIRA",402,341,0,743,286,194,0,480,12,0,0,0,469,5,0,0,0,0,0,2,0,1,0,0,0,3,480
124,P.P.SALBAHANPUR,750,641,0,1391,527,396,0,923,100,0,2,79,208,605,7,0,1,0,1,5,4,1,3,2,1,4,923
125,"P.P.JAMON R.N.1",498,377,0,875,254,163,0,417,43,0,14,122,62,215,0,0,1,1,0,0,0,0,0,1,1,0,417
126,"P.P.JAMON R.N.2",383,292,0,675,186,158,0,344,155,0,11,49,7,261,1,1,0,0,2,6,0,0,1,3,0,2,344
127,P.P.KHEDIYA,609,531,0,1140,491,340,0,831,831,0,3,388,228,194,0,0,0,0,0,2,4,0,3,4,4,1,831
128,"P.P.BERNI R.N.1",376,349,0,725,218,147,0,365,39,0,4,131,19,196,2,0,0,1,1,2,3,0,0,4,2,0,365
129,"P.P.BERNI R.N.2",689,590,0,1279,349,272,0,621,621,0,17,184,15,389,4,1,1,0,1,0,2,2,1,3,1,0,621
130,"J.H.S.BERNI R.N.1",426,372,0,798,263,190,0,453,250,0,4,92,13,341,0,0,0,0,0,0,0,0,0,2,0,1,453
131,P.P.KUNJALPUR,388,275,0,663,234,107,0,341,73,0,1,9,237,84,0,0,0,1,2,3,1,0,1,0,0,2,341
132,"P.P.LOHACHA NAHARPUR",753,536,0,1289,556,284,0,840,151,0,7,12,209,595,7,2,0,0,0,1,2,0,2,1,0,2,840
133,"P.P.NAGLA DAYARAM",421,394,0,815,269,197,0,466,245,0,1,25,276,156,0,0,0,0,0,0,2,0,2,1,1,2,466
