"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - AJIT SINGH","2 - GHULAM MOHAMMED","3 - PRASHANT CHAUDHRI","4 - DR. SATYA PAL SINGH","5 - ANIL KUMAR","6 - KRISHAN PAL","7 - YUNUSH","8 - SOMENDAR DHAKA","9 - AJAY PAL","10 - ARVIND","11 - JAIVINDRA KUMAR","12 - NISHANT","13 - RUKSANA","14 - SUBHASH CHAND KASHYAP","15 - None of the Above","Total Votes Secured"
108,"PRI. SCHOOL BUDANA",778,606,0,1384,520,418,0,938,888,0,83,51,142,620,3,1,3,11,2,3,8,0,2,0,9,938
109,"PRI. SCHOOL BUDANA",642,546,0,1188,508,387,0,895,867,0,340,3,28,477,2,1,0,19,0,4,8,3,1,1,8,895
110,"SANT TERESA ACADEMY, BISOKAR ROAD MODINAGAR",627,593,0,1220,439,365,0,804,795,0,83,9,22,646,1,0,0,38,1,1,0,0,0,0,3,804
111,"SANT TERESA ACADEMY, BISOKAR ROAD MODINAGAR",801,661,0,1462,512,384,0,896,550,0,52,36,35,724,5,0,2,29,1,2,2,2,0,1,5,896
112,"SANT TERESA ACADEMY, BISOKAR ROAD MODINAGAR",598,497,0,1095,440,343,0,783,610,0,53,9,72,607,0,0,0,33,0,1,4,0,2,2,0,783
113,"SANT TERESA ACADEMY, BISOKAR ROAD MODINAGAR",780,737,0,1517,519,464,0,983,123,0,68,44,51,756,3,1,1,46,1,0,5,2,1,0,4,983
114,"SANT TERESA ACADEMY, BISOKAR ROAD MODINAGAR",583,467,0,1050,414,300,0,714,79,0,35,22,62,570,2,0,0,14,0,1,4,0,0,0,4,714
115,"SANT TERESA ACADEMY, BISOKAR ROAD MODINAGAR",564,458,0,1022,382,302,0,684,373,0,30,22,56,533,6,2,1,21,2,1,5,1,1,0,3,684
116,"PRI. SCHOOL JILA PARISHAD GOVINDPURI",536,516,0,1052,383,324,0,707,705,0,45,13,34,591,1,0,0,21,0,0,2,0,0,0,0,707
117,"PRI. SCHOOL JILA PARISHAD GOVINDPURI",691,594,0,1285,443,374,0,817,615,0,96,66,56,535,5,0,0,47,1,2,3,1,1,1,3,817
118,"GINNI DEVI GIRL DEGREE COLLEGE MODINAGAR",451,421,0,872,323,262,0,585,434,0,36,3,6,510,2,0,0,23,1,1,2,1,0,0,0,585
119,"GINNI DEVI GIRL DEGREE COLLEGE MODINAGAR",411,395,0,806,264,247,0,511,84,0,37,13,7,417,0,0,0,33,1,0,0,2,0,0,1,511
120,"GINNI DEVI GIRL DEGREE COLLEGE MODINAGAR",722,604,1,1327,446,363,0,809,763,0,41,7,29,678,4,1,0,41,0,2,1,1,0,0,4,809
121,"GINNI DEVI GIRL DEGREE COLLEGE MODINAGAR",545,486,0,1031,382,313,0,695,495,0,53,12,97,494,1,3,1,24,1,1,2,0,0,1,5,695
122,"GINNI DEVI GIRL DEGREE COLLEGE MODINAGAR",315,298,0,613,197,165,0,362,362,0,15,2,60,279,0,0,0,4,0,0,1,0,0,0,1,362
123,"DR. K. N. MODI SCIENCE AND COMMERE COLLEGE",539,455,0,994,415,286,0,701,701,0,22,587,74,2,1,0,0,5,0,0,1,0,0,6,3,701
124,"DR. K. N. MODI SCIENCE AND COMMERE COLLEGE",871,713,0,1584,613,362,0,975,941,0,30,791,25,94,0,2,0,6,2,0,2,4,2,6,11,975
125,"DR. K. N. MODI SCIENCE AND COMMERE COLLEGE",344,471,0,815,138,136,0,274,63,0,33,6,17,196,1,1,0,17,0,0,1,0,0,0,2,274
126,"DR. K. N. MODI SCIENCE AND COMMERE COLLEGE",498,485,0,983,312,278,0,590,490,0,83,68,47,354,2,0,0,25,0,1,3,1,1,0,5,590
127,"DR. K. N. MODI SCIENCE AND COMMERE COLLEGE",515,427,0,942,300,273,0,573,549,0,20,13,37,462,0,0,0,30,0,0,3,2,1,0,5,573
128,"DR. K. N. MODI SCIENCE AND COMMERE COLLEGE",506,454,0,960,369,265,0,634,634,0,17,6,20,544,1,0,1,39,0,1,2,0,0,0,3,634
129,"DR. K. N. MODI SCIENCE AND COMMERE COLLEGE",695,644,0,1339,401,341,0,742,736,0,78,9,7,612,1,1,1,24,0,3,0,3,2,0,1,742
130,"GAYATRI DEVI JUNIOR HIGH SCHOOL MODIPON COLONY",514,488,0,1002,318,247,0,565,50,0,58,2,9,452,2,0,0,31,0,1,3,1,3,1,2,565
131,"GAYATRI DEVI JUNIOR HIGH SCHOOL MODIPON COLONY",491,454,0,945,283,270,0,553,532,0,66,3,23,430,0,1,0,23,1,2,0,0,1,0,3,553
132,"GAYATRI DEVI JUNIOR HIGH SCHOOL MODIPON COLONY",524,472,0,996,359,301,0,660,653,0,41,10,5,560,4,1,1,34,0,0,1,0,0,0,3,660
133,"GAYATRI DEVI JUNIOR HIGH SCHOOL MODIPON COLONY",418,384,1,803,224,170,0,394,394,0,39,4,20,301,1,0,0,28,0,0,0,0,0,0,1,394
134,"GAYATRI DEVI JUNIOR HIGH SCHOOL MODIPON COLONY",632,552,0,1184,363,317,0,680,38,0,98,18,27,497,1,1,0,29,0,1,0,0,0,1,7,680
135,"GAYATRI DEVI JUNIOR HIGH SCHOOL MODIPON COLONY",273,248,0,521,174,151,0,325,80,0,59,4,7,237,0,0,0,15,0,2,0,0,1,0,0,325
136,"TULSI RAM MAHESHWARI GIRL. CO. INTER COLLEGE ADARSH COLLEGE",854,741,0,1595,487,396,0,883,800,0,82,28,24,709,1,0,0,32,0,0,3,1,0,0,3,883
137,"TULSI RAM MAHESHWARI GIRL. CO. INTER COLLEGE ADARSH COLLEGE",490,421,0,911,298,220,0,518,300,0,33,5,12,440,0,0,0,18,1,0,1,2,2,2,2,518
138,"TULSI RAM MAHESHWARI GIRL. CO. INTER COLLEGE ADARSH COLLEGE",408,392,1,801,235,227,0,462,457,0,45,10,10,385,2,0,1,6,0,2,0,0,0,0,1,462
139,"TULSI RAM MAHESHWARI GIRL. CO. INTER COLLEGE ADARSH COLLEGE",682,590,0,1272,397,382,0,779,757,0,105,2,66,581,1,0,0,17,1,0,1,2,0,1,2,779
140,"TULSI RAM MAHESHWARI GIRL. CO. INTER COLLEGE ADARSH COLLEGE",504,443,0,947,333,264,0,597,587,0,50,9,13,494,1,2,1,23,0,0,1,0,0,0,3,597
141,"TULSI RAM MAHESHWARI GIRL. CO. INTER COLLEGE ADARSH COLLEGE",532,479,0,1011,313,234,0,547,547,0,92,5,10,416,0,0,1,22,0,0,1,0,0,0,0,547
142,"TULSI RAM MAHESHWARI GIRL. CO. INTER COLLEGE ADARSH COLLEGE",407,345,0,752,224,170,0,394,266,0,46,10,15,300,2,1,0,17,0,1,0,0,0,0,2,394
143,"TULSI RAM MAHESHWARI GIRL. CO. INTER COLLEGE ADARSH COLLEGE",497,438,0,935,267,226,0,493,475,0,90,13,14,347,1,1,0,24,2,0,0,1,0,0,0,493
144,"TULSI RAM MAHESHWARI GIRL. CO. INTER COLLEGE ADARSH COLLEGE",511,443,0,954,305,241,0,546,268,0,67,12,9,441,1,0,0,15,0,0,0,0,0,1,0,546
145,"TULSI RAM MAHESHWARI GIRL. CO. INTER COLLEGE ADARSH COLLEGE",712,601,0,1313,389,294,0,683,672,0,84,5,7,559,2,1,1,17,0,1,3,1,1,0,1,683
146,"P.B.A.S INTER COLLEGE , MODINAGAR",540,469,0,1009,363,283,0,646,622,0,53,27,53,486,1,0,0,24,0,0,1,1,0,0,0,646
147,"P.B.A.S INTER COLLEGE , MODINAGAR",355,301,0,656,217,175,0,392,311,0,75,6,80,212,0,0,1,17,0,1,0,0,0,0,0,392
148,"P.B.A.S INTER COLLEGE , MODINAGAR",580,500,0,1080,395,293,0,688,446,0,123,9,59,461,2,1,0,25,0,0,0,0,1,1,6,688
149,"P.B.A.S INTER COLLEGE , MODINAGAR",442,359,0,801,277,175,0,452,384,0,50,11,17,347,2,0,0,18,0,0,1,2,2,0,2,452
