"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - KESHRI DEVI","2 - NAND GOPAL GUPTA NANDI","3 - SHYAMA CHARAN GUPTA","4 - KUNWAR REWATI RAMAN SINGH ALIAS MANI","5 - MOHD. AMEEN AZHAR ANSARI","6 - ADARSH SHASTRI","7 - GAYTRI PRASAD","8 - CHANDRA PRAKASH TIWARI ALIAS C. P. TIWARI ADVOCATE","9 - NISTHA DEV MAURYA","10 - MAHENDRA KUMAR","11 - SHYAM SUNDAR DAS","12 - RAJENDRA PRASAD","13 - WAHID ALI ALIAS WAJID ALI","14 - SANJAY ROBINSON","15 - AJEET KUMAR","16 - DRAUPADI DEVI","17 - PARMANAND","18 - BRIJESH KUMAR","19 - SHYAM CHARAN","20 - SHIV PRASAD AGRAHARI","21 - SHAILENDRA KUMAR PRAJAPATI","22 - HIRA LAL","23 - HANSRAJ","24 - None of the Above","Total Votes Secured"
69,"PRATHMIK VIDYALAYA BHADRAUMARGANJ ROOM NO. 2",589,439,0,1028,382,268,0,650,641,0,22,13,9,598,3,1,0,0,0,0,0,0,1,0,0,2,0,0,0,1,0,0,0,0,650
70,"PRATHMIK VIDYALAYA BHADRAUMARGANJ ROOM NO.3",574,431,0,1005,375,290,0,665,665,0,49,12,9,585,6,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,665
71,"PRATHMIK VIDYALAYA BABUPUR ROOM NO. 1",385,310,0,695,226,174,0,400,398,0,44,21,231,85,2,1,0,0,0,0,1,0,1,1,0,1,1,2,1,3,1,0,1,3,400
72,"PURV MADHYAMIK VIDYALAYA MOHIUDDINPUR ROOM NO. 1",481,383,0,864,300,199,0,499,405,0,127,28,114,192,2,1,2,0,4,2,1,0,3,2,1,5,5,1,1,3,2,1,1,1,499
73,"PURV MADHYAMIK VIDYALAYA MOHIUDDINPUR ROOM NO.2",746,614,1,1361,466,361,0,827,818,0,216,30,216,303,9,1,2,1,1,4,3,2,3,2,4,15,6,1,0,1,0,0,4,3,827
74,"PRATHMIK VIDYALAYA BARAMAR ROOM NO.1",641,573,0,1214,387,301,0,688,685,0,232,32,264,134,3,1,0,1,3,2,0,1,0,4,1,4,1,0,0,2,0,0,1,2,688
75,"PRATHMIK VIDYALAYA CHAKCHANDUPUR ROOM NO. 1",523,421,0,944,327,236,0,563,480,0,214,11,201,115,0,1,0,1,1,0,0,0,0,0,0,3,5,0,0,6,2,0,0,3,563
76,"PRATHMIK VIDYALAYA NEVADA SAMOGAR ROOM NO. 1",627,535,0,1162,400,292,0,692,686,0,129,36,196,290,3,2,0,0,2,0,0,1,1,1,4,2,3,2,3,5,1,2,4,5,692
77,"PRATHMIK VIDYALAYA NEVADA SAMOGAR ROOM NO. 2",693,480,0,1173,367,207,0,574,574,0,54,47,175,273,2,2,0,1,2,1,0,1,3,3,0,4,0,0,1,5,0,0,0,0,574
78,"PRATHMIK VIDYALAYA CHADI ROOM NO.1",727,588,0,1315,443,333,0,776,716,0,62,37,310,293,8,27,2,1,1,1,2,3,2,1,1,6,2,1,1,12,0,0,2,1,776
79,"PRATHMIK VIDYALAYA LAVAYAN KHURD ROOM NO.1",571,439,0,1010,337,195,0,532,532,0,146,64,231,68,1,4,0,0,1,0,0,0,0,0,1,7,3,0,1,1,0,1,2,1,532
80,"PRATHMIK VIDYALAYA LAVAYAN KHURD ROOM NO.2",589,504,0,1093,326,234,0,560,500,0,178,38,167,145,3,3,2,1,1,1,2,1,1,0,2,8,1,0,0,4,1,0,0,1,560
81,"PRATHMIK VIDYALAYA PIPRAV ROOM NO. 1",896,735,0,1631,550,445,0,995,995,0,150,66,379,337,4,3,2,2,3,1,2,2,2,2,2,2,4,2,3,13,0,5,3,6,995
82,"PRATHMIK VIDYALAYA VYOHARA ROOM NO.1",678,524,0,1202,425,260,0,685,682,0,52,47,259,293,4,2,0,1,1,0,1,0,1,3,0,4,3,0,4,3,1,0,2,4,685
83,"PRATHMIK VIDYALAYA VYOHARA ROOM NO.2",483,400,0,883,295,195,0,490,490,0,145,49,150,120,0,2,1,0,4,0,0,0,1,3,2,3,3,2,0,3,0,0,0,2,490
84,"PRATHMIK VIDYALAYA REHI TA. PAVARI UTTARI BHAG",699,529,0,1228,473,322,0,795,795,0,109,68,302,239,10,1,1,4,3,0,3,1,1,4,3,11,4,3,5,9,3,2,4,5,795
85,"PRATHMIK VIDYALAYA CHAKPURE MIYAKHURD ROOM NO.1",388,308,0,696,257,179,0,436,431,0,88,33,162,125,3,0,3,0,1,2,1,3,3,2,0,0,0,2,1,3,0,0,0,4,436
86,"PRATHMIK VIDYALAYA TENDUAVAN ROOM NO. 1",650,509,0,1159,387,292,0,679,679,0,196,15,215,180,5,1,1,0,8,4,1,3,3,5,6,15,3,2,1,4,4,2,2,3,679
87,"PRATHMIK VIDYALAYA TENDUAVAN ROOM NO.2",443,410,1,854,227,194,0,421,421,0,93,30,180,91,3,1,1,2,4,1,3,0,1,0,0,4,1,1,0,0,0,1,1,3,421
88,"PRATHMIK VIDYALAYA CHAMPATPUR ROOM NO. 1",684,594,0,1278,481,385,0,866,863,0,256,38,432,83,4,6,0,0,1,3,3,4,4,3,3,10,1,1,0,6,0,3,2,3,866
89,"PRATHMIK VIDYALAYA CHAMPATPUR ROOM NO. 2",428,341,1,770,261,148,0,409,403,0,146,28,161,28,0,8,0,1,3,3,0,0,2,2,2,5,4,0,0,5,2,1,3,5,409
90,"PRATHMIK VIDYALAYA SARNAGAPUR PURVI BHAG",913,742,0,1655,535,401,0,936,900,0,76,37,219,565,2,5,1,0,0,10,2,0,1,0,1,2,3,0,2,3,1,1,1,4,936
91,"PRATHMIK VIDYALAYA PALPUR ROOM ON. 1",681,542,0,1223,437,308,0,745,736,0,189,19,121,359,8,1,0,1,0,0,0,1,3,3,3,16,1,2,1,3,6,1,1,6,745
92,"PRATHMIK VIDYALAYA PALPUR ROOM NO. 2",612,549,0,1161,406,335,0,741,715,0,95,19,309,266,6,1,2,0,2,2,2,2,5,2,2,11,3,0,2,4,2,1,1,2,741
93,"PRATHMIK VIDYALAYA BAGBANA PURVI MADHYA BHAG",845,696,0,1541,594,466,0,1060,1060,0,293,19,345,295,4,9,0,2,5,3,5,2,5,5,9,17,12,2,2,9,5,1,7,4,1060
94,"PRATHMIK VIDYALAYA KALINJARA URF BADALGANJ ROOM NO.A 1",721,568,0,1289,472,278,0,750,746,0,185,36,243,258,2,2,0,0,2,1,2,1,1,1,0,5,3,1,0,5,0,0,1,1,750
95,"PRATHMIK VIDYALAYA PURE KHAGAN ROOM NO, 1",540,447,0,987,396,313,0,709,669,0,207,67,245,126,4,3,0,0,4,3,3,2,0,5,7,10,2,2,3,4,1,1,4,6,709
96,"PRATHMIK VIDYALAYA PIPIRSA ROOM NO. 1",509,427,0,936,364,293,0,657,567,0,40,14,93,442,7,1,0,1,3,4,1,3,10,5,1,6,2,2,4,10,2,0,1,5,657
