"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - ANSHUL VERMA","2 - USHA VERMA","3 - SHIVE PRASAD VERMA","4 - SARVESH KUMAR","5 - CHANDRAPAL","6 - RAMDAYAL","7 - RAMLAKHAN GAUTAM","8 - SANJAY KUMAR","9 - SANTRAM","10 - HIRA LAL VERMA","11 - RAMPAL","12 - SHIVEKUMAR","13 - SAROJ KUMAR","14 - SARVESH","15 - SUNIL BHARTI","16 - None of the Above","Total Votes Secured"
128,"DARIYAPUR BALBHADRA",551,469,0,1020,377,297,0,674,674,0,298,236,123,9,0,1,0,1,0,2,0,0,1,0,1,2,674
129,KACHILIYA,586,502,0,1088,260,234,0,494,494,0,376,35,35,6,1,0,2,0,1,2,3,5,7,3,5,13,494
130,KACHILIYA,548,465,0,1013,334,179,0,513,513,0,404,35,41,5,1,1,0,1,0,4,0,4,2,2,3,10,513
131,GUTKAMAU,801,683,0,1484,475,340,0,815,815,0,414,121,253,12,1,1,0,0,1,1,0,2,1,4,1,3,815
132,SHANKARPUR,575,500,1,1076,359,247,0,606,602,0,433,23,121,9,2,1,0,1,0,2,0,4,3,3,1,3,606
133,BAIJUPUR,509,433,0,942,272,212,0,484,484,0,298,95,77,5,0,0,1,0,1,0,0,1,0,2,1,3,484
134,KHANUPUR,254,227,0,481,133,67,0,200,200,0,170,12,10,5,0,0,0,0,0,0,0,1,0,0,0,2,200
135,"MEHANDIPUR H/0 KHANUPUR",409,345,0,754,199,169,0,368,368,0,257,13,93,1,0,0,0,0,0,1,1,1,0,0,0,1,368
136,"MEHANDIPUR H/0 KHANUPUR",478,421,0,899,303,176,0,479,479,0,202,11,233,5,1,0,1,1,0,3,2,3,3,4,2,8,479
137,ASALAPUR,572,486,0,1058,293,242,0,535,535,0,253,189,63,12,2,1,0,0,0,1,2,1,5,1,3,2,535
138,NAGAMAU,211,175,0,386,136,104,0,240,240,0,161,66,5,5,1,0,0,0,0,0,0,0,1,1,0,0,240
139,BOOTAMAU,587,512,0,1099,331,246,0,577,577,0,325,134,81,5,0,0,0,0,0,6,0,4,4,5,4,9,577
140,SAKRAULI,493,414,0,907,279,181,0,460,460,0,245,151,39,2,1,2,0,0,1,0,1,4,3,2,3,6,460
141,SAKRAULI,404,343,0,747,211,139,0,350,350,0,232,92,5,6,0,0,2,0,1,2,0,1,0,1,3,5,350
142,"NASAULI GOPAL",426,373,1,800,237,191,0,428,428,0,184,138,91,3,1,0,1,0,0,0,0,4,1,2,1,2,428
143,"NASAULI GOPAL",760,668,0,1428,447,339,0,786,786,0,147,167,436,6,1,0,0,1,1,0,2,8,5,6,2,4,786
144,FADNAPUR,235,212,0,447,1,1,0,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
145,"NASAULI DAMAR",504,437,0,941,308,210,0,518,317,0,200,151,134,6,0,1,1,0,1,2,2,1,3,6,3,7,518
146,"NASAULI DAMAR",735,618,0,1353,485,320,0,805,48,0,431,161,160,10,3,0,0,0,3,0,3,7,2,6,11,8,805
147,BAKAURA,337,294,1,632,235,195,0,430,430,0,209,118,89,4,1,1,0,1,1,0,0,1,0,2,3,0,430
148,RAIPUR,504,437,0,941,301,253,0,554,554,0,280,161,89,8,0,2,3,2,0,1,1,0,2,2,1,2,554
149,DHIYRAI,355,307,0,662,254,196,0,450,448,0,230,46,154,6,1,0,0,0,0,3,1,1,4,1,2,1,450
150,"RAMPUR HAMJA",684,522,0,1206,390,302,0,692,692,0,113,371,192,3,0,0,0,0,0,1,0,5,0,5,1,1,692
151,DALELNAGAR,477,413,0,890,294,187,0,481,480,0,253,97,101,7,3,1,1,2,3,2,1,4,2,2,0,2,481
152,DALELNAGAR,534,454,0,988,313,187,0,500,500,0,174,210,96,11,1,0,0,1,0,1,0,0,2,1,2,1,500
153,"SHAHAPUR NAU",397,335,0,732,254,110,0,364,364,0,143,155,58,2,1,0,0,0,1,0,0,1,1,1,1,0,364
154,"SHAHAPUR NAU",624,519,0,1143,364,297,0,661,91,0,284,79,274,3,1,1,0,0,0,3,0,2,1,4,5,4,661
155,BIHGAWANA,518,439,0,957,283,231,0,514,57,0,306,142,59,1,1,1,0,0,0,0,0,1,0,0,1,2,514
156,"NAGLA KHANPUR",502,441,0,943,338,265,0,603,593,0,414,131,29,2,2,2,2,3,0,1,3,4,1,3,3,3,603
157,"KHANIGAWAN KHURD",502,437,0,939,363,234,0,597,7,0,190,122,267,4,0,1,0,0,1,1,4,0,2,2,1,2,597
158,"KHANIGAWAN KALA",330,300,0,630,253,185,0,438,438,0,150,47,188,23,0,0,1,1,1,2,2,4,1,7,2,9,438
159,PALTHUA,461,388,0,849,330,240,0,570,560,0,152,117,285,6,1,0,0,0,1,0,0,3,3,2,0,0,570
160,THEHAPUR,617,532,0,1149,337,258,0,595,595,0,291,190,77,5,1,2,0,0,2,1,3,2,1,4,6,10,595
161,BHADEAUNA,458,378,0,836,315,231,0,546,502,0,257,55,195,14,0,0,0,1,0,1,0,8,3,6,4,2,546
162,BHADEAUNA,465,406,0,871,288,144,0,432,372,0,97,59,244,14,0,1,1,0,1,3,0,2,3,1,2,4,432
163,FAIJULLAPUR,605,535,0,1140,387,239,0,626,626,0,245,237,108,12,4,1,1,2,1,2,1,2,1,2,3,4,626
164,AMIRTA,341,303,0,644,258,208,0,466,466,0,176,22,236,9,1,0,0,1,0,0,1,2,4,4,2,8,466
165,SURJIPUR,598,511,0,1109,367,269,0,636,636,0,266,87,264,9,2,0,0,0,0,0,1,3,0,0,0,4,636
