"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - UMED SINGH KASHYAP","2 - KRISHNA RAJ","3 - CHETRAM","4 - MITHILESH KUMAR","5 - KISHAN LAL","6 - PYARE ALIAS RAJKUMAR GAUTAM","7 - MEVARAM","8 - RAMMURTI","9 - RAMLAL VERMA","10 - SMT REETA SINGH ALIAS REETA BHARTI","11 - SUNITA SUJATA NAGPAL","12 - RAKESH","13 - ROSHAN LAL ALIAS ROSHAN KANAUJIYA","14 - None of the Above","Total Votes Secured"
361,"PRI. SCHOOL MISHRIPUR THAWARGANJ",645,534,0,1179,335,291,0,626,626,0,87,420,18,78,2,0,1,0,1,1,9,1,4,4,626
362,"PRI. SCHOOL MISHRIPUR THAWARGANJ",541,408,0,949,238,161,0,399,399,0,32,315,3,38,1,1,0,1,0,1,6,0,0,1,399
363,"PRI. SCHOOL MISHRIPUR THAWARGANJ",825,604,0,1429,392,252,0,644,644,0,223,255,10,131,1,1,0,0,0,1,6,1,2,13,644
364,"GIRLS PRI. SCHOOL MISHRIPUR",657,504,0,1161,349,241,0,590,590,0,183,223,11,143,2,2,0,3,0,2,9,1,6,5,590
365,"GIRLS PRI. SCHOOL MISHRIPUR",459,358,3,820,217,150,0,367,367,0,116,123,6,103,1,0,0,0,0,5,9,1,2,1,367
366,"GIRLS PRI. SCHOOL MISHRIPUR",760,601,0,1361,282,188,0,470,470,0,140,212,13,91,1,0,0,1,0,1,3,0,1,7,470
367,"PRI. SCHOOL NUSRATPUR URF BADI  GAON",546,383,0,929,303,142,0,445,445,0,206,9,220,0,0,0,0,0,0,1,4,2,1,2,445
368,"PRI. SCHOOL NUSRATPUR URF BADI  GAON",514,410,0,924,332,207,0,539,539,0,170,43,3,298,6,0,1,2,0,0,4,0,1,11,539
369,"PRI. SCHOOL DILAWARPUR BHATKAR",183,158,0,341,130,117,0,247,247,0,13,206,2,10,0,0,1,2,2,1,1,0,3,6,247
370,"PRI. SCHOOL CHAUDERA",955,690,0,1645,451,284,0,735,735,0,90,486,12,124,6,1,0,0,0,1,2,1,2,10,735
371,"PRI. SCHOOL CHAUDERA",492,365,0,857,214,145,0,359,359,0,119,185,8,31,3,0,3,0,0,2,2,0,2,4,359
372,"PRI. SCHOOL CHAUDERA",593,437,0,1030,247,136,0,383,383,0,149,190,3,25,1,0,0,0,1,2,1,0,4,7,383
373,"PRI. SCHOOL CHAKPARMALI",319,279,0,598,247,136,0,383,383,0,149,190,3,25,1,0,0,0,1,2,1,0,4,7,383
374,"PRI. SCHOOL RAUSAR KOTHI CHAUDHERA",559,392,0,951,302,186,0,488,488,0,83,325,23,39,1,0,0,2,1,1,6,1,2,4,488
375,"PRI. SCHOOL RAUSAR KOTHI CHAUDHERA",602,450,0,1052,285,170,0,455,455,0,81,319,18,27,0,0,0,0,0,1,2,0,4,3,455
376,"PRI. SCHOOL RAUSAR KOTHI CHAUDHERA",778,548,0,1326,337,183,0,520,520,0,91,395,5,18,0,0,0,0,0,1,3,0,2,5,520
377,"JR. HIGH SCHOOL RAUSAR",498,375,2,875,314,261,0,575,575,0,31,484,16,33,2,0,0,0,0,1,1,1,2,4,575
378,"PRI. SCHOOL DANIYAPUR",501,391,1,893,366,242,0,608,608,0,63,401,8,118,1,0,0,0,1,1,1,4,5,5,608
379,"PRI. SCHOOL GUARI",667,481,0,1148,421,219,0,640,640,0,56,412,2,155,2,1,0,0,0,3,1,0,5,3,640
380,"PRI. SCHOOL JALALAPUR TA. BADSAHNAGAR",314,260,0,574,251,202,0,453,453,0,94,169,3,176,0,0,1,0,0,1,1,2,3,3,453
381,"KANYA JR. HIGH SCHOOL SUJATPUR",626,545,0,1171,451,320,0,771,771,0,251,357,19,112,4,2,0,2,0,0,16,1,6,1,771
382,"PRI. SCHOOL UTHAA",311,243,0,554,218,155,0,373,373,0,8,277,6,72,0,1,0,0,0,1,0,2,3,3,373
383,"PRI. SCHOOL KANENG",594,487,0,1081,423,238,0,661,661,0,177,368,12,92,1,1,2,1,0,3,1,2,0,1,661
384,"PRI. SCHOOL KANENG",346,241,0,587,229,129,0,358,358,0,30,241,18,54,0,2,1,1,0,1,0,1,6,3,358
385,"PRI. SCHOOL BILANDAPUR",501,404,0,905,339,261,0,600,600,0,254,321,7,2,1,0,1,1,1,1,0,0,6,5,600
386,"PRI. SCHOOL JAINUDIN NAGAR",362,288,0,650,254,217,0,471,471,0,222,94,6,127,1,2,0,1,2,5,2,3,3,3,471
387,"PRI. SCHOOL PASIYANI",244,193,0,437,165,126,0,291,291,0,223,58,1,3,0,0,0,0,0,1,0,0,0,5,291
388,"PRI. SCHOOL SIDHARA",451,365,0,816,341,275,0,616,616,0,227,183,2,188,5,0,0,0,1,1,1,2,2,4,616
389,"PRI. SCHOOL GORI KALAN",654,524,0,1178,430,306,0,736,736,0,117,528,8,60,0,0,0,0,0,2,4,1,6,10,736
390,"PRI. SCHOOL DADAU",571,461,0,1032,211,173,0,384,384,0,193,144,4,25,1,0,1,0,0,0,1,1,9,5,384
391,"PRI. SCHOOL AHMADNAGAR J. BAHADURPUR",492,353,0,845,352,251,0,603,603,0,216,224,8,147,0,0,1,0,0,0,1,1,0,5,603
392,"PRI. SCHOOL BAHADURPUR J0 AHMADNAGAR",354,270,0,624,248,183,0,431,431,0,139,122,3,154,1,0,0,1,1,1,1,0,4,4,431
393,"PRI. SCHOOL AZIZPUR TA0 RAJHAUA",226,185,0,411,168,152,0,320,320,0,80,191,7,32,0,0,0,0,1,1,0,2,1,5,320
394,"PRI. SCHOOL CHAURA TA. AZIZPUR",147,103,0,250,93,89,0,182,182,0,164,6,0,10,0,0,0,0,0,0,0,0,0,2,182
395,"PRI. SCHOOL NEW BUILDING SIMRAI",342,260,0,602,224,153,0,377,377,0,22,304,5,29,1,0,1,0,0,0,0,3,4,8,377
396,"PRI. SCHOOL HETAMPUR",261,195,0,456,200,135,0,335,335,0,68,240,4,20,0,0,0,0,0,0,0,0,3,0,335
397,"PRI. SCHOOL RAJAUAKALAN",248,210,1,459,188,137,0,325,325,0,74,66,5,175,0,2,0,2,0,0,1,0,0,0,325
398,"PRI. SCHOOL RAJHAUA KHURAD",256,201,0,457,198,144,0,342,342,0,134,159,6,40,1,0,0,0,0,0,0,0,0,2,342
399,"PRI. SCHOOL SARAIYAN ABAD",324,246,0,570,189,135,0,324,324,0,48,218,7,38,0,0,0,1,1,0,1,2,2,6,324
