"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - KANWAR SINGH TANWAR","2 - FARHAT HASAN","3 - RAKESH TIKAIT","4 - HUMERA AKHTAR","5 - KHAJAN SINGH","6 - BRAJLAL","7 - MAHESH","8 - RAKESH","9 - RAJPAL","10 - SARVESH KUMAR SAINI","11 - SYED KALBE RUSHAID RIZVI","12 - HUSNEIN RAZAA","13 - NARESH KUMAR","14 - NARESH CHAND","15 - SURENDRA SINGH","16 - None of the Above","Total Votes Secured"
124,"PRIMARY SCHOOL",240,184,0,424,203,149,0,352,352,0,266,9,0,71,2,0,0,0,0,1,0,0,0,1,0,2,352
125,"PRIMARY SCHOOL",347,337,0,684,260,296,0,556,556,0,130,199,1,223,0,0,1,0,0,0,0,0,0,0,1,1,556
126,"PRIMARY SCHOOL",711,628,0,1339,511,434,0,945,945,0,621,128,3,178,0,4,1,0,1,0,0,0,1,1,2,5,945
127,"PRIMARY SCHOOL",402,354,0,756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
128,"PRIMARY SCHOOL",547,551,0,1098,322,374,0,696,696,0,20,153,1,478,6,1,1,0,1,0,3,6,10,2,4,10,696
129,"PRIMARY SCHOOL",603,557,0,1160,415,432,0,847,847,0,96,565,3,172,0,0,1,0,0,0,0,0,2,0,3,5,847
130,"PRIMARY SCHOOL",180,151,0,331,164,137,0,301,301,0,245,43,4,5,0,0,3,0,0,0,0,1,0,0,0,0,301
131,"PRIMARY SCHOOL",463,447,0,910,364,337,0,701,701,0,537,127,8,18,1,0,0,0,0,0,1,0,1,0,0,8,701
132,"PRIMARY SCHOOL",196,185,0,381,165,145,0,310,310,0,230,2,14,62,1,0,0,0,0,0,0,0,0,0,0,1,310
133,"PRIMARY SCHOOL",578,492,0,1070,460,345,0,805,805,0,664,47,3,62,2,0,0,0,1,3,0,2,0,3,3,15,805
134,"PRIMARY SCHOOL",658,481,0,1139,484,404,0,888,888,0,135,9,7,701,6,3,1,1,0,2,2,1,6,2,2,10,888
135,"PRIMARY SCHOOL",632,534,0,1166,504,453,0,957,957,0,281,366,2,297,2,0,0,0,0,0,0,0,2,0,4,3,957
136,"PRIMARY SCHOOL",537,480,0,1017,416,409,0,825,825,0,223,6,3,586,2,1,0,0,0,0,0,1,3,0,0,0,825
137,"PRIMARY SCHOOL",658,594,0,1252,501,450,0,951,951,0,677,114,3,139,1,1,0,0,1,2,1,0,1,1,2,8,951
138,"PRIMARY SCHOOL",948,706,0,1654,612,515,0,1127,1127,0,5,39,7,1040,9,1,2,2,0,0,1,1,14,0,2,4,1127
139,"PRIMARY SCHOOL",427,362,0,789,348,293,0,641,641,0,129,440,3,54,2,0,0,0,0,1,0,0,3,2,3,4,641
140,"PRIMARY SCHOOL",709,600,0,1309,477,447,0,924,924,0,50,248,6,587,5,1,0,2,0,0,0,2,7,4,6,6,924
141,"PRIMARY SCHOOL",154,150,0,304,137,139,0,276,276,0,144,3,0,125,0,0,0,0,0,0,0,0,0,0,1,3,276
142,"PRIMARY SCHOOL",260,234,0,494,212,187,0,399,399,0,336,1,0,53,0,0,2,0,0,1,0,0,2,0,1,3,399
143,"PRIMARY SCHOOL ROOM 1",520,376,0,896,322,236,0,558,558,0,30,22,4,482,5,0,1,0,0,0,0,0,3,1,0,10,558
144,"PRIMARY SCHOOL ROOM 3",500,391,0,891,366,277,0,643,643,0,49,23,5,557,6,0,0,0,0,0,0,0,0,0,1,2,643
145,"PRIMARY SCHOOL ROOM 2",777,564,0,1341,374,300,0,674,674,0,37,139,2,483,2,0,1,1,0,0,1,0,3,1,2,2,674
146,"PRIMARY SCHOOL",185,140,0,325,144,124,0,268,268,0,1,5,0,251,2,1,1,0,1,1,3,0,1,0,1,0,268
147,"PRIMARY SCHOOL",195,182,0,377,184,162,0,346,346,0,203,114,1,21,0,4,1,0,0,0,0,0,0,0,1,1,346
148,"PRIMARY SCHOOL",680,613,0,1293,550,511,0,1061,1061,0,867,51,1,108,1,0,0,1,1,1,2,0,2,3,4,19,1061
149,"PRIMARY SCHOOL",617,565,1,1183,445,443,0,888,888,0,229,74,7,562,3,0,0,0,0,0,0,1,5,0,2,5,888
150,"PRIMARY SCHOOL",482,434,0,916,455,308,0,763,763,0,28,41,4,679,3,0,1,1,0,1,0,1,2,0,1,1,763
151,"PRIMARY SCHOOL",625,473,0,1098,484,378,0,862,862,0,39,47,6,742,4,1,0,1,0,1,2,3,9,2,1,4,862
152,"PRIMARY SCHOOL",793,623,0,1416,510,439,0,949,949,0,620,126,2,189,1,0,0,1,0,1,0,0,1,1,1,6,949
153,"PRIMARY SCHOOL",573,498,0,1071,523,453,0,976,976,0,798,115,23,32,0,0,1,0,0,1,0,0,0,0,1,5,976
154,"PRIMARY SCHOOL ROOM 1",538,436,0,974,353,317,0,670,670,0,37,14,3,601,1,2,1,1,0,1,1,1,2,2,1,2,670
155,"PRIMARY SCHOOL ROOM 2",467,393,0,860,343,288,0,631,631,0,265,50,6,290,4,1,0,0,0,0,0,1,1,5,2,6,631
156,"PRIMARY SCHOOL",454,400,0,854,368,325,0,693,693,0,13,129,1,534,5,2,1,1,0,1,0,0,0,1,0,5,693
157,"JUNIOR HIGH SCHOOL ROOM 1",619,495,0,1114,422,322,0,744,744,0,600,60,3,72,0,0,0,1,0,0,1,1,0,1,1,4,744
158,"PRIMARY SCHOOL ROOM 2",568,412,0,980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
159,"PRIMARY SCHOOL",328,272,0,600,224,174,0,398,398,0,47,310,5,29,1,0,0,0,0,0,2,0,1,1,0,2,398
160,"PRIMARY SCHOOL",382,323,0,705,235,201,0,436,436,0,321,72,4,31,0,0,0,0,0,0,1,0,0,0,1,6,436
161,"PRIMARY SCHOOL ROOM 1",649,596,0,1245,460,375,0,835,835,0,34,165,9,601,3,2,7,0,1,0,1,1,4,1,3,3,835
162,"PRIMARY SCHOOL ROOM 3",620,528,0,1148,398,351,0,749,749,0,90,47,11,586,1,1,0,0,1,1,5,0,2,3,0,1,749
