"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - KU. DEVENDRA SINGH YADAV","2 - NOOR MOHAMMAD KHAN","3 - RAJVEER SINGH RAJU BHAIYA","4 - TH. JOGINDRA SINGH BHADORIYA","5 - RAJENDRA","6 - VINAY","7 - THAKUR HEMENDRA VEER SINGH","8 - HANS  RAJ SINGH","9 - DANVEER","10 - RAKESH GANDHI","11 - RAJVEER SINGH","12 - None of the Above","Total Votes Secured"
142,"P.P.DHIRAMAI-5 BISWA",513,481,0,994,287,251,0,538,41,0,389,23,99,4,5,0,3,1,4,4,3,3,538
143,"P.P.NAGLA KHYALI",497,433,0,930,250,207,0,457,176,0,135,105,197,4,2,1,1,3,0,4,1,4,457
144,"PANCHAYAT BHAWAN DHIRAMAI SAWA 5 BISWA",420,320,0,740,220,122,0,342,219,0,100,207,28,1,0,0,1,0,0,3,1,1,342
145,"P.P.NAVEEN NAGAR",301,238,0,539,218,188,0,406,3,0,336,1,56,1,0,0,0,0,0,3,2,7,406
146,"S.V.K.DHIRAMAI PAUNE 10 BISWA",468,404,0,872,260,200,0,460,210,0,185,29,234,2,0,0,3,1,2,0,1,3,460
147,"S.V.K.DHIRAMAI PAUNE 10 BISWA",498,423,0,921,299,157,0,456,22,0,370,4,65,1,0,0,0,2,0,9,2,3,456
148,"P.P.BANTHAL KUTUBPUR R.NO-1",522,448,0,970,282,210,0,492,35,0,70,34,378,3,1,0,2,0,2,2,0,0,492
149,"P.P.BANTHAL KUTUBPUR R.NO-2",533,469,0,1002,260,163,0,423,5,0,260,29,104,2,0,1,0,0,1,21,3,2,423
150,P.P.BARIGAWAN,803,694,0,1497,368,245,0,613,200,0,23,108,433,10,0,4,1,1,1,7,14,11,613
151,"J.H.SCHOOL GANESHPUR",529,419,0,948,276,169,0,445,179,0,15,146,246,27,0,2,0,1,0,4,4,0,445
152,P.P.DHARMPUR,332,279,0,611,208,120,0,328,175,0,136,0,178,1,0,0,0,0,1,2,9,1,328
153,P.P.NARHOLI,355,305,0,660,228,190,0,418,1,0,22,112,275,4,0,0,0,0,0,2,1,2,418
154,"P.P.NAGLA BEL",339,310,0,649,250,222,0,472,7,0,246,50,162,4,0,0,0,0,1,5,1,3,472
155,P.P.JAYSINGHPUR,324,306,0,630,221,203,0,424,424,0,116,0,300,1,0,0,0,0,0,1,2,4,424
156,"P.P.GADHWALA R.NO-1",653,534,0,1187,419,328,0,747,1,0,24,87,618,6,0,0,1,1,1,1,5,3,747
157,"P.P.GADHWALA R.NO-2",366,324,0,690,223,180,0,403,10,0,2,8,380,3,0,0,1,0,1,1,4,3,403
158,"P.P.SIRANV R.N0-1",460,367,0,827,283,195,0,478,31,0,15,53,391,3,0,1,0,2,0,6,3,4,478
159,"P.P.SIRANV R.N0-2",510,439,0,949,214,205,0,419,243,0,8,272,117,1,0,1,4,0,1,9,5,1,419
160,"P.P. NAGLA PUDIHAR",397,317,0,714,314,105,0,419,123,0,344,4,65,1,1,0,0,3,0,0,1,0,419
161,"J.H.SCHOOL KASETI",483,391,0,874,324,222,0,546,1,0,47,22,441,10,0,2,0,0,1,4,9,10,546
162,P.P.BHUPALPUR,386,358,0,744,350,325,0,675,360,0,4,2,667,1,0,0,0,0,0,0,0,1,675
163,P.P.BAMNAI,581,534,0,1115,537,410,0,947,300,0,12,11,905,6,0,1,3,0,0,4,3,2,947
164,"P.P.VIRAMPUR ETAH",468,406,0,874,348,274,0,622,58,0,28,127,446,8,0,0,0,2,1,4,4,2,622
165,P.P.SUNNA,473,410,0,883,261,230,0,491,330,0,122,88,254,5,1,2,0,2,0,8,4,5,491
166,P.P.SIHORI,336,288,0,624,232,191,0,423,15,0,63,52,295,2,0,0,0,2,1,1,4,3,423
167,P.P.BHOJPUR,369,347,0,716,290,244,0,534,189,0,322,7,170,5,0,1,1,0,0,4,6,18,534
168,"JANTA INTER COLLEGE PILUA R.NO-1",574,500,0,1074,334,273,0,607,281,0,84,33,453,7,1,1,2,2,1,8,8,7,607
