"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - DR.BHOLA PANDEY","2 - RAVINDRA KUSHAWAHA","3 - RAVI SHANKER SINGH","4 - HARIBANSH SAHAI KUSHWAHA","5 - ONKAR SINGH","6 - OM PRAKASH RAJBHAR","7 - CHANDRA PRATAP SINGH","8 - FIROZ AKHTAR","9 - SHRIRAM CHAUDHARY","10 - DR SANJAY KR. SINGH","11 - RAM KRIPAL","12 - SIYARAM DAS","13 - SUSHANT RAJ PATHAK","14 - None of the Above","Total Votes Secured"
148,"P.S.PIPRA MISHRA R.N.2",501,503,0,1004,158,173,0,331,329,0,25,128,46,105,3,0,4,0,3,1,3,2,3,8,331
149,P.S.MAJHAWLIYA,374,315,0,689,174,183,0,357,355,0,25,189,108,14,3,5,1,1,1,3,3,0,2,2,357
150,"P.S.DIGHARA SUMALI",349,297,0,646,159,197,0,356,355,0,38,142,123,44,0,0,1,0,0,0,0,1,4,3,356
151,"P.S. DIGHARA JANUBI",337,310,0,647,161,186,0,347,344,0,10,135,149,13,3,13,1,0,1,1,5,2,7,7,347
152,"P.S.SRINAGAR R.N. 1",546,481,0,1027,268,249,0,517,515,0,18,268,63,128,5,3,2,0,1,2,3,2,4,18,517
153,"P.S. SRINAGAR R.N.2",426,358,0,784,241,154,0,395,394,0,23,227,25,79,2,30,2,0,1,1,2,3,0,0,395
154,"S.C.P.V. SOHNAG",172,139,0,311,95,70,0,165,163,0,8,30,7,107,1,6,0,0,0,0,0,1,1,4,165
155,"PURB M.V. SOHNAG",755,636,0,1391,381,385,0,766,763,0,69,293,190,185,2,4,7,0,2,1,2,1,3,7,766
156,P.S.INDAULI,581,534,0,1115,309,311,0,620,618,0,5,416,117,53,5,6,0,1,0,1,3,1,7,5,620
157,"P.S.THEGWAL DUBEY",454,371,0,825,238,217,0,455,454,0,14,218,16,136,3,43,3,1,0,2,6,0,4,9,455
158,"P.S.DHANAUTI LALA",552,497,0,1049,286,324,0,610,607,0,11,297,41,157,2,89,4,1,1,0,4,1,1,1,610
159,P.S.DHANGARA,828,666,0,1494,423,351,0,774,772,0,36,349,198,174,8,1,1,0,0,1,2,0,2,2,774
160,"P.S. TETRI HARDO",393,330,0,723,184,188,0,372,369,0,7,186,20,143,4,0,2,2,0,1,1,1,2,3,372
161,"J.H.S. BARDIHA DALPAT R.N.1",551,416,0,967,179,158,0,337,335,0,14,245,11,57,0,2,0,1,0,1,1,2,1,2,337
162,"J.H.S.BARDIHA DALPAT R.N.2",470,364,0,834,179,161,0,340,339,0,10,267,16,27,2,12,0,0,0,0,0,1,2,3,340
163,"J.H.S.BARDIHA DALPAT R.N.3",525,421,0,946,242,239,0,481,479,0,12,267,94,75,3,8,1,1,2,3,2,2,3,8,481
164,P.S.BHAISAHI,260,252,0,512,168,179,0,347,344,0,10,294,16,16,1,4,2,1,0,0,0,1,1,1,347
165,J.H.S.PANDEYPUR,433,372,0,805,192,165,0,357,355,0,10,176,42,121,3,1,0,0,0,0,1,0,1,2,357
166,"J.H.S. MALKAULI",814,660,0,1474,376,319,0,695,694,0,65,312,212,60,2,32,0,0,0,3,5,0,3,1,695
167,"P.S.AHIRAULI R.N.1",540,487,0,1027,280,254,0,534,531,0,67,308,63,69,0,4,0,0,2,1,1,2,3,14,534
168,"P.S.AHIRAULI R.N.2",578,533,0,1111,271,279,0,550,548,0,56,249,210,5,2,1,5,0,1,1,6,0,3,11,550
