"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - ASTBHUJA PRASAD TRIPATHI","2 - ADITYANATH","3 - RAJMATI NISHAD","4 - RAM BHUAL NISHAD","5 - INDRA DEO YADAVA","6 - FAIZ AHAMAD FAIZI","7 - MUNNA","8 - RAJIT MISHRA","9 - RAJESH","10 - RADHE MOHAN MISRA","11 - MOHD. WASEEM KHAN","12 - SUBASH KUMAR MAURYA","13 - ACHHE LAL GUPTA","14 - ASHOK","15 - RAMKISHUN","16 - None of the Above","Total Votes Secured"
124,PURV.RAIL.BA.INT.BHEDIYAGADH,331,277,0,608,189,140,0,329,228,0,60,199,27,24,0,0,0,0,0,11,0,2,1,1,1,3,329
125,PURV.RAIL.BA.INT.BHEDIYAGADH,324,236,0,560,87,72,0,159,13,0,16,117,5,11,2,0,0,0,1,7,0,0,0,0,0,0,159
126,PURV.RAIL.BA.INT.BHEDIYAGADH,378,304,0,682,224,173,0,397,13,0,100,190,57,30,0,0,0,0,0,10,3,0,2,1,2,2,397
127,PURV.RAIL.BA.INT.BHEDIYAGADH,347,259,0,606,175,119,0,294,202,0,47,222,12,9,0,0,0,0,0,4,0,0,0,0,0,0,294
128,PURV.RAIL.BA.INT.BHEDIYAGADH,493,366,0,859,163,127,0,290,250,0,52,186,25,8,0,0,0,0,0,15,0,0,1,0,0,3,290
129,PURV.RAIL.BA.INT.BHEDIYAGADH,405,350,0,755,141,133,0,274,94,0,40,206,15,5,2,0,0,0,0,4,0,0,0,0,0,2,274
130,PURV.RAIL.BA.INT.BHEDIYAGADH,359,324,0,683,95,103,0,198,125,0,26,138,19,3,1,0,0,0,0,10,0,0,0,0,1,0,198
131,PURV.RAIL.BA.INT.BHEDIYAGADH,250,239,0,489,89,100,0,189,15,0,34,123,14,4,0,1,0,0,1,8,0,0,0,1,1,2,189
132,PURV.RAIL.BA.INT.BHEDIYAGADH,422,369,0,791,143,118,0,261,67,0,23,202,16,11,0,0,0,0,0,9,0,0,0,0,0,0,261
133,"RAILWAY COLONY SHASTRI VID.JATEPUR ROOM.NO.1",757,635,0,1392,396,320,0,716,64,0,48,571,46,20,0,1,0,0,0,22,0,1,1,0,2,4,716
134,"RAILWAY COLONY SHASTRI VID.JATEPUR ROOM.NO.2",332,296,0,628,169,142,0,311,281,0,15,236,12,33,0,1,0,0,0,9,0,1,1,0,1,2,311
135,"RAILWAY COLONY SHASTRI VID.JATEPUR ROOM.NO.3",474,397,0,871,249,210,0,459,36,0,39,350,51,6,0,0,1,0,0,8,0,0,1,1,0,2,459
136,"RAILWAY COLONY SHASTRI VID.JATEPUR ROOM.NO.4",571,503,0,1074,250,241,0,491,381,0,13,427,21,6,0,0,1,0,0,20,0,0,0,1,1,1,491
