"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - ASIF NIZAMUDDIN SIDDIQUE","2 - PRAMOD KUMAR SINGH PATEL","3 - RAJKUMARI RATNA SINGH","4 - ASHOK SHUKLA SENANI","5 - NIRMALA DEVI","6 - FOOLCHANDRA","7 - BAL KRISHNA","8 - RAJENDRA SHARMA","9 - RAM SEWAK","10 - SHESHNATH","11 - SANTOSH KUMAR SINGH","12 - KUWAR HARIVANSH SINGH","13 - AJMAL KHAN","14 - KIRAN MISHRA","15 - HARIVANSH","16 - None of the Above","Total Votes Secured"
122,"P.S. MISIDDHIPUR",473,418,3,894,211,253,0,464,464,0,105,45,30,8,0,0,0,0,0,0,3,267,2,2,0,2,464
123,"P.S. IMALIDAND CLASS R 1",632,539,0,1171,75,59,0,134,134,0,32,48,3,1,0,0,0,0,0,0,0,44,0,0,3,3,134
124,"P.S. IMALIDAND CLASS R 2",239,184,0,423,109,116,0,225,200,0,56,80,7,2,1,1,0,0,0,1,0,71,1,0,1,4,225
125,"P.S. BIJEMAU CLASS R 1",454,388,0,842,220,218,0,438,413,0,116,34,40,3,1,1,0,1,5,1,5,223,0,0,4,4,438
126,"P.S. BIJEMAU CLASS R 2",707,579,0,1286,293,283,0,576,576,0,183,76,17,4,1,1,0,0,2,1,0,282,6,0,0,3,576
127,"P.S. KURADEEH",534,448,0,982,229,276,0,505,455,0,68,137,14,5,0,4,0,1,0,2,2,269,1,0,0,2,505
128,"P.S. TIWARIPUR OTHER CLASS ROOM",413,339,0,752,150,181,0,331,300,0,215,18,26,1,0,0,0,0,0,0,2,47,2,1,1,18,331
129,"P.S. TIWARIPUR",423,394,0,817,184,203,0,387,387,0,188,40,14,2,1,0,0,0,2,0,2,128,2,0,4,4,387
130,"P.S POORE CHARAN",252,217,0,469,134,136,0,270,270,0,112,3,7,16,0,0,0,0,1,0,1,128,1,0,0,1,270
131,"P.S. SHRIPUR",789,630,0,1419,294,285,0,579,578,0,213,20,27,2,0,0,1,1,2,0,3,298,2,0,1,9,579
132,"P.S. PARASRAMPUR",490,377,0,867,198,183,0,381,381,0,178,28,89,3,2,0,1,1,2,0,1,63,1,0,7,5,381
133,"ISLAMIYA SCHOOL MEDAULI KALA",587,449,0,1036,218,243,0,461,461,0,286,24,92,0,0,0,0,1,1,1,0,41,1,2,2,10,461
134,"PS. CHAKSARA",600,508,0,1108,272,271,0,543,536,0,359,67,48,2,2,2,2,1,3,1,1,30,5,3,6,11,543
135,"P.S SARAY BHARATRAY",791,724,0,1515,377,436,0,813,813,0,474,212,52,5,1,0,0,0,0,2,2,40,1,2,7,15,813
136,"P.S RAJAPUR KHARHAR",461,412,0,873,213,237,0,450,450,0,99,139,17,1,0,0,1,1,3,0,2,175,0,3,5,4,450
137,"P.S KHATANPUR",739,605,0,1344,353,348,0,701,698,0,199,154,43,3,0,1,4,2,4,2,4,260,8,2,2,13,701
138,"P.S. DANDUPUR CLASS ROOM 1",792,685,0,1477,369,389,0,758,739,0,416,75,33,12,1,1,0,0,5,2,1,200,3,1,0,8,758
139,"P.S DANDUPUR CLASS ROOM 2",603,469,0,1072,276,264,0,540,540,0,221,42,19,2,0,0,2,1,1,1,1,237,2,1,2,8,540
140,"S.S.S KAYASTHPATTI ROOM 1",431,394,0,825,195,231,0,426,423,0,264,25,5,0,0,2,2,1,0,0,1,114,2,1,4,5,426
141,"P.S KHARHAR ROOM 1",585,522,0,1107,307,290,0,597,597,0,169,118,55,6,2,0,0,0,0,0,1,238,0,1,2,5,597
142,"P.S KHARHAR",488,415,0,903,247,215,0,462,320,0,108,58,17,5,2,0,1,0,3,0,2,249,4,1,2,10,462
143,"P.S KHARHAR ROOM 2",529,464,0,993,228,223,0,451,449,0,42,18,13,5,0,0,2,0,2,1,4,348,5,4,1,6,451
144,"P.S HARNAAHPUR",365,313,0,678,178,182,0,360,300,0,26,56,21,4,0,0,0,0,0,0,6,235,1,2,4,5,360
145,"P.S GOPALPUR",232,213,0,445,135,149,0,284,150,0,95,82,4,1,0,1,0,0,0,0,2,95,0,0,0,4,284
146,"P.S RAMGARH ROOM 1",638,576,0,1214,307,314,0,621,621,0,57,105,58,5,1,1,2,1,1,4,6,369,1,2,5,3,621
147,"P.S RAMGARH ROOM 2",620,517,1,1138,243,258,0,501,501,0,275,46,17,5,1,0,0,0,1,0,3,146,2,1,2,2,501
148,"P.S RAINI SATKHARIYA",750,608,0,1358,420,393,0,813,812,0,170,199,17,5,0,1,4,0,2,1,4,394,4,3,3,6,813
149,"P.S UGAIPUR",651,615,0,1266,332,387,0,719,623,0,208,131,8,4,3,0,1,2,0,0,3,347,4,1,4,3,719
150,"P.S DEWASA",613,550,0,1163,338,331,0,669,669,0,12,9,2,6,166,3,1,3,0,2,2,4,3,52,237,167,669
151,"P.S KASERUAA ROOM 1",652,611,0,1263,317,317,0,634,634,0,113,47,10,6,2,0,0,0,1,1,6,438,5,0,2,3,634
152,"P.S KASERUAA ROOM",286,246,0,532,176,163,0,339,163,0,57,7,9,3,3,1,0,0,1,0,3,247,1,1,3,3,339
153,"P.S KASERUAA ROOM 2",657,591,0,1248,296,338,0,634,632,0,265,47,19,5,0,0,0,0,1,0,3,285,3,0,5,1,634
154,"U.S A NARHARPUR",624,558,0,1182,330,294,0,624,500,0,112,84,84,10,4,0,1,1,1,1,3,301,2,4,6,10,624
155,"P.S BANWARPUR",553,475,0,1028,281,246,0,527,527,0,107,97,31,0,1,0,1,1,0,1,4,269,3,1,4,7,527
156,"P.S MAHOTHARI",804,678,0,1482,426,349,0,775,680,0,167,81,22,8,2,1,3,2,0,0,6,480,1,1,0,1,775
157,"P.S KHAMPUR DUBE PATTI",691,604,1,1296,351,369,0,720,720,0,211,108,22,4,0,0,1,2,1,1,4,340,6,2,5,13,720
158,"P.S BANSI",766,699,0,1465,380,402,0,782,782,0,291,68,24,5,2,1,0,2,2,0,2,370,2,3,1,9,782
159,"P.S GULRA",281,257,0,538,117,159,0,276,150,0,223,11,24,0,0,1,0,0,0,0,1,13,0,1,0,2,276
160,"P.S DELHUPUR",793,734,0,1527,490,407,0,897,897,0,148,170,43,6,0,0,0,0,1,4,13,491,3,1,3,14,897
161,"P.S PAWARPUR CLASS ROOM 1",464,454,0,918,200,267,0,467,467,0,215,120,23,3,1,1,3,2,0,0,2,87,0,2,3,5,467
162,"P.S PAWARPUR CLASS ROOM 2",462,413,0,875,179,191,0,370,369,0,227,87,9,2,0,0,1,1,2,1,1,23,0,2,1,13,370
163,"P.S BHIKHANAPUR",498,468,0,966,285,289,0,574,574,0,151,194,22,6,0,0,0,0,1,0,3,183,4,1,0,9,574
164,"P.S TAWANKALPUR CLASS ROOM 1",623,487,0,1110,263,282,0,545,545,0,257,130,32,2,1,1,0,0,1,0,1,119,0,0,0,1,545
165,"P.S TAWANKALPUR CLASS ROOM 2",705,630,0,1335,311,372,0,683,683,0,342,171,51,2,2,0,1,0,3,1,4,92,1,4,4,5,683
