"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - DHARMENDRA PRATAP SINGH","2 - RAHUL GANDHI","3 - SMRITI ZUBIN IRANI","4 - GOPAL SWAROOP GANDHI","5 - CHHAYA SINGH","6 - ZAHIDA BEGAM","7 - BABU LAL","8 - C L MAURYA","9 - RAVI KUMAR","10 - RADHE MOHAN","11 - RAM ASREY","12 - RAM NEWAJ","13 - RAMSIDDH YADAV","14 - VASDEO","15 - DR. KUMAR VISHVAS","16 - VEDPAL SHASATRI","17 - MOHD HASAN LAHRI","18 - UMAKANT","19 - GIRIJA BAKS","20 - GANGESH KUMAR GUPTA","21 - JAGAT SINGH CHAUDHARY","22 - JITENDRA SINGH","23 - TULSIRAM","24 - DWARIKA PRASAD","25 - NARESH SINGH BHADAURIYA","26 - BHAGWAN DEEN","27 - MITHILESH KUMARI","28 - RAMESH CHANDRA","29 - RAM SAJIWAN","30 - LAL BAHADUR","31 - SHIV KUMAR","32 - SWAMINATH","33 - SONAM KINNAR","34 - SANJAY KUMAR","35 - None of the Above","Total Votes Secured"
80,MAU,808,699,0,1507,390,327,0,717,612,0,33,476,118,5,3,2,0,1,1,0,2,1,1,2,11,5,3,4,2,0,0,5,7,6,3,4,3,10,3,0,0,3,0,1,2,717
81,THAURI,605,535,0,1140,363,391,0,754,682,0,39,583,56,4,3,0,2,2,1,0,0,2,0,4,27,7,5,0,1,0,0,0,2,1,3,0,1,4,1,2,3,0,1,0,0,754
82,BAHUTAI,654,634,0,1288,419,395,0,814,814,0,256,363,86,3,0,0,5,3,1,2,1,3,0,2,15,13,6,2,3,2,1,4,2,5,1,1,3,10,1,4,3,10,2,1,0,814
83,"JAMALPUR HURAIYA",548,472,0,1020,323,280,0,603,386,0,51,408,73,4,1,0,1,2,0,0,3,2,2,2,7,6,1,2,0,0,1,0,4,3,0,1,1,4,15,1,0,6,0,1,1,603
84,"MAHMADPUR NAMAKSAR",521,446,0,967,282,225,0,507,507,0,2,210,209,5,3,1,0,0,0,4,5,1,1,0,3,1,0,0,1,1,1,0,3,2,1,2,3,8,22,1,3,9,0,0,5,507
85,LAKHAPUR,607,521,0,1128,276,252,0,528,483,0,7,402,53,0,3,0,0,2,2,0,2,2,0,3,2,4,6,1,2,0,1,0,2,1,1,0,3,12,4,2,1,8,1,1,0,528
86,LAKHAPUR,621,514,0,1135,294,214,0,508,470,0,9,222,233,1,2,1,1,0,0,0,0,0,3,0,9,3,0,1,1,1,0,3,4,0,0,0,1,5,0,2,1,4,1,0,0,508
87,BHATPURWA,429,360,0,789,257,217,0,474,470,0,8,270,135,1,2,3,1,0,0,1,1,1,3,0,8,7,4,2,0,0,0,2,10,0,0,0,1,3,1,2,0,2,0,3,3,474
88,KUKAHA,560,511,0,1071,358,328,0,686,684,0,16,428,117,1,7,0,1,0,2,5,2,0,1,0,29,14,7,4,4,1,0,2,3,1,0,1,4,12,3,3,5,10,1,1,1,686
89,BASUPUR,260,225,0,485,154,162,0,316,314,0,10,193,84,3,2,2,2,1,0,0,0,3,1,2,4,2,0,0,0,0,0,0,1,0,0,1,0,1,2,0,1,0,0,0,1,316
90,KAPOORPUR,799,669,0,1468,396,410,0,806,800,0,14,441,241,4,6,1,1,2,1,2,2,1,4,4,10,7,6,3,0,0,1,2,12,3,1,0,6,9,2,4,3,7,0,1,5,806
91,CHANDABAHIPUR,339,317,0,656,203,199,0,402,330,0,24,211,80,3,0,0,0,1,0,1,1,1,2,7,4,8,1,3,0,1,0,1,9,1,1,3,1,4,22,1,4,5,0,1,1,402
92,GHATAMPUR,371,274,0,645,195,160,0,355,35,0,9,112,184,7,6,1,0,2,2,0,2,1,5,1,5,3,2,0,0,2,1,2,1,1,0,0,0,0,1,0,0,1,4,0,0,355
93,CHHATOH,642,527,0,1169,338,317,0,655,609,0,14,229,301,5,6,2,1,1,2,0,3,2,1,2,8,10,7,2,2,3,1,5,7,6,0,0,4,8,4,6,2,7,1,1,2,655
