"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - ARVIND KUMAR JAISWAL","2 - MULAYAM SINGH YADAV","3 - RAMAKANT YADAV","4 - SHAH ALAM ALIAS GUDDU JAMALI","5 - M. AMIR RASHADI","6 - KIRAN SHARAMA","7 - DURG VIJAY YADAV","8 - PRAKASH CHANDRA","9 - MADAN","10 - RAJDHARI RAJBHAR","11 - RAJESH YADAV","12 - SANJAY KUMAR CHATURVEDI","13 - SANTOSH KUMAR GAUTAM","14 - PRAMOD SINGH","15 - RAM SINGH CHAUHAN","16 - SHAMSHAD AHMAD","17 - SUGRIV CHAUHAN","18 - SANJAY CHAUHAN","19 - None of the Above","Total Votes Secured"
92,"P. V. RAMGARH (R.N.-1)",543,482,0,1025,250,249,0,499,417,0,9,136,131,185,4,1,0,1,5,0,3,5,0,2,4,10,0,0,3,499
93,"P. V. RAMGARH (R.N.-2)",455,334,0,789,204,148,0,352,336,0,15,63,173,75,4,0,1,0,3,2,1,1,1,0,2,1,0,2,8,352
94,"P. V. ISRAPAR",737,656,0,1393,377,373,0,750,643,0,27,69,242,348,10,3,1,4,8,1,1,5,2,2,2,6,0,4,15,750
95,"URMILA DEVI P. M. V. SANICHRA DAN SANICHRA",690,532,0,1222,325,336,0,661,631,0,22,98,127,346,4,3,2,2,5,1,2,15,8,8,5,7,1,2,3,661
96,"P. V. BACHUR KHAS",278,223,0,501,150,154,0,304,300,0,8,42,97,139,3,0,1,0,0,0,1,3,1,1,2,0,2,1,3,304
97,"P. V. ITAILY",635,473,0,1108,276,230,0,506,506,0,24,107,268,76,3,0,0,3,5,2,0,4,1,2,1,2,2,2,4,506
98,"P. V. BRAHMAULI DHYAN",380,305,0,685,184,207,0,391,391,0,10,58,109,198,3,1,1,1,1,1,3,2,0,0,0,0,1,1,1,391
99,"P. V. SARGHA SAGAR",425,358,1,784,246,214,0,460,426,0,35,43,160,206,1,1,0,0,3,0,0,3,1,2,0,3,1,0,1,460
100,"P. V. KURSAULI YADAV",217,187,0,404,144,132,0,276,114,0,2,159,65,39,1,0,0,0,4,0,1,0,0,1,1,1,0,0,2,276
101,"P. V. AJUVA",311,267,0,578,173,169,0,342,300,0,7,173,115,23,1,1,0,0,2,0,1,1,0,0,1,0,2,10,5,342
