"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - IMRAN MASOOD","2 - JAGDISH SINGH RANA","3 - RAGHAV LAKHANPAL","4 - SHAZAN MASOOD URF SHADAN MASOOD","5 - YOGESH KUMAR","6 - RATAN SINGH","7 - RAJENDER KUMAR","8 - SHAHANAVAJ","9 - SHIV KUMAR","10 - MOHD. FIROZ AFTAB","11 - RAGHUVEER SINGH BODH","12 - CP VERMA","13 - SESHRAJ","14 - HANSRAJ SAINI","15 - None of the Above","Total Votes Secured"
79,"PRATHMIK VIDYALYA ROOM NUMBER-1, RASTAM",281,272,0,553,236,218,0,454,451,0,23,37,336,43,1,2,0,1,2,2,0,1,3,2,1,454
80,"PRATHMIK VIDYALYA ROOM NUMBER-1, SHAHPUR",665,589,0,1254,582,467,0,1049,1049,0,7,146,848,24,1,1,0,1,5,0,0,3,7,2,4,1049
81,"PRATHMIK VIDYALYA ROOM NUMBER-1, BASTAM",629,538,0,1167,483,390,0,873,648,0,22,257,517,58,0,1,1,2,1,0,1,1,3,3,6,873
82,"POORV MADHYMIK VIDYALYA UTTAR BHAG ROOM NUMBER-1, SULTANPUR",457,409,0,866,341,298,0,639,639,0,12,203,411,6,0,0,0,1,2,0,1,0,0,2,1,639
83,"POORV MADHYMIK VIDYALYA DAXIN BHAG ROOM NUMBER-2, SULTANPUR",187,150,0,337,149,122,0,271,198,0,1,207,60,1,0,1,0,0,0,0,1,0,0,0,0,271
84,"POORV MADHYMIK VIDYALYA ROOM NUMBER-1, DIWALHEDI",699,619,0,1318,528,469,0,997,994,0,4,247,650,78,1,1,0,1,2,1,1,5,1,3,2,997
85,"PRATHMIK VIDYALYA ROOM NUMBER-1, ASADPUR KARANJALI",739,595,0,1334,612,448,0,1060,1060,0,5,385,618,22,1,0,0,1,6,1,1,1,10,4,5,1060
86,"PRATHMIK VIDYALYA ROOM NUMBER-2, DUNICHANDPUR",319,274,0,593,223,197,0,420,339,0,1,376,39,0,0,0,0,1,0,0,0,0,1,2,0,420
87,"PRATHMIK VIDYALYA ROOM NUMBER-1, MEGHRAJPUR",395,329,0,724,292,268,0,560,560,0,94,272,176,12,0,0,0,1,2,0,0,0,2,0,1,560
88,"PRATHMIK VIDYALYA ROOM NUMBER-1, KHANDJA AHMADPUR",567,442,0,1009,469,340,0,809,809,0,210,413,161,19,0,0,0,0,2,0,0,1,1,0,2,809
89,"POORV MADHYMIK VIDYALYA ROOM NUMBER-1, KHEDI AASA",291,277,0,568,252,247,0,499,418,0,2,159,321,8,1,0,0,0,0,0,0,2,1,3,2,499
90,"PRATHMIK VIDYALYA ROOM NUMBER-1, NANHEDA AASA",805,654,0,1459,568,495,0,1063,954,0,24,297,634,83,1,2,0,0,7,2,1,3,5,4,0,1063
91,"PRATHMIK VIDYALYA ROOM NUMBER-1, KURDI",467,396,0,863,367,285,0,652,163,0,10,315,313,1,5,1,0,1,0,0,0,0,3,1,2,652
92,"PRATHMIK VIDYALYA ROOM NUMBER-3, KURDI",445,364,0,809,359,260,0,619,619,0,80,5,512,3,5,1,0,0,0,0,0,1,2,10,0,619
93,"POORV MADHYMIK VIDYALYA ROOM NUMBER-2, KURDI",441,369,0,810,378,252,0,630,630,0,6,158,447,1,2,5,1,0,0,1,1,1,1,4,2,630
94,"POORV MADHYMIK VIDYALYA ROOM NUMBER-3, KURDI",450,370,0,820,337,269,0,606,606,0,75,16,476,11,0,7,2,2,0,1,2,0,3,8,3,606
95,"PRATHMIK VIDYALYA UTTAR BHAG ROOM NUMBER-1, NUNABADI",806,764,0,1570,555,585,0,1140,1005,0,861,152,45,61,1,2,0,1,0,0,1,1,1,4,10,1140
96,"PRATHMIK VIDYALYA DAXIN BHAG ROOM NUMBER-2, NUNABADI",548,544,0,1092,438,408,0,846,845,0,705,9,38,79,1,0,0,0,1,1,0,1,2,0,9,846
97,"PRATHMIK VIDYALYA POORVI BHAG ROOM NUMBER-3, NUNABADI",552,459,0,1011,474,329,0,803,799,0,672,7,30,78,2,0,0,0,1,0,0,0,3,1,9,803
98,"PRATHMIK VIDYALYA ROOM NUMBER-1, SHABBIRPUR",644,543,0,1187,528,407,0,935,935,0,147,15,735,15,1,0,0,0,1,0,1,4,7,5,4,935
99,"PRATHMIK VIDYALYA ROOM NUMBER-2, SHABBIRPUR",556,499,0,1055,444,388,0,832,832,0,41,454,291,33,0,0,1,0,0,0,0,1,4,6,1,832
100,"PRATHMIK VIDYALYA ROOM NUMBER-1, CHANDPUR MAJBATA",728,594,0,1322,598,472,0,1070,1070,0,109,244,695,9,0,0,0,0,0,0,0,2,4,5,2,1070
101,"PRATHMIK VIDYALYA ROOM NUMBER-2, CHANDPUR MAJBATA",763,636,0,1399,553,502,0,1055,1055,0,139,322,550,27,0,0,0,1,1,0,0,1,6,2,6,1055
102,"ADARSH INTER COLLEGE ROOM NUMBER-1, BADGAON",453,410,0,863,353,313,0,666,664,0,112,100,432,4,1,0,1,0,1,0,1,1,4,3,6,666
103,"ADARSH INTER COLLEGE ROOM NUMBER-2, BADGAON",447,430,0,877,343,241,0,584,579,0,19,17,515,12,0,1,0,2,2,0,0,5,5,4,2,584
104,"ADARSH INTER COLLEGE ROOM NUMBER-3, BADGAON",480,398,0,878,351,311,0,662,662,0,47,266,312,14,1,7,0,1,1,0,2,2,3,3,3,662
105,"ADARSH INTER COLLEGE ROOM NUMBER-4, BADGAON",441,412,0,853,340,310,0,650,650,0,29,119,455,25,2,6,0,0,0,0,0,2,6,3,3,650
