"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - AKBAR HUSAIN","2 - NAWAB KAZIM ALI KHAN","3 - NASEER AHMAD KHAN","4 - DR. NEPAL SINGH","5 - JANNAT NISHA","6 - VIJENDRA SINGH","7 - SYED SALMAN ALI","8 - AKBAR MASOOD","9 - JAGDISH SARAN SAGAR","10 - JAGMOHAN","11 - TEJPAL SINGH","12 - NAVED MIAN","13 - None of the Above","Total Votes Secured"
120,"INDIRA HIGHER SECONDARY SCHOOL ROOM NO-1 GHER CHANDAN KHAN JAIL ROAD",855,665,0,1520,345,237,0,582,582,0,11,182,314,65,1,2,1,0,0,2,1,1,2,582
121,"INDIRA HIGHER SECONDARY SCHOOL ROOM NO-2 GHER CHANDAN KHAN JAIL ROAD",332,273,0,605,160,105,0,265,265,0,0,88,132,35,0,1,4,0,0,1,3,0,1,265
122,"INDIRA HIGHER SECONDARY SCHOOL ROOM NO-3 GHER CHANDAN KHAN JAIL ROAD",719,593,0,1312,377,267,0,644,644,0,2,208,339,86,0,0,1,1,1,0,1,2,3,644
123,"MADARSA RIYAZUL ULUM ROOM NO-1 SAUDAGRAN",817,762,0,1579,373,260,0,633,623,0,2,236,369,19,0,0,0,0,0,0,2,2,3,633
124,"MADARSA RIYAZUL ULUM ROOM NO-2 SAUDAGRAN",881,775,0,1656,446,334,0,780,770,0,7,265,481,12,0,3,0,1,2,0,0,4,5,780
125,"MADARSA RIYAZUL ULUM ROOM NO-3 SAUDAGRAN",908,693,0,1601,436,287,0,723,723,0,49,134,423,105,0,3,1,0,1,2,3,0,2,723
126,"MADARSA RIYAZUL ULUM ROOM NO-4 SAUDAGRAN",760,704,0,1464,415,238,0,653,613,0,1,126,500,20,0,0,1,2,0,0,0,0,3,653
127,"MURAD PURVA MADHYAMIC SCHOOL ROOM NO-1 TOPKHANA ROAD",419,414,0,833,236,172,0,408,388,0,4,192,201,3,1,0,2,0,0,1,2,0,2,408
128,"MURAD PURVA MADHYAMIC SCHOOL ROOM NO-2 TOPKHANA ROAD",374,344,0,718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
129,"GOVT RAZA INTER COLLEGE ROOM NO-1 TOPKHANA ROAD",612,546,0,1158,321,180,0,501,500,0,2,115,319,53,0,1,3,1,1,0,1,2,3,501
130,"GOVT RAZA INTER COLLEGE ROOM NO-2 TOPKHANA ROAD",818,624,0,1442,394,206,0,600,600,0,5,120,453,5,0,0,7,0,1,0,3,1,5,600
131,"GOVT RAZA INTER COLLEGE ROOM NO-3 TOPKHANA ROAD",612,530,0,1142,299,204,0,503,470,0,1,77,349,56,2,2,4,1,1,2,1,2,5,503
132,"GOVT RAZA INTER COLLEGE ROOM NO-4 TOPKHANA ROAD",594,469,0,1063,318,149,0,467,467,0,3,115,342,2,2,0,0,0,0,0,1,1,1,467
133,"GOVT RAZA INTER COLLEGE ROOM NO-5 TOPKHANA ROAD",507,520,0,1027,159,101,0,260,260,0,2,113,136,2,0,0,0,0,0,0,2,0,5,260
134,"GOVT RAZA INTER COLLEGE ROOM NO-6 TOPKHANA ROAD",451,377,0,828,189,100,0,289,288,0,3,111,165,2,0,0,0,0,1,1,3,1,2,289
135,"GOVT RAZA INTER COLLEGE ROOM NO-7 TOPKHANA ROAD",638,630,0,1268,337,258,0,595,505,0,2,145,412,33,0,0,0,1,0,1,0,0,1,595
136,"GOVT RAZA INTER COLLEGE ROOM NO-8 TOPKHANA ROAD",847,742,0,1589,369,250,0,619,595,0,12,215,333,51,0,1,3,0,0,0,1,1,2,619
137,"GOVT. SHARIRIK PRISHIKSHAN PG COLLEGE ROOM NO-1 TOPKHANA",453,410,0,863,264,178,0,442,425,0,1,131,302,3,0,0,0,0,0,0,1,0,4,442
