"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - KAILASH NATH SINGH YADAV","2 - MO. MAKSUD KHAN","3 - MANOJ SINHA","4 - SMT SHIVKANYA KUSHWAHA","5 - ISHWAR DEV","6 - ISHWARI","7 - OMKAR CHAUHAN","8 - GUPTESHWAR","9 - DEENDAYAL","10 - DHARM YADAV","11 - PAPPU","12 - BRIJ BHUSHAN","13 - BHARAT","14 - RAJENDRA NATH RAM","15 - SATYA DEV YADAV","16 - ARUN KUMAR SINGH","17 - KUBER","18 - LAKSHAMAN","19 - None of the Above","Total Votes Secured"
332,"P.V. KUNWARPUR",256,225,1,482,182,175,0,357,155,0,117,0,22,206,0,1,0,0,0,0,0,0,1,1,0,5,2,2,0,357
333,"P.K.M.V. KATGHARA KHADIMAN",511,406,0,917,258,210,0,468,351,0,44,5,189,64,1,2,1,2,1,4,2,3,4,1,16,97,4,3,25,468
334,"P.V BASUCHAK (S WING)",784,636,0,1420,398,345,0,743,400,0,131,11,315,39,3,3,5,0,1,25,2,6,2,2,10,180,6,2,0,743
335,"P.V BASUCHAK (N WING)",641,488,0,1129,292,266,0,558,558,0,222,7,137,137,1,1,0,1,1,3,1,1,0,0,3,40,2,0,1,558
336,"P.V. DHANAIPUR",510,452,0,962,357,268,0,625,380,0,57,3,47,495,1,0,2,0,0,5,2,4,0,1,1,5,1,1,0,625
337,"P.V. PAHADPUR KALAN (E WING)",730,574,0,1304,480,249,0,729,721,0,245,11,90,108,1,3,1,1,1,233,4,5,4,0,6,7,4,1,4,729
338,"P.V. PAHADPUR KALAN (C WING)",196,205,0,401,130,127,0,257,257,0,15,6,67,30,1,6,0,0,1,116,1,1,0,1,0,2,1,2,7,257
339,"P.V. PAHADPUR KALAN (W WING)",591,493,0,1084,325,265,0,590,390,0,31,7,269,59,0,2,1,0,0,200,2,2,1,1,2,4,3,4,2,590
340,"P.V. BUDAULI",248,209,0,457,138,116,0,254,220,0,104,6,60,69,0,2,1,0,1,0,0,1,0,0,3,1,4,2,0,254
341,"H.S.S. MANJHA (W WING)",778,714,0,1492,376,371,0,747,10,0,54,7,382,261,2,2,0,1,3,18,1,2,0,0,2,5,2,0,5,747
342,"H.S.S. MANJHA (C WING)",656,542,0,1198,317,302,0,619,2,0,286,2,220,80,2,0,1,2,0,3,4,6,1,1,0,4,5,0,2,619
343,"H.S.S. MANJHA (C WING)",725,579,0,1304,376,342,0,718,305,0,411,5,137,119,1,0,1,2,0,7,1,2,1,0,2,13,14,1,1,718
344,"H.S.S. MANJHA (E WING)",585,547,0,1132,315,285,0,600,415,0,30,9,341,148,1,0,1,1,1,16,2,2,0,4,5,32,0,1,6,600
345,"P.V. SHEKHPUR",759,680,0,1439,414,404,0,818,20,0,184,12,139,266,3,6,2,0,0,190,1,2,0,2,0,1,2,0,8,818
346,"P.V. HORILPUR",440,353,0,793,297,211,0,508,507,0,3,3,291,172,1,2,0,0,0,0,2,1,0,0,3,24,0,0,6,508
347,"P.V. CHHAPRA",532,412,0,944,267,221,0,488,338,0,12,6,163,258,6,0,0,0,0,7,12,2,1,1,4,12,2,0,2,488
348,"P.V. MANJHARI",461,328,1,790,289,194,0,483,480,0,5,7,73,331,0,2,0,0,0,39,10,2,0,2,1,7,1,1,2,483
