"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - MAHENDRA KUMAR","2 - VINOD KUMAR SONKAR","3 - SHAILENDRA KUMAR","4 - SURESH PASI","5 - MALTI DEVI","6 - RAJENDRA SONKAR","7 - SHRIPAL","8 - SWARNALATA SUMAN","9 - CHHEDDOO","10 - BEENA RANI","11 - MOHAN LAL","12 - None of the Above","Total Votes Secured"
83,"UPS SAIYAD SARAWAN NORTH PART 1",595,461,0,1056,260,220,0,480,455,0,10,236,142,61,3,3,2,3,1,1,8,10,480
84,"P.KANYA S SAIYAD SARAWAN",726,581,0,1307,361,233,0,594,580,0,18,133,137,273,2,5,0,2,3,1,8,12,594
85,"PANCHAYAT BHAVAN SAIYAD SARAWAN",203,175,0,378,97,83,0,180,170,0,8,9,86,74,0,1,0,0,0,0,0,2,180
86,"P.S KAJIPUR EAST PART",606,527,0,1133,370,304,0,674,671,0,24,487,38,53,5,17,4,3,0,6,18,19,674
87,"P.S KAJIPUR WEST PART",487,411,0,898,161,224,0,385,380,0,12,293,25,35,2,2,1,2,1,5,3,4,385
88,"P.S. UDATHU",631,523,0,1154,371,356,0,727,60,0,12,240,147,283,7,7,3,0,7,3,7,11,727
89,"P.S. BATHUI",607,461,0,1068,328,247,0,575,464,0,6,232,250,60,4,5,4,0,1,1,9,3,575
90,"P.S. RASOOLPUR BADLE EAST PART",779,611,0,1390,372,340,0,712,247,0,32,279,210,138,9,5,2,3,5,2,7,20,712
91,"P.S. RASOOLPUR BADLE WEST PART",810,629,0,1439,291,336,0,627,500,0,22,221,254,78,5,3,6,5,4,7,9,13,627
92,"UPS AMNI LOKIPUR NORTH PART",468,397,0,865,261,207,0,468,200,0,6,266,87,83,7,6,0,2,1,2,3,5,468
93,"UPS AMNI LOKIPUR SOUTH PART",399,293,0,692,226,150,0,376,373,0,14,230,82,36,2,4,1,1,0,1,2,3,376
94,"P.S PANSAUR EAST PART",568,484,0,1052,265,203,0,468,405,0,12,194,133,84,2,6,22,4,2,2,3,4,468
95,"P.S PANSAUR WEST PART",601,499,0,1100,278,226,0,504,473,0,9,229,91,153,4,0,10,1,0,1,3,3,504
96,"P.S. BALKARANPUR EAST PART",412,298,0,710,257,181,0,438,58,0,11,283,106,22,1,2,0,1,2,3,5,2,438
97,"P.S. BALKARANPUR WEST PART",197,144,0,341,113,83,0,196,196,0,6,71,68,39,0,3,4,0,1,0,2,2,196
98,"P.S. MALAK NAGAR",596,501,0,1097,326,266,0,592,592,0,33,310,141,58,6,13,6,1,4,1,5,14,592
99,"P.S. ASHRAFPUR TA. ASDULLAPUR NORTH PART",512,407,0,919,298,245,0,543,542,0,14,186,103,202,6,6,4,0,3,3,5,11,543
100,"P.S. ASHRAFPUR TA. ASDULLAPUR SOUTH PART",545,425,0,970,478,47,0,525,525,0,20,216,59,200,3,8,4,2,0,4,4,5,525
101,"P.S. BALIHAWAN EAST PART",629,576,0,1205,355,332,0,687,687,0,41,324,140,155,4,6,3,1,3,1,6,3,687
102,"P.S. BALIHAWAN WEST PART",349,277,0,626,214,161,0,375,275,0,10,117,116,93,5,8,1,3,4,1,2,15,375
103,"P.S. SARVAKAJI",351,280,0,631,204,166,0,370,370,0,20,260,16,48,1,3,1,9,0,1,3,8,370
104,"P.S. PANNOI",702,567,0,1269,408,338,0,746,744,0,8,510,128,71,3,3,1,1,0,3,10,8,746
105,"P.S. PATTIPARVEJABAD WEST PART",611,506,0,1117,261,255,0,516,210,0,75,189,140,72,7,10,3,2,4,3,5,6,516
106,"P.S PATTIPARVEJABAD WEST CENTER PART",598,478,0,1076,279,243,0,522,522,0,58,119,265,68,3,3,1,0,1,1,1,2,522
107,"P.S. PATTIPARVEJABAD CENTER PART",515,390,0,905,196,200,0,396,370,0,18,165,177,20,2,3,1,1,0,1,4,4,396
108,"P.S. PATTIPARVEJABAD NORTH PART",806,634,0,1440,314,233,0,547,309,0,18,304,129,54,2,11,0,2,2,3,10,12,547
109,"P.S. JALALPUR BORIYO NORTH PART",616,482,0,1098,282,282,0,564,558,0,29,233,147,131,5,7,2,1,0,1,4,4,564
110,"P.S. JAJALPUR BORIYO SOUTH PART",432,373,0,805,170,182,0,352,247,0,12,160,58,93,4,2,2,5,3,2,3,8,352
111,"P.S. DARVESHPUR",641,559,1,1201,296,342,0,638,155,0,52,307,114,101,7,6,12,4,2,2,10,21,638
112,"P.S. LALPUR",414,363,0,777,163,213,0,376,11,0,32,163,107,43,11,4,2,0,1,1,4,8,376
113,"P.S. CHAKMAHPUR PANDEYMAU NORTH PART",529,437,0,966,154,217,0,371,371,0,23,157,34,114,8,6,6,2,5,2,6,8,371
114,"P.S. CHAKMAHPUR PANDEYMAU SOUTH PART",569,447,0,1016,196,238,0,434,5,0,7,249,43,98,3,1,4,1,1,1,8,18,434
115,"P.S. PARSARA NORTH PART",715,598,0,1313,356,296,0,652,652,0,26,301,72,176,8,1,4,6,4,8,13,33,652
116,"P.S. PARSARA SOUTH PART",660,581,0,1241,335,348,0,683,683,0,26,338,80,149,8,7,12,7,4,5,22,25,683
117,"P.S. MOHAMMADPUR ASWAN NORTH PART",454,364,0,818,247,222,0,469,14,0,10,281,16,116,4,6,6,3,1,0,11,15,469
118,"P.S. MOHAMMADPUR ASWAN SOUTH PART",468,434,0,902,211,224,0,435,433,0,14,170,16,202,0,2,3,1,2,3,6,16,435
119,"P.S. ASHOKPUR",532,425,0,957,268,242,0,510,510,0,14,318,8,127,5,6,1,0,1,3,5,22,510
120,"UPS ASHOKPUR",308,274,0,582,148,189,0,337,329,0,19,186,3,107,0,3,0,3,3,5,2,6,337
121,"P.S. MAULI NORTH PART",627,527,0,1154,303,317,0,620,620,0,16,237,158,77,3,4,88,3,3,1,9,21,620
122,"P.S. MAULI SOUTH PART",452,398,0,850,272,240,0,512,417,0,11,224,198,65,4,2,1,1,1,1,1,3,512
123,"P.S. CHAPHUA",561,490,0,1051,307,268,0,575,575,0,35,187,209,98,6,9,0,4,1,2,5,19,575
124,"P.S. BIRAULI",783,677,0,1460,406,300,0,706,200,0,33,285,114,195,14,10,8,12,3,3,8,21,706
125,"P.S. JALEELPUR",437,332,0,769,279,217,0,496,496,0,7,292,127,37,4,7,1,0,1,4,10,6,496
126,"P.S. BERUA",632,489,0,1121,352,308,0,660,659,0,45,382,49,146,6,8,6,0,4,3,6,5,660
127,"P.S. MALAK BHARAT",725,617,0,1342,293,337,0,630,627,0,19,188,256,133,7,5,4,1,1,5,8,3,630
128,"P.S. SIRIYAVAN KALA",824,717,0,1541,441,452,0,893,870,0,31,141,448,231,8,8,6,4,1,2,8,5,893
129,"P.S. ARAI SUMERPUR",816,677,1,1494,443,368,0,811,794,0,31,426,163,138,6,4,3,4,1,3,11,21,811
130,"P.S KAJU NORTH PART",491,368,0,859,281,234,0,515,515,0,28,175,47,241,5,1,2,0,2,4,5,5,515
131,"P.S KAJU SOUTH PART",429,370,0,799,226,174,0,400,400,0,10,202,88,84,4,2,0,1,2,0,2,5,400
132,"P.S. KAJU NORTH PART 1",871,656,0,1527,394,309,0,703,310,0,28,142,228,274,6,3,4,7,2,3,4,2,703
133,"P.S. KAJU CENTER PART",574,460,0,1034,311,237,0,548,41,0,12,139,175,179,8,3,4,3,4,3,5,13,548
134,"P.S. KAJU CENTER PART 1",529,405,0,934,216,144,0,360,270,0,4,77,176,74,3,3,5,2,1,5,3,7,360
135,"P.S. PAKSARAI",398,362,0,760,209,247,0,456,10,0,15,237,16,160,2,3,5,2,2,1,9,4,456
136,"P.S. SAMASPUR NORTH PART",591,510,0,1101,312,260,0,572,572,0,28,192,101,219,8,6,1,1,5,3,6,2,572
137,"P.S. SAMASPUR SOUTH PART",540,410,0,950,258,183,0,441,441,0,15,220,119,70,1,5,0,3,1,1,0,6,441
138,"P.S. SAMASPUR SOUTH PART1",712,564,0,1276,358,229,0,587,540,0,36,271,29,208,8,5,4,3,4,7,6,6,587
139,"P.S. GAUHANI KALA EAST PART",402,315,0,717,216,199,0,415,415,0,29,166,46,155,3,4,1,0,2,2,5,2,415
140,"P.S. GAUHANI KALA WEST PART",529,383,0,912,269,212,0,481,456,0,7,292,45,104,5,3,3,0,3,0,7,12,481
141,"P.S. MAHMOODPUR NORTH PART",851,666,0,1517,512,326,0,838,450,0,15,625,176,8,0,0,1,5,1,0,2,5,838
142,"P.S. MAHMOODPUR SOUTH PART",838,665,0,1503,502,366,0,868,402,0,8,699,57,61,2,3,2,0,4,4,12,16,868
143,"P.S. MAHMOODPUR WEST PART",479,353,0,832,315,189,0,504,405,0,9,444,39,3,0,2,0,1,0,1,1,4,504
144,"P.S. MEERPUR",560,463,0,1023,335,270,0,605,605,0,19,336,113,105,3,3,2,3,3,1,10,7,605
145,"P.S. RATGAHA NORTH PART",505,368,0,873,422,210,0,632,610,0,11,153,261,170,4,4,3,4,3,2,8,9,632
146,"P.S. RATGAHA SOUTH PART",462,383,0,845,258,221,0,479,479,0,6,201,139,106,3,1,5,0,4,3,2,9,479
147,"P.S. MOHIUDDINPUR TA. SAIYAD SARAWAN",364,280,0,644,246,188,0,434,434,0,3,81,312,28,0,2,0,0,0,4,2,2,434
148,"P.S. PAHADPUR SUDHWAR NORTH PART",710,548,0,1258,400,287,0,687,687,0,10,377,109,140,2,5,9,2,4,5,10,14,687
149,"P.S. PAHADPUR SUDHWAR SOUTH PART",713,549,0,1262,407,284,0,691,689,0,36,231,154,207,5,7,14,3,1,2,12,19,691
150,"P.S. KAMALPUR TA. JALALPUR SHANA",403,321,0,724,234,192,0,426,426,0,12,234,74,98,0,5,1,0,0,0,1,1,426
151,"P.S. FARIDPUR SULEM EAST PART",623,440,0,1063,305,204,0,509,26,0,13,191,28,241,3,0,3,1,0,5,10,14,509
152,"P.S. FARIDPUR SULEM WEST PART",603,449,0,1052,323,232,0,555,504,0,16,306,79,127,3,5,1,2,3,2,3,8,555
153,"P.S. NIJAMPUR PURAINI NORTH PART",500,412,0,912,236,206,0,442,86,0,9,149,67,195,3,4,1,1,2,0,3,8,442
154,"P.S. NIJAMPUR PURAINI SOUTH PART 1",560,401,0,961,287,209,0,496,496,0,10,229,113,123,4,2,4,3,0,0,3,5,496
155,"P.S. MOHAMMADPUR NORTH PART",576,458,0,1034,320,227,0,547,547,0,13,354,41,116,3,5,3,1,3,0,6,2,547
156,"P.S. MOHAMMADPUR SOUTH PART.",669,524,0,1193,378,270,0,648,648,0,17,403,81,96,3,5,35,1,4,1,2,0,648
157,"LAL BAHADUR SHASTRI I C CHAYAL NORTH PART",641,513,0,1154,286,177,0,463,105,0,15,164,74,180,4,4,2,2,1,2,4,11,463
158,"LAL BAHADUR SHASTRI I C CHAYAL CENTER PART",776,643,1,1420,412,320,0,732,686,0,20,248,80,344,5,9,5,2,4,2,6,7,732
159,"LAL BAHADUR SHASTRI I C CHAYAL SOUTH PART",681,620,0,1301,324,295,0,619,619,0,22,182,154,220,3,7,12,1,1,4,8,5,619
160,"LAL BAHADUR SHASTRI I C CHAYAL CENTER PART 1",544,501,0,1045,242,209,0,451,369,0,6,222,68,129,2,3,2,4,2,1,4,8,451
161,"LAL BAHADUR SHASTRI I C CHAYAL SOUTH PART 1",736,616,0,1352,324,247,0,571,571,0,17,265,85,178,7,4,2,1,0,2,5,5,571
162,"LAL BAHADUR SHASTRI I C CHAYAL NORTH PART 1",757,598,0,1355,385,253,0,638,634,0,11,300,72,216,4,6,5,4,1,3,7,9,638
163,"P.S. GIRIYA KHALSA",793,680,0,1473,422,367,0,789,789,0,20,296,48,366,4,9,1,3,6,5,15,16,789
164,"UPS LALAPUR",343,276,0,619,229,183,0,412,412,0,11,121,93,145,6,2,13,1,1,1,7,11,412
165,"P.S. CHALAULI",660,485,0,1145,423,303,0,726,726,0,11,262,208,207,8,8,1,1,2,4,5,9,726
166,"P.S. KASENDA EAST PART",576,523,0,1099,351,308,0,659,559,0,355,63,149,65,1,2,1,2,2,1,3,15,659
167,"P.S. KASENDA WEST PART",552,412,0,964,355,245,0,600,598,0,357,97,92,39,3,3,0,2,1,1,1,4,600
168,"P.S. MURADPUR",376,292,0,668,205,167,0,372,13,0,8,160,76,110,0,5,3,1,2,0,5,2,372
169,"P.S. FATEHPUR SAHAVPUR",734,553,0,1287,475,351,0,826,166,0,66,475,105,128,6,4,6,5,4,4,5,18,826
170,"P.S. SINGHPUR",620,490,0,1110,409,292,0,701,458,0,12,321,160,175,3,3,2,0,1,3,2,19,701
171,"P.S. KATTRA",697,651,0,1348,375,352,0,727,682,0,25,279,58,316,12,8,12,2,1,0,6,8,727
172,"P.S. CHAURADEEH EAST PART",566,465,0,1031,286,195,0,481,448,0,8,343,63,32,3,11,1,3,4,1,2,10,481
173,"P.S. CHAURADEEH WEST PART",517,445,0,962,286,242,0,528,528,0,75,190,30,189,6,3,1,3,4,0,9,18,528
174,"P.S. BALIPUR TATA NORTH PART",550,431,0,981,324,259,0,583,501,0,26,189,124,207,7,10,6,2,3,2,3,4,583
175,"P.S. BALIPUR TATA CENTER PART",395,388,0,783,176,158,0,334,334,0,21,153,43,96,2,2,1,3,0,3,4,6,334
176,"P.S. BALIPUR TATA SOUTH  PART",544,370,0,914,299,225,0,524,24,0,21,150,52,275,6,2,0,2,1,2,5,8,524
177,"P.S. BALIPUR TATA CENTER PART 1",452,432,0,884,211,203,0,414,414,0,16,155,52,166,3,2,2,2,4,3,3,6,414
178,"P.S. SHEKHPUR RASOOLPUR NORTH PART",759,580,0,1339,427,285,0,712,518,0,27,322,105,217,8,7,6,2,2,2,3,11,712
179,"P.S. SHEKHPUR RASOOLPUR SOUTH PART",805,686,0,1491,529,392,0,921,919,0,14,656,114,92,5,8,2,3,4,4,14,5,921
180,"P.S. CHILLASHABAJI NORTH PART",540,407,0,947,325,255,0,580,200,0,15,339,118,68,5,9,0,3,2,3,9,9,580
