"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - DHARMENDRA KUMAR","2 - SALEEM IQBAL SHERVANI","3 - KUNWAR SARVRAJ SINGH","4 - SUNITA SHAKYA","5 - IRSHAD ANSARI ADVOCATE","6 - OM VEER","7 - MOHD. ZARRAR KHAN","8 - JITENDRA SINGH YADAV","9 - NARESH SINGH SOLANKI","10 - PRAMOD KUMAR YADAV","11 - YOGENDRA KUMAR VERMA","12 - CAPTAIN P.C. SHARMA","13 - ARSHADURRAZA KHAN","14 - None of the Above","Total Votes Secured"
337,"PRI PATH LANGOORA",727,594,0,1321,500,347,0,847,847,0,502,62,150,108,3,1,1,0,1,0,1,2,4,12,847
338,"PRI PTH CHANDAUA",456,362,0,818,355,291,0,646,629,0,369,4,200,54,2,0,2,0,0,0,3,4,2,6,646
339,"PRI PATH FATEHPUR SARATHU",249,204,0,453,196,126,0,322,2,0,151,15,138,13,0,0,1,0,0,0,0,0,1,3,322
340,"PRI PATH R.NO. 1 AVRA",678,550,0,1228,480,382,0,862,800,0,681,73,34,49,2,0,1,1,1,2,4,2,2,10,862
341,"PRI PATH R.NO. 2 AVRA",565,479,0,1044,370,288,0,658,58,0,465,38,22,108,0,1,0,0,1,4,2,2,0,15,658
342,"PRA PATH CHAKARPUR",546,442,0,988,471,330,0,801,801,0,583,13,176,21,1,0,0,2,0,1,1,1,0,2,801
343,"PRI PATH CHAMPATPUR",845,654,0,1499,560,396,0,956,950,0,476,91,109,252,1,2,2,1,2,3,5,1,4,7,956
344,"J.H. SCHOOL SIRSA",781,605,0,1386,515,385,0,900,325,0,166,59,101,542,8,2,1,3,3,2,6,1,1,5,900
345,"PRI PATH BICHURAIYA SIRSA",627,521,0,1148,501,400,0,901,400,0,86,15,766,18,0,0,0,0,11,1,1,2,1,0,901
346,"PRA PATH R.NO. 1 HARRAMPUR",423,363,0,786,232,264,0,496,496,0,220,17,74,173,0,0,1,0,0,0,4,3,1,3,496
347,"PRI PATH R.NO. 2 HARRAMPUR",469,391,0,860,333,247,0,580,3,346,346,62,68,93,1,1,1,0,0,1,0,1,1,5,580
348,"J.H. SCHOOL GHILAURA",761,636,0,1397,505,349,0,854,854,0,396,20,223,157,4,3,1,0,13,0,5,9,4,19,854
349,"PRA PATH BANARA",697,542,0,1239,494,324,0,818,818,0,477,66,215,18,2,1,2,0,0,2,6,3,5,21,818
350,"PRI PATH FIROZPUR",429,314,0,743,284,221,0,505,505,0,202,8,215,53,3,1,0,1,0,2,6,2,3,9,505
351,"PRI PATH DHANAURA",453,378,0,831,308,246,0,554,161,0,365,7,88,80,0,0,0,0,3,0,0,1,2,8,554
352,"PRI PATH GAUSGANJ",500,352,0,852,361,180,0,541,221,0,253,11,224,8,0,14,0,1,0,2,6,5,4,13,541
353,"PRI PATH LEHAR",354,264,0,618,267,203,0,470,470,0,90,7,317,44,1,0,1,0,0,3,1,3,1,2,470
354,"PRI PATH KEERATPUR STHITH GRAM KEERATPUR",396,295,0,691,239,114,0,353,353,0,93,7,230,7,0,0,0,1,0,1,3,3,3,5,353
355,"PRI PATH JHIJRI",615,418,0,1033,406,241,0,647,647,0,192,11,284,126,2,3,1,1,2,2,7,4,0,12,647
356,"PRI PATH MILAK MAJRA JHIJRI",282,172,0,454,218,90,0,308,308,0,70,7,216,5,0,1,0,1,0,0,2,0,1,5,308
357,"PRI PATH TRIKUNIA MAJRA LEHAR",351,236,0,587,271,168,0,439,439,0,14,2,377,34,1,0,0,0,0,1,2,7,1,0,439
358,"J.H. SCHOOL HIMMATPUR",442,318,0,760,248,225,0,473,473,0,172,10,202,65,0,0,2,2,0,2,3,2,1,12,473
