"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - AJAY PAL SINGH JATAV","2 - ASHOK KUMAR DOHAREY","3 - PREMDAS KATERIYA","4 - HANS MUKHI KORI","5 - UJIYARE LAL DOHARE","6 - PREM CHANDRA","7 - DR MUKESH SINGH DOHARE","8 - VINEET KUMAR GAUTAM","9 - SIYA RAM PASWAN","10 - HAR BILASH DOHERY","11 - None of the Above","Total Votes Secured"
126,"P.M.V. JAMUHI",503,427,0,930,302,244,0,546,546,0,138,149,236,6,3,0,0,5,2,5,2,546
127,P.V.SEHUD,615,523,0,1138,342,282,0,624,352,0,182,333,63,16,6,2,0,4,2,3,13,624
128,P.V.PITAMBRPUR,302,253,0,555,162,143,0,305,295,0,3,268,24,2,0,1,0,3,0,0,4,305
129,"P.V.TIWARI KA PURVA",160,141,0,301,123,102,0,225,225,0,1,189,29,0,0,1,0,1,0,3,1,225
130,"P.V.KANHI KA PURVA",505,456,0,961,361,272,0,633,556,0,16,528,67,10,1,3,0,2,1,2,3,633
131,P.V.AJAMATPUR,720,564,0,1284,411,266,0,677,660,0,49,378,216,5,9,7,1,1,2,4,5,677
132,"P.V.PURVA SMADHAN",242,214,0,456,184,147,0,331,331,0,3,267,49,4,0,2,0,3,0,0,3,331
133,"P.V. BHADURPUR",339,290,0,629,195,157,0,352,352,0,16,249,72,4,3,2,0,1,3,0,2,352
134,"P.V.PURVA DEVRAY",394,351,0,745,309,282,0,591,555,0,385,44,142,4,4,0,0,3,0,1,8,591
135,"SAMUDAYIK KENDRA GAIL BIHAR",125,117,0,242,71,73,0,144,139,0,25,94,7,12,5,0,0,0,0,0,1,144
136,P.V.VASUNDRA,755,623,0,1378,495,415,0,910,868,0,195,308,331,18,34,1,3,9,5,2,4,910
137,"INDRA DHNUS CLOUB BULIDING GAIL GANV VASUNDRA DIBIYAPUR",788,722,0,1510,529,473,0,1002,1000,0,148,643,35,22,146,0,0,0,1,0,7,1002
138,"P.V.VAIHARI R.N. 1",470,399,0,869,279,171,0,450,450,0,17,344,58,6,1,7,3,9,2,1,2,450
139,"P.V.VAIHARI R.N. 2",241,182,0,423,135,102,0,237,230,0,3,157,66,4,0,0,1,2,1,0,3,237
140,"P.V.NIYAMATPUR VAIHARI",322,253,0,575,186,136,0,322,322,0,122,172,20,1,3,0,0,2,0,2,0,322
141,"P.V.PURVA DULHARAYA",258,230,0,488,211,160,0,371,368,0,1,40,326,0,3,0,0,1,0,0,0,371
142,"J.H.V.PURVA DULHARAYA PURVA SUKUND",280,235,0,515,195,180,0,375,366,0,215,54,96,2,1,0,0,2,1,1,3,375
143,P.V.KHAGIPUR,345,296,0,641,200,170,0,370,370,0,52,254,47,1,8,0,2,2,0,0,4,370
144,"KISAN INTER COLLAGE BHAGYANAGAR",274,200,0,474,180,126,0,306,300,0,1,258,30,9,0,0,0,2,0,3,3,306
145,P.V.KUTHRA,332,279,0,611,177,174,0,351,350,0,35,203,105,1,3,2,1,0,0,1,0,351
146,P.V.BANARPUR,406,321,0,727,266,190,0,456,456,0,23,320,90,7,0,4,0,3,4,3,2,456
147,"P.V.RAMPUR VAIHARI",452,341,0,793,251,216,0,467,390,0,97,224,133,1,2,2,0,2,1,2,3,467
148,P.V.KANUTI,367,292,0,659,204,156,0,360,356,0,64,262,25,3,0,1,2,1,0,1,1,360
149,P.V.NANPUR,510,436,0,946,283,223,0,506,499,0,11,335,136,1,5,0,1,5,1,3,8,506
150,"JANTA INTER COLLAGE SALHAPUR",732,578,0,1310,362,274,0,636,636,0,87,349,168,2,10,1,1,8,1,6,3,636
151,"P.V.TURKIPUR PHAPHUND",555,467,0,1022,280,179,0,459,450,0,73,49,314,6,11,1,0,1,1,1,2,459
152,"P.V. SIMHARA",511,396,0,907,298,253,0,551,551,0,314,117,96,5,8,3,0,3,0,2,3,551
153,P.V.MAHTEPUR,353,280,1,634,212,173,0,385,354,0,120,202,57,4,0,1,0,1,0,0,0,385
154,"P.V.MAHIPAT SINGH KA PURVA",173,144,0,317,116,85,0,201,196,0,34,165,0,0,1,0,0,1,0,0,0,201
155,P.V.KHIJUA,330,257,0,587,204,148,0,352,352,0,200,116,29,1,0,0,1,0,1,1,3,352
156,P.V.CHIRUHILYA,273,239,0,512,177,133,0,310,309,0,58,185,64,1,1,0,0,0,0,0,1,310
157,P.V.HAJIYAPUR,345,251,0,596,223,103,0,326,326,0,1,69,248,1,1,1,0,0,0,1,4,326
158,P.V.PIPARPUR,513,394,0,907,333,258,0,591,456,0,106,425,40,8,3,3,1,0,0,2,3,591
159,P.V.PARGHAIPUR,384,289,0,673,250,157,0,407,407,0,1,166,183,1,44,1,1,4,3,1,2,407
160,"P.V. RATUAA",229,189,0,418,175,139,0,314,310,0,20,121,167,2,1,1,0,0,1,0,1,314
161,P.V.AAMPUR,323,270,0,593,174,179,0,353,331,0,13,205,117,2,0,1,3,7,1,1,3,353
162,P.V.LAHOKHAR,620,487,0,1107,431,317,0,748,730,0,152,96,463,7,8,2,2,5,1,3,9,748
163,P.V.NAULI,517,393,0,910,402,258,0,660,640,0,104,494,49,2,1,1,1,3,1,0,4,660
164,P.V.LALPUR,387,320,0,707,240,182,0,422,420,0,70,238,93,1,4,2,1,6,2,1,4,422
165,"P.V. KAKOR BUJURAG",473,391,0,864,274,183,0,457,377,0,105,242,84,8,6,1,1,4,1,2,3,457
166,"P.M.V.KAKOR BUJURAG",580,505,0,1085,307,245,0,552,500,0,249,188,80,3,13,2,2,1,2,7,5,552
167,P.M.V.DAKHALIPUR,446,364,0,810,270,225,0,495,495,0,232,195,43,11,3,2,2,2,0,1,4,495
168,"P.V. MAKHANPUR (ITHA)",533,442,0,975,364,271,0,635,630,0,70,528,22,2,1,2,1,3,1,0,5,635
169,"P.V.MAKU KA PURVA",372,333,0,705,251,210,0,461,452,0,10,423,19,3,0,2,0,2,0,1,1,461
170,P.V.SUJANPUR,357,308,0,665,227,199,0,426,300,0,248,98,64,3,6,1,2,2,0,1,1,426
171,"P.V. PRATAPPUR",611,444,0,1055,239,223,0,462,394,0,6,293,140,4,3,2,1,6,4,0,3,462
172,"P.V. USRARI",422,326,0,748,262,172,0,434,430,0,91,202,128,1,2,1,0,2,1,2,4,434
173,"P.V. PURVA KARORE",224,173,0,397,158,119,0,277,255,0,7,65,197,1,0,1,0,1,2,2,1,277
174,"P.V. LAKHANPUR",502,400,0,902,289,205,0,494,404,0,62,274,144,5,2,2,1,4,0,0,0,494
175,"BARAT GHAR LUKHARPURA",465,355,0,820,353,251,0,604,604,0,71,515,10,3,1,0,0,3,0,0,1,604
176,"P.V. NAGAL JAYSINGH",810,645,0,1455,492,357,0,849,841,0,228,480,117,5,3,0,2,9,1,3,1,849
177,"P.V. CHAMRAUAA",744,592,0,1336,435,326,0,761,532,0,335,200,198,7,2,2,0,11,1,1,4,761
178,"P.V. JAMULLI",614,524,0,1138,403,291,0,694,694,0,177,402,71,13,14,2,0,1,2,2,10,694
179,"P.V. KACHUSI R.N. 1",797,701,0,1498,467,358,0,825,825,0,176,460,137,14,9,3,4,14,2,1,5,825
180,"P.V.KACHUSI R.N. 2",306,245,0,551,174,117,0,291,290,0,7,227,45,2,0,2,0,2,0,1,5,291
181,"P.V HIRANAGAR",230,181,0,411,120,104,0,224,220,0,51,10,151,2,5,0,0,0,1,0,4,224
182,P.V.SHAHPUR,377,248,0,625,175,150,0,325,320,0,44,233,37,0,2,2,0,1,1,1,4,325
183,"P.V. BINPURAPUR",471,378,0,849,256,207,0,463,460,0,129,258,63,4,1,1,0,3,0,0,4,463
184,"PANCHYAT GHAR CHITKAYAN PURAVA",294,204,0,498,158,123,0,281,281,0,176,72,23,1,1,2,1,1,1,0,3,281
185,"P.V. DAUHI",612,477,0,1089,362,240,0,602,600,0,272,130,196,2,0,0,0,1,0,0,1,602
186,"P.V PARSAD KA PURVA",346,244,0,590,214,161,0,375,370,0,3,41,317,1,6,0,0,2,3,1,1,375
187,"P.V BAVINA",524,399,0,923,282,178,0,460,460,0,110,258,72,10,2,2,0,1,1,0,4,460
188,"P.V.RURUAA PHAPHUND",314,248,0,562,203,134,0,337,330,0,111,114,106,2,2,0,1,1,0,0,0,337
189,"P.V AJADPUR",241,195,0,436,81,137,0,218,215,0,3,54,152,4,1,0,2,0,0,1,1,218
190,"P.V NAYAPURVA",378,288,0,666,228,162,0,390,383,0,6,324,49,3,1,2,0,4,0,0,1,390
191,"P.V.SAUDHEMAU R.N.  1",441,361,0,802,229,159,0,388,380,0,0,337,37,3,2,0,0,2,1,2,4,388
192,"P.V.SAUDHEMAU R.N.  2",312,258,0,570,158,128,0,286,280,0,70,111,92,3,2,1,0,1,1,3,2,286
193,"P.V. GUSAI KA PURVA",222,174,0,396,169,129,0,298,298,0,106,60,129,1,0,0,0,0,0,1,1,298
194,"P.V. AMRATPUR",194,141,0,335,99,66,0,165,165,0,38,110,6,0,4,0,1,3,1,2,0,165
