"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - KADIR RANA","2 - PANKAJ AGARWAL","3 - VIRENDER SINGH","4 - DR. SANJEEV KUMAR BALYAN","5 - ANIL KUMAR","6 - CHATAR SINGH KASHYAP","7 - MANGE RAM KASHYAP","8 - MOHAMMED YAMIN","9 - MO. YAMIN","10 - RAJESH DEVI ALIAS RADHIKA BALIYAN","11 - LALIT CHAUHAN","12 - ANKUR","13 - GUFRAN AHMAD","14 - JAGBIR SINGH","15 - NASEEM AHMAD ANSARI","16 - PHOOL SINGH PAL","17 - RAKESH","18 - SHABNAM","19 - SHANDAR GUFRAN","20 - None of the Above","Total Votes Secured"
72,"PRAIMARI SCHOOL ROOM N0. 1 VIGYANA",813,623,0,1436,556,454,0,1010,1008,0,703,10,258,24,1,0,0,1,1,1,0,1,0,0,0,4,3,0,3,0,1010
73,"PRAIMARI SCHOOL ROOM N0. 2 VOGYANA",603,481,0,1084,327,267,0,594,547,0,337,4,180,52,1,0,0,0,0,0,0,2,0,0,0,2,4,2,4,6,594
74,"KANYA JUNIOR HIGH SCHOOL ROOM N0.1 BUDHANA",637,511,0,1148,341,435,0,776,774,0,280,9,128,333,0,0,0,0,1,3,0,1,2,2,0,4,9,0,1,3,776
75,"KANYA JUNIOR HIGH SCHOOL ROOM N0.2  BUDHANA",445,353,0,798,308,248,0,556,546,0,28,3,329,186,3,0,0,2,0,1,0,0,0,0,0,2,1,0,0,1,556
76,"KANYA JUNIOR HIGH SCHOOL EXTRA ROOM  BUDHANA",458,386,0,844,276,234,0,510,509,0,32,7,432,33,1,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,510
77,"KANYA JUNIOR HIGH SCHOOL ROOM N0.3 BUDHANA",482,402,0,884,368,212,0,580,470,0,15,9,399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,423
78,"KANYA JUNIOR HIGH SCHOOL ROOM N0.5 BUDHANA",494,435,0,929,318,286,0,604,593,0,35,1,557,5,0,1,0,1,0,0,0,0,1,0,0,2,1,0,0,0,604
79,"KANYA JUNIOR SCHOOL ROOM N0. 6BUDHANA",532,452,0,984,410,335,0,745,735,0,12,2,724,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,2,1,745
80,"D.A.V. PUBLIK SCHOOL ROOM N0. 2BUDHANA",300,258,0,558,231,190,0,421,421,0,37,2,340,39,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,421
81,"D.A.V. PUBLIK SCHOOL ROOM N0.5  BUDHANA",439,382,0,821,293,250,0,543,536,0,61,1,424,50,0,0,0,1,0,0,0,0,0,0,0,3,0,1,2,0,543
82,"D.A.V. PUBLIK SCHOOL ROOM N0.9 BUDHANA",615,493,0,1108,449,373,0,822,822,0,91,10,191,514,4,0,0,1,0,4,1,0,0,0,0,3,0,0,0,3,822
83,"D.A.V. PUBLIK SCHOOL ROOM N0.1  BUDHANA",385,365,0,750,272,245,0,517,514,0,61,2,275,163,0,0,0,0,1,0,0,1,1,1,0,3,0,0,4,5,517
84,"UCCH PRATHMIK VIDYALAY ROOM NO. 2 (PRAIMARI PATHSHALA N0. 2) KE PAS BUDHANA",531,437,0,968,415,350,0,765,765,0,117,7,350,281,1,0,0,0,3,1,0,0,1,0,0,2,1,1,0,0,765
85,"UCCH PRATHMIK VIDYALAY ROOM NO. 3 (PRAIMARI PATHSHALA N0. 2 KE PAS) BUDHANA",387,367,0,754,258,208,0,466,462,0,68,3,211,176,0,0,0,1,1,1,0,0,0,2,0,2,0,0,1,0,466
86,"UCCH PRATHMIK VIDYALAY ROOM NO. 4 (PRAIMARI PATHSHALA N0. 2 KE PAS) BUDHANA",610,511,0,1121,420,375,0,795,788,0,88,18,435,239,1,0,0,3,0,3,0,0,3,1,0,3,0,0,0,1,795
87,"UCCH PRATHMIK VIDYALAY ROOM NO.5 (PRAIMARI PATHSHALA N0. 2 KE PAS) BUDHANA",474,408,1,883,329,262,0,591,573,0,14,5,169,397,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,1,591
88,"D.A.V. INTER COLLEGE ROOM N0.9 BUDHANA",486,453,0,939,351,327,0,678,676,0,25,1,241,399,2,0,0,0,0,1,0,0,1,0,0,3,1,0,1,3,678
89,"D.A.V. INTER COLLEGE ROOM N0.10 BUDHANA",437,392,0,829,319,308,0,627,529,0,17,4,350,228,0,0,1,2,2,0,0,0,0,0,1,1,1,0,15,5,627
90,"D.A.V. INTER COLLEGE ROOM N0.11 BUDHANA",589,538,0,1127,440,373,0,813,813,0,38,5,111,643,2,0,0,0,0,2,0,0,1,1,0,1,1,0,1,7,813
91,"D.A.V. INTER COLLEGE ROOM N0.12 BUDHANA",514,428,0,942,354,303,0,657,652,0,12,6,222,402,1,0,0,0,0,0,0,0,0,0,1,1,1,0,7,4,657
92,"D.A.V. INTER COLLEGE ROOM N0.13 BUDHANA",506,413,0,919,333,293,0,626,560,0,40,5,195,377,1,0,1,1,0,3,0,1,0,0,1,0,0,0,1,0,626
93,"D.A.V. INTER COLLEGE ROOM N0.6 BUDHANA",435,388,0,823,273,237,0,510,284,0,26,7,280,189,0,0,0,0,0,1,0,0,1,1,0,2,0,0,0,3,510
94,"D.A.V. INTER COLLEGE ROOM N0. 14 BUDHANA",340,289,0,629,273,209,0,482,482,0,0,9,60,399,1,0,0,5,0,1,1,0,0,1,0,0,2,0,0,3,482
95,"D.A.V. INTER COLLEGE ROOM N0.7 BUDHANA",319,298,0,617,232,222,0,454,446,0,4,2,50,392,0,0,0,2,0,2,0,0,0,0,0,0,0,0,1,1,454
96,"SWAMI KALYAN DEV KANYA MAHAVIDYALAY TANKI KI OR SE ROOM N0 1 BUDHANA",471,395,0,866,393,297,0,690,680,0,3,7,293,373,0,0,0,1,1,5,0,0,0,2,0,0,0,0,3,2,690
97,"SWAMI KALYAN DEV KANYA MAHAVIDYALAY TANKI KI OR SE ROOM N0 3 BUDHANA",420,375,0,795,333,278,0,611,397,0,3,14,120,463,1,0,0,1,2,2,1,0,0,0,1,2,0,0,0,1,611
98,"SWAMI KALYAN DEV KANYA MAHAVIDYALAY BAJAR KI OR SE ROOM N0 1 BUDHANA",411,353,0,764,263,208,0,471,451,0,11,12,187,256,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,2,471
99,"SOAMI KALYAN DEV KANYA MAHAVIDYALAY BAJAR KI OR SE ROOM N0 2  BUDHANA",599,503,0,1102,406,319,0,725,470,0,28,3,365,312,1,0,0,0,2,3,0,0,0,0,0,5,1,0,3,2,725
100,"PRAIMARI SCHOOL MOHALLA MANDI ROOM NO.1 BUDHANA",435,390,0,825,235,243,0,478,324,0,11,4,331,118,1,0,0,0,0,2,0,0,1,1,1,1,2,2,1,2,478
101,"PRAIMARI SCHOOL MOHALLA MANDI ROOM NO.2 BUDHANA",453,383,0,836,305,238,0,543,369,0,21,3,249,259,0,0,0,0,0,1,0,1,2,1,0,1,0,0,4,1,543
102,"PRAIMARI PATHSHALA ROOM NO.1 SAFIPUR PATTI",919,715,0,1634,666,570,0,1236,1106,0,55,5,9,1153,3,0,0,0,0,0,0,1,0,0,2,1,2,1,1,3,1236
103,"PRAIMARI SCHOOL N0.2 ROOM NO.1SAPHIPUR PATTI( BUDHANA DEHAT)",472,372,0,844,335,280,0,615,472,0,6,0,587,9,0,0,0,0,0,0,0,0,0,0,0,0,2,0,7,4,615
104,"PRAIMARI SCHOOL NO.2 R0 NO 2 SAFHIPUR PATTI( BUDHANA DEHAT )",574,464,0,1038,395,255,0,650,639,0,38,2,586,10,0,0,0,0,0,0,0,1,1,1,0,2,0,1,6,2,650
105,"AZAD MORDEN PUBLIC JUNIOR HIGH SCHOOL ROOM NO. 1 SAFHIPUR PATTI ( BUDHANA DEHAT)",878,703,0,1581,511,399,0,910,901,0,66,7,550,250,1,0,1,5,0,4,0,1,1,3,1,6,2,0,9,3,910
106,"AZAD MORDEN PUBLIC JUNIOR HIGH SCHOOL ROOM NO.2 SAFHIPUR PATTI ( BUDHANA DEHAT)",807,699,0,1506,499,496,0,995,705,0,120,13,665,174,0,1,0,2,0,1,0,0,1,5,1,1,1,2,7,1,995
107,"AZAD MORDEN PUBLIC JUNIOR HIGH SCHOOL ROOM NO.3 SAFHIPUR PATTI ( BUDHANA DEHAT)",685,579,0,1264,402,371,0,773,757,0,54,4,441,229,3,0,1,0,1,4,0,2,3,2,3,2,0,1,12,11,773
108,"PRAIMARI PATSHALA ROOM NO.1 HUSAINPUR KALAN",717,516,0,1233,366,332,0,698,695,0,159,0,375,145,2,0,0,0,0,3,0,0,3,1,1,4,2,1,1,1,698
109,"PRAIMARI PATSHALA ROOM NO. 2 HUSAINPUR KALAN",750,544,0,1294,456,332,0,788,731,0,334,2,355,73,2,0,1,0,1,2,0,1,0,1,2,3,8,0,0,3,788
110,"PRAIMARI PATHSHALA ROOM NO.3 HUSAINPUR KALAN",563,438,0,1001,295,226,0,521,521,0,140,2,83,269,1,0,1,1,0,4,2,0,3,1,0,3,7,0,3,1,521
111,"PRAIMARI SCHOOL ROOM N0. NAYA BHAVAN ROOM NO. 1 BAVANA",577,487,0,1064,417,356,0,773,339,0,13,0,297,432,5,0,0,1,1,2,0,0,6,2,1,1,0,0,5,7,773
112,"PRAIMARI SCHOOL  NAYA BHAVAN ROOM N0.2 BAVANA",534,392,0,926,419,324,0,743,329,0,4,1,84,643,1,0,0,0,1,3,0,0,4,0,0,1,0,0,0,1,743
113,"PRAIMARI SCHOOL ROOM N0. 1 BHASANA",432,371,0,803,329,276,0,605,512,0,83,1,229,274,0,0,1,0,0,3,0,1,2,0,0,0,2,1,1,7,605
