"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - JAGDAMBIKA PAL","2 - MATA PRASAD PANDEY","3 - MUHAMMAD MUQEEM","4 - VASUNDHARA","5 - HAMIDULLAH CHAUDHARY","6 - DR. MOHD. AYUB","7 - ARJUN SINGH","8 - PINGLE PRASAD","9 - BADRE ALAM","10 - MANOJ KUMAR","11 - RAVI KUMAR","12 - DR. SATYENDRA  NATH PANDEY","13 - SANTRAM","14 - KALI RAM","15 - DIWAKAR PRASAD","16 - MUKESH NARAYAN SHUKLA URF GYANESH NARAYAN SHUKLA","17 - RAM UGRAH","18 - None of the Above","Total Votes Secured"
103,"GANDHI ADRASH VIDYALAY BARHNI",295,215,0,510,128,95,0,223,223,0,101,20,32,4,0,61,0,2,0,0,1,0,0,1,1,0,0,0,223
104,"GANDHI ADRASH VIDYALAY BARHNI",378,289,0,667,211,139,0,350,350,0,229,32,21,6,0,57,0,0,0,0,0,0,0,0,0,2,2,1,350
105,"GANDHI ADRASH VIDYALAY BARHNI",631,513,0,1144,388,281,0,669,669,0,351,26,107,8,3,150,2,5,2,1,0,2,0,0,2,1,6,3,669
106,"GANDHI ADRASH VIDYALAY BARHNI",731,607,0,1338,384,263,0,647,647,0,474,33,46,13,1,71,0,0,0,2,0,0,0,0,0,2,2,3,647
107,"DHANAURA BUZURG",529,457,0,986,330,297,0,627,627,0,173,54,218,13,4,97,2,2,1,0,1,13,2,3,4,9,18,13,627
108,"DHAUNREY URF JIGNHIWA",547,458,0,1005,270,254,0,524,524,0,90,232,62,15,3,100,2,0,2,0,4,9,1,0,0,4,0,0,524
109,BARGADWA,411,341,0,752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,TEESAM,258,252,0,510,163,130,0,293,293,0,123,33,51,19,0,33,2,0,3,1,5,7,1,3,0,6,4,2,293
111,PIPRA,310,291,0,601,125,135,0,260,260,0,78,5,30,18,4,95,2,3,8,0,1,4,0,0,2,7,2,1,260
112,"BHAVPUR URF GULRI",423,361,0,784,205,189,0,394,394,0,55,102,41,6,3,159,4,1,2,1,1,1,0,2,3,6,2,5,394
113,SEMRAHWA,346,355,0,701,209,195,0,404,404,0,121,69,136,6,1,28,1,6,2,0,1,11,2,4,4,6,5,1,404
114,"GHORHI URF ROINHIWA",384,308,1,693,255,204,0,459,459,0,227,77,62,17,5,46,1,1,1,1,0,4,2,1,3,5,4,2,459
115,"MAHADEV BUZURG",363,327,0,690,216,219,0,435,435,0,35,63,75,16,3,213,3,7,3,2,0,1,1,1,1,3,1,7,435
116,BAGAHI,367,278,1,646,153,159,0,312,312,0,46,104,16,16,3,95,0,3,2,2,4,6,1,3,1,4,3,3,312
117,AUDHI,617,503,0,1120,324,302,0,626,626,0,135,128,156,49,6,96,4,6,2,3,2,13,2,12,4,5,2,1,626
118,AUDHI,583,442,0,1025,291,256,0,547,547,0,166,108,137,17,3,32,2,9,3,1,3,3,3,0,0,10,24,26,547
119,PACHUTH,388,311,0,699,202,180,0,382,382,0,55,104,105,19,5,64,3,5,2,2,1,3,0,1,0,7,2,4,382
120,REDWARIYA,612,503,0,1115,290,337,0,627,627,0,105,191,71,15,6,198,2,5,1,2,3,4,2,2,1,4,4,11,627
121,MAANPUR,702,549,0,1251,391,300,0,691,691,0,376,107,73,25,9,25,3,4,4,4,6,13,1,3,5,9,13,11,691
122,"BASAWANPAKAR URF MADRAHIYA",622,533,0,1155,312,306,0,618,618,0,197,206,23,11,5,113,3,2,4,2,3,10,4,2,2,17,7,7,618
123,AHIRAULA,692,570,1,1263,395,308,0,703,703,0,358,73,136,75,2,3,2,6,3,0,2,6,5,2,2,7,17,4,703
124,BASANTPUR,596,562,0,1158,378,392,0,770,770,0,155,113,114,18,7,307,4,4,5,3,3,6,7,3,3,9,4,5,770
125,BANCHAURI,336,278,0,614,228,172,0,400,400,0,203,99,29,17,1,19,1,1,4,1,1,7,1,0,0,6,7,3,400
126,KHARIKAURA,347,293,0,640,210,223,0,433,433,0,165,162,50,23,2,18,0,1,0,0,2,1,1,1,1,3,1,2,433
127,BOHALI,589,513,0,1102,315,287,0,602,602,0,189,165,129,54,6,14,3,1,2,0,2,6,6,3,6,8,3,5,602
128,CHANDAI,507,432,1,940,303,240,0,543,543,0,234,81,76,79,3,17,2,5,2,5,4,8,2,4,3,13,3,2,543
129,LOHATI,395,359,0,754,276,228,0,504,504,0,200,167,65,14,4,18,2,1,1,2,2,5,1,4,3,10,2,3,504
130,CHARINGAVA,429,349,0,778,280,262,0,542,542,0,269,60,131,6,6,29,0,2,2,1,1,8,1,11,1,8,2,4,542
131,JOBKUNDA,653,519,1,1173,334,302,0,636,636,0,140,188,182,16,5,70,5,3,1,2,2,5,1,4,1,7,2,2,636
132,KOTIA,544,437,0,981,304,243,0,547,547,0,246,180,45,5,1,43,1,1,1,0,1,9,1,2,3,6,1,1,547
133,DHANDHARA,500,418,0,918,241,238,0,479,479,0,56,153,102,19,5,108,3,2,2,2,0,7,6,2,1,6,2,3,479
134,KAPSIHWA,834,747,2,1583,355,386,0,741,741,0,204,136,207,14,4,50,6,13,6,7,4,20,9,13,9,22,9,8,741
135,SIHORWA,266,232,0,498,153,159,0,312,312,0,78,44,152,8,2,4,0,1,2,1,1,6,3,1,1,4,2,2,312
136,SURJI,404,315,0,719,213,183,0,396,396,0,101,82,172,10,1,9,0,2,0,0,1,6,1,3,1,5,0,2,396
137,ARRI,340,283,0,623,186,180,0,366,366,0,87,77,100,68,5,1,1,2,2,0,0,8,1,2,1,5,3,3,366
138,"DHANAURA MUSTAHKAM",422,357,0,779,187,173,0,360,360,0,126,17,116,20,4,45,0,7,1,2,1,10,0,1,1,5,3,1,360
139,"DHANAURA MUSTAHKAM",428,370,0,798,226,215,0,441,441,0,46,20,185,34,1,114,1,6,3,4,0,7,2,9,1,5,1,2,441
140,KAMHARIYA,143,117,0,260,76,76,0,152,152,0,39,42,18,42,2,6,0,0,0,0,0,0,1,0,0,1,1,0,152
141,JHARUA,478,374,0,852,257,236,0,493,493,0,161,143,66,40,3,42,1,3,2,1,1,5,2,4,3,13,2,1,493
142,JUGDIHWA,491,431,0,922,236,275,0,511,511,0,107,128,69,27,0,134,3,0,1,0,4,14,4,4,4,8,2,2,511
143,MOHANKOLA,723,663,0,1386,342,389,0,731,731,0,169,158,105,11,9,234,2,3,4,0,2,8,1,8,1,5,8,3,731
144,CHANDWA,419,342,0,761,244,182,0,426,426,0,193,103,36,53,6,0,0,1,3,1,1,9,1,2,4,7,5,1,426
145,PAYKI,326,269,0,595,161,173,0,334,334,0,89,14,65,17,4,124,1,1,2,0,2,6,2,0,2,2,2,1,334
146,DHANDHRA,122,101,0,223,72,60,0,132,132,0,56,45,14,3,1,1,0,0,1,1,0,2,0,3,1,2,1,1,132
147,GANESHPUR,675,593,0,1268,360,330,0,690,690,0,193,145,143,47,5,118,1,1,1,1,3,5,0,6,4,7,8,2,690
148,SAHINWAR,352,312,0,664,178,191,0,369,369,0,188,26,68,40,2,7,0,3,7,0,1,8,3,2,2,6,5,1,369
149,PARSA,456,367,0,823,262,205,0,467,467,0,269,44,72,37,3,16,2,3,0,4,2,6,0,1,5,1,2,0,467
150,UTRAULA,232,205,0,437,125,125,0,250,250,0,97,64,28,27,1,2,3,0,3,0,3,6,0,0,2,0,8,6,250
151,"SISWA BUZURG",563,448,0,1011,337,283,0,620,620,0,210,95,144,43,4,78,0,3,5,2,2,10,1,3,1,6,5,8,620
152,PADRIYA,377,337,0,714,205,217,0,422,422,0,121,63,150,23,4,15,1,5,4,3,1,4,3,3,1,8,6,7,422
153,MOHANKOLI,136,126,0,262,64,78,0,142,142,0,11,6,74,3,9,30,5,2,0,0,0,0,1,0,0,1,0,0,142
154,GADARKHA,353,293,0,646,206,200,0,406,406,0,156,57,130,13,1,10,1,8,5,0,1,7,3,2,2,0,8,2,406
