"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - NARENDRA BHATI","2 - DR.MAHESH  SHARMA","3 - RAMESH CHAND TOMAR","4 - SATISH KUMAR","5 - UDAYVEER","6 - KISHAN PAL SINGH","7 - GAJENDRA","8 - DHARMENDER","9 - RAVINDER SHARMA","10 - RAM VILAS","11 - RUVEZ ALAM RAHI","12 - MOHD. SABIR ANSARI","13 - LT COL SP SINGH","14 - SEEMA","15 - SONIA SHARMA","16 - KADEEM","17 - KADIR KHAN JAISWAL","18 - GRISA KUMAR","19 - MAHESH","20 - RAKESH","21 - SAFRUDDIN","22 - SAVITRI","23 - SUNIL GAUTAM","24 - SUMITI","25 - None of the Above","Total Votes Secured"
91,"IBRAHIMPUR JUNAIDPUR ALIAS MAUJPUR PRIMARY SCHOOL R NO. 2",253,222,0,475,175,136,0,311,311,0,52,229,1,23,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,1,0,1,311
92,"IBRAHIMPUR JUNAIDPUR ALIAS MAUJPUR PRIMARY SCHOOL R NO. 3",482,428,0,910,272,258,0,530,530,0,54,442,7,5,0,3,0,0,0,0,1,2,1,0,5,5,0,2,0,0,0,2,0,0,1,530
93,"MAINA MAUJPUR PRIMARY SCHOOL R NO. 1",484,448,0,932,308,303,0,611,611,0,35,546,12,9,0,1,0,0,0,0,0,3,0,0,2,1,0,1,0,0,0,0,0,1,0,611
94,"MAINA MAUJPUR PRIMARY SCHOOL R NO. 3",414,330,0,744,254,202,0,456,456,0,31,357,9,46,1,3,0,2,0,0,0,3,0,0,0,1,0,1,0,0,0,0,2,0,0,456
95,"MAINA MAUJPUR PRIMARY SCHOOL R NO. 2",859,745,0,1604,525,406,0,931,931,0,96,691,30,72,0,11,0,5,0,1,0,5,1,0,4,7,1,1,2,0,0,2,0,0,2,931
96,"MAINA MAUJPUR MUNSHI LAL JUNIOR HIGH SCHOOL R NO. 1",565,512,0,1077,400,327,0,727,727,0,55,505,11,134,0,5,0,1,0,0,2,7,1,0,3,0,0,1,0,1,0,0,0,0,1,727
97,"MAINA MAUJPUR MUNSHI LAL JUNIOR HIGH SCHOOL R NO. 2",500,454,0,954,353,286,0,639,639,0,130,405,12,74,0,3,0,1,0,0,0,3,0,1,1,3,1,4,0,0,0,0,0,0,1,639
98,"ZAHIDPUR KHURD PRIMARY SCHOOL",214,189,0,403,188,153,0,341,341,0,109,210,2,0,0,13,0,2,0,1,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,341
99,"ISHAMAILPUR BUDHAINA PRIMARY SCHOOL",684,560,0,1244,496,383,0,879,879,0,54,94,11,673,6,5,2,2,0,3,1,3,9,2,0,5,1,2,2,1,1,0,1,0,1,879
100,"SULTANPUR PRIMARY SCHOOL",290,272,0,562,245,210,0,455,455,0,5,411,2,21,0,1,0,0,0,0,0,1,1,0,7,5,0,0,0,0,0,1,0,0,0,455
101,"SEEKRI PRIMARY SCHOOL",843,718,0,1561,579,438,0,1017,1017,0,93,551,9,324,2,10,2,3,1,1,0,10,1,1,3,0,1,1,0,0,1,1,0,1,1,1017
102,"IKKA TAJPUR ALIAS SHEEKRA PRIMARY SCHOOL",468,388,0,856,348,270,0,618,618,0,182,342,2,72,0,6,0,2,0,1,0,4,1,0,1,1,2,0,1,0,0,0,0,0,1,618
103,"MUBARIKPUR PRIMARY SCHOOL",365,305,0,670,290,230,0,520,520,0,72,317,4,116,0,1,0,1,0,0,1,1,0,0,2,3,0,0,0,1,0,0,0,1,0,520
104,"MOHAMADPUR ALIAS BHOGPUR PRIMARY SCHOOL",198,176,0,374,170,121,0,291,291,0,65,203,0,21,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,291
105,"NIZAMPUR PRIMARY SCHOOL",339,300,0,639,272,238,0,510,510,0,153,24,0,321,1,0,0,1,0,0,1,0,1,0,0,5,2,0,0,1,0,0,0,0,0,510
106,"DHAKAR PRIMARY SCHOOL R NO. 1",677,592,0,1269,535,409,0,944,944,0,371,139,4,403,2,5,0,1,0,0,0,0,0,0,0,4,0,4,0,9,0,1,0,1,0,944
107,"DHAKAR PRIMARY SCHOOL R NO. 2",511,446,0,957,353,326,0,679,679,0,36,152,8,428,4,8,0,1,1,2,0,1,1,1,2,3,2,3,2,17,2,0,0,1,4,679
108,"FARANA KANYA PATHSHALA",736,619,0,1355,527,413,0,940,940,0,113,587,9,170,2,6,3,1,1,1,3,6,3,2,4,5,4,7,5,1,1,3,0,1,2,940
109,"JAMALPUR PRIMARY SCHOOL",262,226,0,488,201,170,0,371,371,0,0,220,3,134,0,4,0,0,0,0,0,1,0,0,1,0,0,4,0,2,2,0,0,0,0,371
110,"NAGLA MOHIUDDINPUR PRIMARY SCHOOL",574,527,0,1101,461,376,0,837,837,0,18,700,4,70,0,11,1,1,1,3,0,7,0,1,8,3,1,5,0,2,0,0,0,0,1,837
111,"BICHOLA PRIMARY SCHOOL R NO. 1",489,427,0,916,310,271,0,581,581,0,47,450,3,59,0,5,0,0,0,0,0,2,3,1,1,0,2,5,1,2,0,0,0,0,0,581
112,"BICHOLA PRIMARY SCHOOL R NO. 2",447,402,0,849,316,273,0,589,589,0,97,321,4,156,1,1,1,1,0,0,0,3,0,0,2,2,0,0,0,0,0,0,0,0,0,589
113,"KHABRA PRIMARY SCHOOL",784,712,0,1496,492,374,0,866,866,0,58,750,10,17,1,0,1,1,1,0,0,9,0,0,9,2,1,5,0,0,0,1,0,0,0,866
114,"DHARARI KANYA PATHSHALA",585,498,0,1083,474,342,0,816,816,0,67,697,9,38,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,816
