"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - ATIQ AHMAD","2 - DADDAN MISHRA","3 - LAL JI VERMA","4 - VINAY KUMAR PANDEY","5 - PRAKSH CHANDRA MISHRA","6 - RATNESH","7 - RAM SUDHI","8 - RIZWAN ZAHEER","9 - SAXEN","10 - ARJUN YADAV","11 - ARUN KUMAR","12 - TEJ BAHADUR","13 - RAM ADHAR","14 - VIJAY KUMAR","15 - None of the Above","Total Votes Secured"
357,"P.P. KURKUTDIH EAST BHAG",853,671,0,1524,371,324,0,695,685,0,185,241,190,18,1,2,3,31,4,1,3,3,3,1,9,695
358,"P.P. KURKUTDIH P. BHAG",820,641,0,1461,294,265,0,559,559,0,235,178,77,12,0,1,1,33,2,1,5,3,3,1,7,559
359,"J.H. SCHOOL AGYA BUJURG EAST BHAG",624,540,0,1164,238,266,0,504,504,0,179,207,36,11,3,2,2,49,0,2,6,0,3,2,2,504
360,"J.H. SCHOOL AGYA BUJURG P. BHAG",716,629,0,1345,248,281,0,529,529,0,229,203,38,7,2,0,1,18,2,2,9,4,5,3,6,529
361,"P.P. MAHDEYA SIRSIYA NORTH BHAG BHAG",593,505,0,1098,238,216,0,454,54,0,197,169,50,9,2,0,1,19,0,0,2,1,0,1,3,454
362,"P.P. MAHDEYA SIRSIYA SOUTH BHAG",485,406,0,891,202,181,0,383,383,0,86,227,38,2,2,0,1,3,3,1,5,1,4,6,4,383
363,"P.P. MAHUA DHAR",579,500,0,1079,225,219,0,444,110,0,270,89,31,8,3,0,0,32,0,1,0,1,5,3,1,444
364,"P.P. BILRIYA (KALUBANKAT)",602,488,0,1090,251,206,0,457,457,0,170,126,26,8,3,3,0,90,4,3,12,5,2,0,5,457
365,"J.H. SCHOOL KALINJAR GRINT",509,391,0,900,250,198,0,448,434,0,9,347,52,6,3,1,0,4,1,1,9,2,2,5,6,448
366,"P.P. REDWALIYA NORTH BHAG",597,416,0,1013,345,188,0,533,520,0,84,331,84,8,4,0,0,7,1,2,8,1,0,1,2,533
367,"P.P. REDWALIYA SOUTH BHAG",642,478,0,1120,330,225,0,555,500,0,127,328,65,16,0,0,1,2,2,0,2,1,2,2,7,555
368,"J.H. SCHOOL JAFRABAD ROOM NO 1",688,505,0,1193,223,267,0,490,410,0,251,103,11,28,1,3,1,82,3,2,3,0,0,1,1,490
369,"J.H. SCHOOL JAFRABAD ROOM NO 2",672,473,0,1145,287,170,0,457,457,0,113,112,73,24,1,5,5,109,0,2,4,2,4,0,3,457
370,"P.P. MASIHABAD GRINT",462,394,0,856,193,199,0,392,392,0,213,73,28,5,1,2,0,53,0,2,1,3,4,2,5,392
371,"P.P. MASIHABAD GRINT EXTRA ROOM",537,358,0,895,179,133,0,312,311,0,116,68,10,15,1,1,1,90,0,0,1,0,3,2,4,312
372,"P.P. MOHAMMAD NAGAR GRINT EAST BHAG",472,352,0,824,235,191,0,426,426,0,88,182,109,7,1,0,3,16,0,5,4,2,3,3,3,426
373,"P.P. MOHAMMAD NAGAR GRINT P. BHAG",543,398,1,942,214,158,0,372,371,0,121,140,67,2,5,0,0,17,0,2,2,3,2,4,7,372
374,"P.P. BADHARA BHITAURA EAST BHAG",499,419,0,918,233,134,0,367,366,0,154,91,18,10,1,4,4,80,0,0,2,0,0,2,1,367
375,"P.P. BADHARA BHITAURA P. BHAG",387,304,0,691,173,147,0,320,320,0,93,71,18,6,2,1,2,123,1,0,2,0,0,0,1,320
