"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - AMBIKA SINGH","2 - BRIJ KISHOR SINGH","3 - RAM PRASAD CHAUDHARY","4 - HARISH CHANDRA  ALIAS  HARISH DWIVEDI","5 - ANAND RAJPAL","6 - PURUSHOTTAM PANDEY","7 - BHAGWANDAS","8 - RAM KARAN ALIAS R.K. GAUTAM","9 - SHIVPOOJAN RAJBHAR","10 - SITA RAM","11 - ARUN KUMAR","12 - KRISHNA  KUMAR UPADHYAY ADVOCATE","13 - RAM SHANKAR GUPTA","14 - None of the Above","Total Votes Secured"
164,"ANGANWANI KENDRA DIHIKHAS",261,224,0,485,162,154,0,316,270,0,4,105,87,106,2,2,0,2,0,0,0,5,0,3,316
165,"P.S. HARRIYA",363,324,0,687,184,215,0,399,300,0,14,40,178,135,6,0,1,2,0,0,2,6,3,12,399
166,"P.S.CHAKDOOLAM ALIGE DANIYA",264,256,0,520,155,151,0,306,306,0,6,22,162,107,2,1,1,0,0,1,0,2,1,1,306
167,"P.S. KAMHARIYA",344,277,0,621,213,160,0,373,50,0,3,220,74,65,1,0,1,0,0,1,1,1,2,4,373
168,"P.S. SAPAHA",301,272,0,573,225,192,0,417,355,0,2,45,128,229,1,2,0,2,0,0,0,2,1,5,417
169,"P.S. JUAAJATA EAST",328,298,0,626,189,191,0,380,329,0,6,46,213,101,2,0,1,2,1,0,1,3,0,4,380
170,"P.S. JUAAJATA WEST",512,423,0,935,276,247,0,523,500,0,18,116,136,229,1,1,2,2,0,2,0,3,3,10,523
171,"P.S. KATARUAA DALTHAMHAN",606,507,0,1113,352,415,0,767,767,0,16,363,143,222,3,1,4,4,1,1,5,0,2,2,767
172,P.S.PIDAWAL,452,363,1,816,227,224,0,451,417,0,7,102,177,147,4,0,1,0,1,0,1,3,3,5,451
173,"P.S. HATHIYA",377,330,0,707,229,210,0,439,400,0,12,82,101,232,2,1,1,1,0,0,1,0,1,5,439
174,"P.S. NIRAJANPUR",516,440,1,957,352,299,0,651,32,0,13,335,104,171,2,2,1,3,1,3,0,2,3,11,651
175,"P.S. SEMARA",351,280,0,631,194,198,0,392,391,0,7,96,201,68,0,0,2,1,1,0,1,6,4,5,392
176,"P.S. DEWADIHA",464,383,0,847,243,212,0,455,424,0,9,92,105,220,4,4,3,2,3,2,3,1,1,6,455
177,"P.S. KADSARI GAUTAM",459,372,0,831,261,238,0,499,494,0,11,138,211,116,4,1,2,2,2,0,0,5,3,4,499
178,"P.S . RAKHAUNA",612,528,0,1140,463,337,0,800,711,0,13,287,154,307,15,3,1,3,1,0,3,3,1,9,800
