"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - AMEETA SINGH","2 - PAWAN PANDEY","3 - FEROZE VARUN GANDHI","4 - SHAKEEL AHMED","5 - GIRISH LAL","6 - DR. NAFEES AHMAD","7 - PITAMBAR NISHAD","8 - RAM MILAN","9 - MOHD SHAMIM","10 - SHIV SHANKAR","11 - SHAILENDRA PRATAP SINGH","12 - SARTAJ KHAN","13 - BRIJESH KUMAR","14 - VARUN GANDHI","15 - VIJAY","16 - None of the Above","Total Votes Secured"
132,"P.P. PAHARPURKALA KATCH NO. 1",605,528,0,1133,359,315,0,674,667,0,18,311,185,126,2,3,2,3,2,0,2,0,5,3,9,3,674
133,"P.P. PAHARPURKALA KATCH NO. 2",635,572,0,1207,361,352,0,713,711,0,35,131,388,105,3,4,2,1,5,2,7,3,6,10,3,8,713
134,"P.P. HINDUABAD PRATHAM KATCH NO. 1",787,713,0,1500,381,400,0,781,781,0,150,158,236,167,3,5,3,1,2,3,5,8,12,18,5,5,781
135,"P.P. HINDUABAD PRATHAM KATCH NO. 2",758,631,1,1390,349,340,0,689,608,0,38,248,268,90,2,2,0,1,3,1,2,3,4,17,3,7,689
136,"J.H.S. BAHAUDDINPUR",221,201,0,422,212,166,0,378,378,0,3,0,365,10,0,0,0,0,0,0,0,0,0,0,0,0,378
137,"P.P. TURKAULI BAHAUDDINPUR",735,627,0,1362,309,403,0,712,712,0,23,60,295,265,9,6,2,1,0,1,3,2,6,31,5,3,712
138,"P.P. SARSI",301,279,0,580,169,162,0,331,331,0,5,89,204,15,1,0,0,0,0,0,1,0,1,9,4,2,331
139,"P.P. JALALPUR KEWTAN AMREMAU",841,743,0,1584,425,487,0,912,912,26,26,210,310,314,8,2,1,1,2,3,5,4,6,13,2,5,912
140,"J.H.S. AMREMAU",402,349,0,751,183,178,0,361,330,0,5,119,191,24,0,0,0,1,0,0,2,1,4,12,1,1,361
141,"P.P. SHUKULPUR",450,392,0,842,308,216,0,524,488,0,8,191,233,78,1,1,2,1,0,1,0,0,1,1,4,2,524
142,"P.P. DEVRAJPUR",420,376,0,796,232,213,0,445,445,0,42,162,197,13,2,2,0,2,3,0,3,1,1,10,4,3,445
143,"P.P. RAMNAGAR POOREHARDAS",500,411,0,911,295,265,0,560,300,0,13,161,290,64,0,6,0,0,2,3,1,1,2,10,5,2,560
144,"P.P. BOODAPUR KATCH NO. 1",529,473,0,1002,275,309,0,584,574,0,39,135,154,223,3,1,0,4,0,1,4,1,8,8,1,2,584
145,"P.P. BOODAPUR KATCH NO. 2",235,196,0,431,121,128,0,249,216,0,23,87,78,52,0,1,0,0,0,0,3,0,0,1,3,1,249
146,"P.P. KATGHARKHAS",262,246,0,508,105,171,0,276,201,0,100,30,65,56,2,1,0,0,1,0,5,1,3,9,2,1,276
147,"P.P. KARAUDIKALA",723,618,0,1341,427,340,0,767,766,0,37,232,448,31,2,2,0,1,1,0,1,0,3,8,1,0,767
148,"J.H.S. KATGHARPOORE CHAUHAN KATCH NO. 1",641,538,0,1179,315,390,0,705,705,0,71,204,190,216,1,2,0,0,0,0,3,0,2,10,2,4,705
149,"J.H.S. KATGHARPOORE CHAUHAN KATCH NO. 2",657,545,0,1202,288,337,0,625,625,0,43,124,213,221,1,2,1,1,2,0,3,1,6,2,2,3,625
150,"P.P. SAKARDE",730,648,0,1378,372,399,0,771,771,0,51,170,258,226,1,3,2,1,3,4,7,2,10,15,11,7,771
151,"P.P. BHATAUTA TULSIPATTI",732,617,0,1349,336,408,0,744,699,0,135,226,230,110,3,3,1,2,1,1,3,1,9,12,5,2,744
152,"J.H.S. SHAHABUDDINPUR KATCH NO. 1",791,682,0,1473,499,380,0,879,879,0,38,191,461,137,3,2,1,3,0,3,14,1,7,11,4,3,879
153,"J.H.S. SHAHABUDDINPUR KATCH NO. 2",533,464,0,997,322,270,0,592,562,0,84,197,251,28,0,1,2,1,1,1,2,0,7,8,7,2,592
154,"P.P. RAMSAPUR",346,302,0,648,183,190,0,373,373,0,14,61,216,49,3,6,1,0,1,0,5,0,3,9,1,4,373
155,"P.P. BANGARKHURD KATCH NO. 1",675,551,0,1226,328,314,0,642,600,0,39,221,322,14,2,2,3,1,2,5,0,0,2,12,8,9,642
