"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - KUNWAR PUSHPENDRA SINGH CHANDEL","2 - PRITAM SINGH LODHI","3 - BISHAMBHAR PRASAD NISHAD","4 - RAKESH KUMAR GOSWAMI","5 - ATUL KUMAR PRAJAPATI","6 - ANIL KUMAR","7 - AVINASH KUMAR MISHRA","8 - KAILASH PRASAD NISHAD","9 - RAMESH PRAJAPATI","10 - RAMSAJIVAN","11 - VIVEK KUMAR","12 - SHRIPAL","13 - KIRAN","14 - PRAVESH KUMAR VYAS","15 - VIMLESH","16 - None of the Above","Total Votes Secured"
153,"P.S. LILWAN",319,270,0,589,206,160,0,366,361,0,144,9,67,122,3,5,2,3,0,2,3,1,1,1,0,3,366
154,P.S.TAPRAN,285,229,0,514,206,168,0,374,374,0,30,2,193,112,2,1,1,0,0,1,2,2,2,2,20,4,374
155,"N.P.S. KASHIPUR",583,471,0,1054,382,248,0,630,627,0,255,47,135,172,3,4,2,2,1,1,3,0,1,0,2,2,630
156,P.S.MADHAUGUNJ,247,202,0,449,172,138,0,310,310,0,33,14,173,53,4,0,0,0,1,0,4,0,1,2,21,4,310
157,P.S.KARPAHARIYA,258,229,0,487,162,131,0,293,293,0,87,90,50,40,2,7,2,2,1,0,5,1,0,1,2,3,293
158,"P.S. UMRAI",570,468,0,1038,361,268,0,629,628,0,311,121,47,114,3,5,1,2,2,3,2,1,1,2,6,8,629
159,"N.P.S. TAIYA R.NO-1",660,525,0,1185,383,281,0,664,664,0,223,22,176,187,1,7,3,0,0,2,5,4,8,11,2,13,664
160,"N.P.S. TAIYA R.NO-2",359,312,0,671,212,165,0,377,377,0,116,52,89,96,1,2,0,2,2,0,1,1,5,4,2,4,377
161,"N.P.S. CHAMARRA",344,274,0,618,219,172,0,391,391,0,216,10,4,134,1,0,6,0,0,1,5,0,2,2,8,2,391
162,"P.S. SAURA R.NO-1",657,573,0,1230,418,366,0,784,127,0,254,47,49,357,9,10,11,1,1,5,8,2,5,8,2,15,784
163,"P.S. SAURA R.NO-2",699,563,0,1262,423,293,0,716,510,0,455,29,85,94,6,4,3,0,1,1,9,4,3,4,6,12,716
164,"P.S. RAWATPURKALAN",281,238,0,519,237,123,0,360,299,0,216,5,5,122,1,0,1,1,0,0,0,1,2,0,0,6,360
165,"P.S. MANKI",238,185,0,423,145,115,0,260,152,0,70,28,17,124,3,0,6,0,1,0,7,0,1,2,1,0,260
166,"P.S. KARHARA KHURD KHAIRO",103,91,0,194,89,63,0,152,147,0,93,4,25,15,2,1,3,1,2,0,2,0,0,0,1,3,152
