"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - NEERAJ SHEKHAR","2 - BHARAT SINGH","3 - VIRENDRA KUMAR PATHAK","4 - SUDHA RAI","5 - AFZAL ANSARI","6 - AVADHESH VERMA","7 - COL RETD. BHARAT SINGH SHAURYA CHAKRA","8 - MANNU YADAV","9 - RAMJI","10 - RAMROOP","11 - SUCHIT GOND","12 - BHOLA NATH","13 - MANISH","14 - MANOJ","15 - SHESHNATH","16 - None of the Above","Total Votes Secured"
126,P.P.TARAWA,340,301,0,641,193,211,0,404,2,0,89,9,161,2,130,3,0,0,0,2,8,0,0,0,0,0,404
127,P.P.NAGAWA,681,598,0,1279,328,361,0,689,620,0,47,150,200,20,245,3,3,0,1,5,2,3,2,5,2,1,689
128,P.P.PARAJIPAH,357,342,0,699,166,211,0,377,120,0,10,72,233,15,26,3,1,2,0,3,1,2,0,4,0,5,377
129,"P.P.KATAYA LAHANG (W.WING)",726,588,0,1314,394,311,0,705,232,0,284,167,145,19,74,2,2,0,2,0,1,2,2,3,0,2,705
130,"P.P.KATAYA LAHANG (E.WING)",750,638,0,1388,401,340,0,741,316,0,98,272,262,37,36,4,6,2,0,5,1,2,4,4,3,5,741
131,"P.P.RAJAPUR KLAN",842,723,0,1565,436,456,0,892,598,0,192,386,32,11,222,4,8,0,1,17,2,3,5,7,1,1,892
132,P.P.BUDHANPUR,758,647,0,1405,402,384,0,786,660,0,261,73,171,9,257,0,2,2,0,4,0,3,4,0,0,0,786
133,P.P.JAGADISPUR,730,573,0,1303,395,358,0,753,527,0,105,231,177,58,145,3,4,5,2,4,2,1,12,1,1,2,753
134,"P.P.DHARWARA KLAN (W.WING)",807,658,0,1465,469,391,0,860,306,0,111,237,264,25,155,3,2,1,1,5,3,7,13,7,7,19,860
135,"P.P.DHARWARA KLAN (E.WING)",405,341,0,746,215,188,0,403,150,0,71,256,10,8,49,0,0,0,1,1,0,0,2,2,1,2,403
136,P.P.KASIMABAD(W.WING),743,633,0,1376,441,351,0,792,2,0,91,454,16,14,191,2,2,0,0,8,3,2,2,3,3,1,792
137,P.P.KASIMABAD(E.WING),791,673,0,1464,406,371,0,777,108,0,228,271,12,8,236,0,3,1,0,6,0,3,1,2,1,5,777
138,"SRI RAJNARAYAN SARWODAY SHI S.VISHUNPUR",463,397,0,860,277,270,0,547,2,0,37,336,50,23,70,2,1,1,0,5,1,0,2,6,3,10,547
139,P.P.KUTABAPUR,352,300,0,652,215,207,0,422,390,0,88,103,163,6,55,1,2,1,0,1,0,0,1,1,0,0,422
140,"P.P.BADAGAW (NAVEEN BHAWAN)",651,548,0,1199,406,392,0,798,2,0,7,252,360,8,121,1,2,0,0,9,1,4,15,10,4,4,798
141,"NATIONAL INTER C. KASIMABAD (S.WING)",700,611,0,1311,435,373,0,808,208,0,80,567,59,20,57,0,1,1,1,4,0,1,5,8,2,2,808
142,"NATIONAL INTER C. KASIMABAD (C)",695,577,0,1272,396,311,0,707,601,0,65,530,62,5,31,1,0,0,0,1,0,0,3,3,3,3,707
143,"NATIONAL INTER C. KASIMABAD (N.WING)",342,330,0,672,187,195,0,382,300,0,55,108,161,9,39,1,0,0,0,3,0,1,2,1,1,1,382
