state	constituency	votes	candidate	party
Chhattisgarh	Bilaigarh	1820	ISHWAR KHATKAR	Independent
Chhattisgarh	Bilaigarh	1504	RAMESHWAR KHATKAR	Bahujan Samaj Mukti Morcha
Chhattisgarh	Bilaigarh	1421	KAILASHCHANDRA DEVDAS(GADA)	Bharatiya Bahujan Party
Chhattisgarh	Bilaigarh	1107	NOHAR SINGH SONWANI	Samajwadi Party
Chhattisgarh	Bilaigarh	1100	M. BHAGWAT	Rashtriya Gondvana Party
Chhattisgarh	Bilaigarh	828	MANOJ KUMAR GHRITLAHARE	Chattisgarh Swabhiman Manch
Chhattisgarh	Bilaigarh	4877	None of the Above	None of the Above
Chhattisgarh	Bilaspur	72255	AMAR  AGRAWAL	Bharatiya Janata Party
Chhattisgarh	Bilaspur	56656	VANI RAO	Indian National Congress
Chhattisgarh	Bilaspur	849	(VAKIL) VIDYA PRAKASH JANGDE	Independent
Chhattisgarh	Bilaspur	671	SITARAM SINGH	Bahujan Samaj Party
Chhattisgarh	Bilaspur	288	ANIL KUMAR GAIKWAD	Independent
Chhattisgarh	Bilaspur	272	MOHAN  MISHRA	Independent
Chhattisgarh	Bilaspur	199	MAHESH KUMAR TIWARI (MAHRAJ)	Independent
Chhattisgarh	Bilaspur	186	ENGINEER INDRASEN MOGRE	Independent
Chhattisgarh	Bilaspur	136	MOHAMMAD YUSUF	Minorities Democratic Party
Chhattisgarh	Bilaspur	116	VINEET SINGH	AARAKSHAN VIRODHI PARTY
Chhattisgarh	Bilaspur	113	BRIJNANDAN LOKHANDE	Rashtriya Gondvana Party
Chhattisgarh	Bilaspur	110	ANAND KUMAR TANDAN	Independent
Chhattisgarh	Bilaspur	105	MO. NAZARUL HAQ	Bharatiya Bahujan Party
Chhattisgarh	Bilaspur	96	SALIM KHAN	Bharatiya Sadbhawana Samaj Party
Chhattisgarh	Bilaspur	53	ENG. RAMPHAL MANDRE	Prabuddha Republican Party
Chhattisgarh	Bilaspur	3669	None of the Above	None of the Above
Chhattisgarh	Bilha	83598	SIYARAM KAUSHIK	Indian National Congress
Chhattisgarh	Bilha	72630	DHARAM  LAL KAOUSHIK	Bharatiya Janata Party
Chhattisgarh	Bilha	6843	DILIP KUMAR KOSHLE	Independent
Chhattisgarh	Bilha	2984	PARAS RAM KASHYAP	Independent
Chhattisgarh	Bilha	2567	JAGDISH  KAUSHIK	Bahujan Samaj Party
Chhattisgarh	Bilha	1486	TIRITH RAM DHIDHI	Independent
Chhattisgarh	Bilha	1116	KRISHNA KUMAR  RAJPUT	National People’s Party
Chhattisgarh	Bilha	1019	DEEPAK RAJPUT	Chattisgarh Swabhiman Manch
Chhattisgarh	Bilha	558	ASHWANI   RAJAK	Independent
Chhattisgarh	Bilha	419	TIRITH RAM NISHAD	Gondvana Gantantra Party
Chhattisgarh	Bilha	397	RAMESH KUMAR LAHRE	Communist Party of India (Marxist-Leninist) Red Star
Chhattisgarh	Bilha	384	DHANI  RAM  YADAV	Samajwadi Party
Chhattisgarh	Bilha	362	HULESHWAR NIRMALKAR	Rashtriya Gondvana Party
Chhattisgarh	Bilha	306	CHAMRA RAM KAUSHIK	Hindustan Janta Party
Chhattisgarh	Bilha	219	TULARAM SAPRE	Lok Jan Shakti Party
Chhattisgarh	Bilha	2249	None of the Above	None of the Above
Chhattisgarh	Bindranawagarh	85843	GOVARDHAN SINGH MANJHI	Bharatiya Janata Party
Chhattisgarh	Bindranawagarh	55307	JANAK  DHRUW	Indian National Congress
Chhattisgarh	Bindranawagarh	4077	DAINIK RAM MANDAVI	Independent
Chhattisgarh	Bindranawagarh	2804	RAMIN NETAM	Bahujan Samaj Party
Chhattisgarh	Bindranawagarh	2348	MAHENDRA NETAM	Gondvana Gantantra Party
Chhattisgarh	Bindranawagarh	1306	RAMESHWAR  SINGH KOMARRA	Rashtriya Aadiwasi Bahujan Party
Chhattisgarh	Bindranawagarh	1236	CHITRASEN NAGESH	National People’s Party
Chhattisgarh	Bindranawagarh	7047	None of the Above	None of the Above
Chhattisgarh	Chandrapur	51295	YUDHVIR SINGH JUDEV	Bharatiya Janata Party
Chhattisgarh	Chandrapur	45078	RAM KUMAR YADAV	Bahujan Samaj Party
Chhattisgarh	Chandrapur	42593	NOVEL KUMAR VERMA (GAVEL)	Indian National Congress
Chhattisgarh	Chandrapur	2366	RAM KUMAR YADAW SON OF MAHETTAR YADAW	Independent
Chhattisgarh	Chandrapur	1635	RAM KUMAR YADAW SON OF JETHHURAM YADAW	Independent
Chhattisgarh	Chandrapur	1521	KUNJESHWAR KUMAR RATHORE	Independent
Chhattisgarh	Chandrapur	1246	SHAYAMA BAI GAVAL	Gondvana Gantantra Party
Chhattisgarh	Chandrapur	929	PURANDHAR SAURA	National People’s Party
Chhattisgarh	Chandrapur	897	KANHAIYALAL TADON	Lok Jan Shakti Party
Chhattisgarh	Chandrapur	711	SHYAM KUMAR SAHU	Bhartiya Shakti Chetna Party
Chhattisgarh	Chandrapur	401	MADHU PRASAD MADHUKAR TRECTOR MAKAINIK	Samajwadi Party
Chhattisgarh	Chandrapur	385	C. R. KHANDE	Hindustan Janta Party
Chhattisgarh	Chandrapur	344	SHANKAR LAL KENWAT	Suheldev Bhartiya Samaj Party
Chhattisgarh	Chandrapur	312	PRAHLAD YADAV	Chhattisgarhi Samaj Party
Chhattisgarh	Chandrapur	311	GHURVA RAM MIRENDRA	Bharatiya Dalit Congress
Chhattisgarh	Chandrapur	305	DUJRAM DHIRHE	Chattisgarh Swabhiman Manch
Chhattisgarh	Chandrapur	1516	None of the Above	None of the Above
Chhattisgarh	Chitrakot	50303	DEEPAK KUMAR BAIJ	Indian National Congress
Chhattisgarh	Chitrakot	37974	BAIDURAM KASHYAP	Bharatiya Janata Party
Chhattisgarh	Chitrakot	11099	SONADHAR NAG	Communist Party of India
Chhattisgarh	Chitrakot	3627	SHANKAR RAM THAKUR	Independent
Chhattisgarh	Chitrakot	2929	HEMANT POYAM	Bahujan Samaj Party
Chhattisgarh	Chitrakot	2531	DANTI RAM POYAM	Shivsena
Chhattisgarh	Chitrakot	10848	None of the Above	None of the Above
Chhattisgarh	Dantewara	41417	DEVATI KARMA	Indian National Congress
Chhattisgarh	Dantewara	35430	BHIMARAM MANDAVI	Bharatiya Janata Party
Chhattisgarh	Dantewara	12954	BOMMADA RAM KOWASHI	Communist Party of India
Chhattisgarh	Dantewara	3008	DHURVA PODIYAMI	Bahujan Samaj Party
Chhattisgarh	Dantewara	2953	BHIMA GURUJI	Shivsena
Chhattisgarh	Dantewara	2911	SUKAL PRASHAD NAG	Independent
Chhattisgarh	Dantewara	9677	None of the Above	None of the Above
Chhattisgarh	Dhamtari	70960	GURUMUKH SINGH HORA	Indian National Congress
Chhattisgarh	Dhamtari	60460	INDER CHOPRA	Bharatiya Janata Party
Chhattisgarh	Dhamtari	9265	DAYARAM SAHU	Independent
Chhattisgarh	Dhamtari	4059	KANHAIYA LAL SAHU	Bahujan Samaj Party
Chhattisgarh	Dhamtari	1591	SANTOSH  VERMA	Independent
Chhattisgarh	Dhamtari	856	DEEPAK KUMAR AGRAWAL	Lok Jan Shakti Party
Chhattisgarh	Dhamtari	842	HIRDE LAL NETAM	Independent
Chhattisgarh	Dhamtari	629	LILA RAM SAHU	Independent
Chhattisgarh	Dhamtari	625	BIRENDRA NAG	National People’s Party
Chhattisgarh	Dhamtari	346	NAVEEN CHANDRA DIXIT	Independent
Chhattisgarh	Dhamtari	299	NEEL PATEL	Independent
Chhattisgarh	Dhamtari	292	SADIK HUSAIN	Samajwadi Party
Chhattisgarh	Dhamtari	5201	None of the Above	None of the Above
Chhattisgarh	Dharamjaigarh	79276	LALJEET SINGH RATHIA	Indian National Congress
Chhattisgarh	Dharamjaigarh	59288	OM PRAKASH RATHIA	Bharatiya Janata Party
Chhattisgarh	Dharamjaigarh	4760	RAMNATH BAIGA	Bahujan Samaj Party
Chhattisgarh	Dharamjaigarh	2517	BASIL BECK	Independent
Chhattisgarh	Dharamjaigarh	2326	TRIBHUWAN SINGH RATHIYA	Gondvana Gantantra Party
Chhattisgarh	Dharamjaigarh	2050	GULAB SINGH RATHIA	Independent
Chhattisgarh	Dharamjaigarh	1368	SHAILESH ENGINEER	Samajwadi Party
Chhattisgarh	Dharamjaigarh	6726	None of the Above	None of the Above
Chhattisgarh	Dharsiwa	69419	DEVJI BHAI PATEL	Bharatiya Janata Party
Chhattisgarh	Dharsiwa	67029	ANITA YOGENDRA SHARMA	Indian National Congress
