Sno,Candidate ID,ST_CODE,PC_CODE,ST_NAME,PC_NAME,Constituency,Candidate,Party,Criminal Case,Education,Assets,Liabilities
2755,8766,S22,2,TAMIL NADU,CHENNAI NORTH,Chennai North,JAYACHANDRAN.K.,IND,0,Not Given,0,0
2759,29,S01,18,ANDHRA PRADESH,ARAKU,Araku,Jayalakshmi Sambudu,IND,0,Not Given,0,0
2792,293,S18,2,ORISSA,SUNDARGARH,Sundargarh,Jerum Dungdung,BSP,0,Graduate,0,0
2814,3342,S12,15,MADHYA PRADESH,BALAGHAT,Balaghat,JITENDRA MESHRAM,IND,0,12th Pass,0,0
2827,6025,S25,2,WEST BENGAL,ALIPURDUARS,Alipurduars,Joachim Baxla,IND,0,Not Given,0,0
2862,1628,S11,17,KERALA,PATHANAMTHITTA,Pathanamthitta,Jyothish M R,IND,1,10th Pass,0,0
2874,1031,S01,7,ANDHRA PRADESH,MALKAJGIRI,Malkajgiri,K Bhojraj,IND,1,Not Given,0,0
2890,4351,S01,36,ANDHRA PRADESH,ANANTAPUR,Anantapur,K P NARAYANA SWAMY,IND,0,Graduate,0,0
2921,1686,S10,24,KARNATAKA,BANGALORE NORTH,Bangalore North,K. Sathyanarayana,IND,0,8th Pass,0,0
2928,4422,S01,34,ANDHRA PRADESH,NANDYAL,Nandyal,K.ARTHER PANCHARATNAM,IND,0,12th Pass,0,"10,000"
2941,6454,S10,28,KARNATAKA,KOLAR,Kolar,K.NARAYANASWAMY,IND,0,10th Pass,0,"2,30,000"
2945,1008,S01,2,ANDHRA PRADESH,PEDDAPALLE,Peddapalle,K.Rajaswar,IND,0,Not Given,0,0
2988,1971,S13,17,MAHARASHTRA,PARBHANI,Parbhani,KALE VYANKATRAO BHIMRAO,KM,0,Graduate,0,0
3011,5384,S13,26,MAHARASHTRA,MUMBAI NORTH,Mumbai North,KALYAN BHIMA GALPHADE,IND,0,Literate,0,0
3022,5458,S13,30,MAHARASHTRA,MUMBAI SOUTH-CENTRAL,Mumbai South Central,KAMAL NARAYAN WAGDHARE,RP(K),0,5th Pass,0,0
3039,5355,S13,25,MAHARASHTRA,THANE,Thane,KAMBLE SACHIN SHIRPAT,IND,0,10th Pass,0,0
3073,1079,S01,11,ANDHRA PRADESH,MAHBUBNAGAR,Mahbubnagar,Kanduri Narsimhulu,IND,0,Not Given,0,0
3074,1078,S01,11,ANDHRA PRADESH,MAHBUBNAGAR,Mahbubnagar,Kanduru Kurmaiah,IND,0,Not Given,0,0
3106,3917,S24,51,UTTAR PRADESH,PHULPUR,Phulpur,KAPIL MUNI KARWARIYA,BSP,4,Graduate Professional,0,0
3130,9166,S22,31,TAMIL NADU,SIVAGANGA,Sivaganga,KARMEGAM K,IND,0,Not Given,0,0
3133,1080,S01,11,ANDHRA PRADESH,MAHBUBNAGAR,Mahbubnagar,Karre Jangaiah,IND,0,10th Pass,0,0
3149,8948,S22,10,TAMIL NADU,DHARMAPURI,Dharmapuri,KARUPPUSAMY. S,IND,0,Not Given,0,0
3155,5178,S12,7,MADHYA PRADESH,DAMOH,Damoh,KASHIRAM ALIAS KAMLESH DHURVE,GMS,0,8th Pass,0,0
3196,825,S13,16,MAHARASHTRA,NANDED,Nanded,KHADE SANJAY WAMANRAO,PRBP,0,Not Given,0,0
3212,3592,S13,34,MAHARASHTRA,PUNE,Pune,KHAN NISSAR TAJ AHMAD,IND,0,Not Given,0,0
3214,3502,S13,18,MAHARASHTRA,JALNA,Jalna,KHANDU HARISHCHANDRA LAGHANE,IND,0,10th Pass,0,0
3218,778,S13,13,MAHARASHTRA,CHANDRAPUR,Chandrapur,KHARTAD LOMESH MAROTI,RWS,0,Not Given,0,0
3264,1243,S27,14,JHARKHAND,HAZARIBAGH,Hazaribagh,KISHOR KUMAR PANDEY,BSP,0,Not Given,0,0
3288,2485,S01,28,ANDHRA PRADESH,MACHILIPATNAM,Machilipatnam,Koppula Venkateswara Rao,LSP,0,Not Given,0,0
3324,1002,S01,2,ANDHRA PRADESH,PEDDAPALLE,Peddapalle,Krishna Sabbali,MCPI(S),0,Not Given,0,"30,000"
3331,1637,S11,18,KERALA,KOLLAM,Kollam,Krishnammal,IND,0,10th Pass,0,0
3350,8913,S22,8,TAMIL NADU,VELLORE,Vellore,KUBENDIRAN D,IND,0,Not Given,0,0
3370,8371,S22,11,TAMIL NADU,TIRUVANNAMALAI,Tiruvannamalai,KUMAR M.M,IND,0,10th Pass,0,0
3380,639,S01,10,ANDHRA PRADESH,CHEVELLA,Chevella,Kummari Giri,PPOI,0,Not Given,0,0
3509,1094,S01,11,ANDHRA PRADESH,MAHBUBNAGAR,Mahbubnagar,Laxmamma,IND,0,Not Given,0,0
3526,7507,S04,9,BIHAR,ARARIA,Araria,LAXMI SADA,IND,0,Not Given,0,0
3582,4699,S01,25,ANDHRA PRADESH,RAJAHMUNDRY,Rajahmundry,M Papi Reddy,TPPP,1,10th Pass,0,0
3597,5922,S10,16,KARNATAKA,HASSAN,Hassan,M. MAHESH (HARSHA),IND,0,Not Given,0,0
3598,5950,S10,13,KARNATAKA,DAVANAGERE,Davanagere,M. NAGARAJAPPA,IND,0,10th Pass,0,"20,000"
3606,1084,S01,11,ANDHRA PRADESH,MAHBUBNAGAR,Mahbubnagar,M.A.Jabbar,IND,0,Not Given,0,0
3619,6456,S10,28,KARNATAKA,KOLAR,Kolar,M.RAVI KUMAR,IND,0,8th Pass,0,0
3630,8270,S28,4,UTTARAKHAND,NAINITAL-UDHAMSINGH NAGAR,Nainital-Udhamsingh Nagar,MADAN SINGH MER,LJP,0,Not Given,0,0
3631,500,S26,6,CHHATTISGARH,RAJNANDGAON,Rajnandgaon,Madan Yadav,IND,0,Not Given,0,0
3645,224,S13,13,MAHARASHTRA,CHANDRAPUR,Chandrapur,MADHUKAR VITTHALRAO NISTANE,IND,1,Graduate,0,0
3670,8502,S22,22,TAMIL NADU,DINDIGUL,Dindigul,MAHAMUNI S,IND,0,10th Pass,0,0
3686,1249,S27,14,JHARKHAND,HAZARIBAGH,Hazaribagh,MAHENDRA KISHORE MEHTA,IND,0,Not Given,0,0
3691,5320,S13,23,MAHARASHTRA,BHIWANDI,Bhiwandi,MAHENDRA R. MOHITE,IND,0,10th Pass,0,0
