ID,Key,Type,Value,Year
4441,302,IPC,1,2014
4441,147,IPC,1,2014
4441,148,IPC,1,2014
4441,149,IPC,1,2014
632,477,IPC,1,2014
632,468,IPC,1,2014
632,406,IPC,1,2014
632,408,IPC,1,2014
632,409,IPC,1,2014
632,34,IPC,1,2014
814,143,IPC,1,2014
814,286,IPC,1,2014
814,186,IPC,1,2014
3326,341,IPC,1,2014
3326,143,IPC,1,2014
5596,306,IPC,1,2014
5596,34,IPC,1,2014
3360,324,IPC,1,2014
3360,506,IPC,1,2014
3360,188,IPC,3,2014
3360,143,IPC,3,2014
3360,504,IPC,3,2014
3360,147,IPC,2,2014
3360,323,IPC,2,2014
3360,341,IPC,2,2014
3360,417,IPC,1,2014
3360,149,IPC,1,2014
3360,353,IPC,1,2014
3360,106,IPC,1,2014
3360,447,IPC,1,2014
3360,14,IPC,1,2014
3360,343,IPC,1,2014
3360,336,IPC,1,2014
4674,147,IPC,1,2014
4674,148,IPC,1,2014
4674,149,IPC,1,2014
4674,323,IPC,1,2014
7075,147,IPC,1,2014
7075,188,IPC,1,2014
7075,341,IPC,1,2014
7075,285,IPC,1,2014
3403,341,IPC,1,2014
3403,143,IPC,1,2014
3403,149,IPC,1,2014
7239,420,IPC,2,2014
7239,467,IPC,2,2014
7239,468,IPC,2,2014
7239,471,IPC,2,2014
7239,34,IPC,2,2014
7239,465,IPC,1,2014
5960,395,IPC,1,2014
5960,397,IPC,1,2014
5960,398,IPC,1,2014
5960,401,IPC,1,2014
5960,409,IPC,1,2014
5960,304,IPC,1,2014
5960,402,IPC,1,2014
5960,467,IPC,1,2014
5960,341,IPC,1,2014
5960,141,IPC,1,2014
5960,144,IPC,1,2014
5960,147,IPC,1,2014
5960,148,IPC,1,2014
5960,149,IPC,1,2014
5960,427,IPC,1,2014
5960,182,IPC,1,2014
5960,166,IPC,1,2014
5960,167,IPC,1,2014
5960,177,IPC,1,2014
5960,471,IPC,1,2014
5960,199,IPC,1,2014
5960,200,IPC,1,2014
5960,34,IPC,1,2014
5960,120,IPC,1,2014
2834,147,IPC,1,2014
2834,145,IPC,1,2014
2834,149,IPC,1,2014
2834,447,IPC,1,2014
2834,427,IPC,1,2014
3972,255,IPC,1,2014
3972,147,IPC,1,2014
3972,149,IPC,1,2014
3972,283,IPC,1,2014
3972,341,IPC,1,2014
3972,323,IPC,1,2014
3972,427,IPC,1,2014
3972,504,IPC,1,2014
3241,420,IPC,1,2014
3241,406,IPC,1,2014
3241,467,IPC,1,2014
3241,468,IPC,1,2014
3241,120,IPC,1,2014
3241,465,IPC,1,2014
3241,471,IPC,1,2014
809,506,IPC,1,2014
809,147,IPC,1,2014
809,294,IPC,1,2014
809,323,IPC,1,2014
809,427,IPC,1,2014
809,149,IPC,1,2014
680,171,IPC,1,2014
680,188,IPC,1,2014
161,218,IPC,1,2014
161,471,IPC,1,2014
161,465,IPC,1,2014
624,506,IPC,1,2014
624,448,IPC,1,2014
624,353,IPC,1,2014
624,504,IPC,1,2014
624,109,IPC,1,2014
585,511,IPC,1,2014
585,147,IPC,1,2014
585,149,IPC,1,2014
585,186,IPC,1,2014
585,447,IPC,1,2014
4838,506,IPC,1,2014
4838,447,IPC,1,2014
4838,427,IPC,1,2014
4838,34,IPC,1,2014
4350,506,IPC,1,2014
4350,449,IPC,1,2014
4350,307,IPC,1,2014
4350,353,IPC,3,2014
4350,147,IPC,2,2014
4350,143,IPC,2,2014
4350,427,IPC,2,2014
4350,447,IPC,1,2014
4350,34,IPC,1,2014
4350,37,IPC,1,2014
4350,186,IPC,1,2014
4350,149,IPC,1,2014
4350,148,IPC,1,2014
4350,283,IPC,1,2014
2569,384,IPC,3,2014
2569,506,IPC,3,2014
2569,511,IPC,2,2014
2569,504,IPC,3,2014
2569,500,IPC,3,2014
2569,447,IPC,2,2014
2569,502,IPC,1,2014
2569,499,IPC,1,2014
2569,501,IPC,1,2014
2569,34,IPC,1,2014
2977,307,IPC,1,2014
2977,147,IPC,1,2014
2977,148,IPC,1,2014
2977,149,IPC,1,2014
2977,336,IPC,1,2014
328,143,IPC,10,2014
328,149,IPC,10,2014
328,283,IPC,10,2014
328,147,IPC,8,2014
328,188,IPC,7,2014
328,151,IPC,3,2014
297,143,IPC,1,2014
297,283,IPC,1,2014
297,149,IPC,1,2014
480,324,IPC,1,2014
480,435,IPC,1,2014
480,436,IPC,1,2014
480,452,IPC,1,2014
480,307,IPC,1,2014
480,353,IPC,2,2014
480,188,IPC,1,2014
480,504,IPC,1,2014
480,144,IPC,1,2014
480,341,IPC,1,2014
480,342,IPC,1,2014
480,147,IPC,1,2014
480,148,IPC,1,2014
480,323,IPC,1,2014
480,427,IPC,1,2014
480,479,IPC,1,2014
480,321,IPC,1,2014
480,509,IPC,1,2014
2763,188,IPC,1,2014
2763,296,IPC,1,2014
2763,298,IPC,1,2014
2763,34,IPC,1,2014
5156,332,IPC,1,2014
5156,506,IPC,1,2014
5156,147,IPC,3,2014
5156,323,IPC,3,2014
5156,143,IPC,2,2014
5156,427,IPC,2,2014
5156,353,IPC,2,2014
5156,341,IPC,2,2014
5156,188,IPC,1,2014
5156,342,IPC,1,2014
5156,186,IPC,1,2014
5156,500,IPC,1,2014
5156,148,IPC,1,2014
5156,504,IPC,1,2014
5156,114,IPC,1,2014
5156,117,IPC,1,2014
5156,149,IPC,1,2014
4152,420,IPC,1,2014
4152,406,IPC,1,2014
4152,409,IPC,1,2014
4152,467,IPC,1,2014
4152,468,IPC,1,2014
4152,474,IPC,1,2014
4152,34,IPC,3,2014
4152,341,IPC,2,2014
4152,323,IPC,2,2014
4152,342,IPC,1,2014
4152,504,IPC,1,2014
4152,188,IPC,1,2014
4152,471,IPC,1,2014
4152,120,IPC,1,2014
4231,420,IPC,3,2014
4231,406,IPC,1,2014
4231,120,IPC,1,2014
920,143,IPC,2,2014
920,341,IPC,2,2014
5822,141,IPC,1,2014
5822,341,IPC,1,2014
943,406,IPC,2,2014
943,143,IPC,1,2014
943,341,IPC,1,2014
943,42,IPC,1,2014
943,427,IPC,1,2014
943,336,IPC,1,2014
943,117,IPC,1,2014
943,504,IPC,1,2014
943,500,IPC,1,2014
7063,500,IPC,1,2014
331,143,IPC,1,2014
331,147,IPC,1,2014
331,149,IPC,1,2014
331,188,IPC,1,2014
331,283,IPC,1,2014
4019,379,IPC,1,2014
4019,147,IPC,1,2014
4019,148,IPC,1,2014
4019,149,IPC,1,2014
4019,447,IPC,1,2014
4019,353,IPC,1,2014
4019,427,IPC,1,2014
1991,506,IPC,1,2014
1991,409,IPC,1,2014
1991,420,IPC,1,2014
1991,143,IPC,1,2014
1991,147,IPC,1,2014
1991,504,IPC,1,2014
1991,341,IPC,1,2014
1991,149,IPC,1,2014
1991,120,IPC,1,2014
1991,403,IPC,1,2014
1854,457,IPC,1,2014
1854,451,IPC,1,2014
1854,323,IPC,1,2014
2472,186,IPC,1,2014
2472,353,IPC,1,2014
4811,420,IPC,1,2014
4811,467,IPC,1,2014
4811,468,IPC,1,2014
4811,201,IPC,1,2014
4811,138,IPC,1,2014
4811,120,IPC,1,2014
4811,34,IPC,1,2014
4811,323,IPC,1,2014
3327,332,IPC,1,2014
3327,333,IPC,1,2014
3327,143,IPC,5,2014
3327,341,IPC,3,2014
3327,323,IPC,2,2014
3327,448,IPC,1,2014
3327,504,IPC,1,2014
