Candidate,Constituency,Criminal Cases,Education,ID,Party,Sno,Total Assets,Total Liabilities,Year,ST_CODE,PC_CODE
Sarita Soni,BILASPUR,0,12th Pass,4511,IND,6507,1676000,0,2014,S26,5
Sarju Prasad Shukla,DURG,0,10th Pass,5390,IND,6508,15887210,770000,2014,S26,7
Sarkate Devidas Piraji,NASHIK,0,12th Pass,5954,IND,6509,57301,0,2014,S13,21
Sarode Popat Rambhau,SHIRDI,0,12th Pass,3409,Lok Bharati,6510,272400,250000,2014,S13,38
Saroj Katiyar Kurmi,SAGAR,0,Post Graduate,3003,BSP,6511,24415594,1590878,2014,S12,5
Saroj Kumar,HARDOI,0,12th Pass,5012,IND,6512,2776000,1520000,2014,S24,31
Saroj Kumar Naik,KALAHANDI,0,Graduate,1157,BSP,6513,5880000,120000,2014,S18,11
Saroj Kumar Panda,BALASORE,0,Graduate,3238,IND,6514,570000,0,2014,S18,6
Saroj Ram,SASARAM,0,Graduate Professional,365,Bahujan Mukti Party,6515,2255786,80350,2014,S04,34
Sartaj Imaam,BHADOHI,0,Graduate,8049,INC,6516,19145000,2000000,2014,S24,78
Sartaj Khan,SULTANPUR,0,8th Pass,8114,Apna Desh Party,6517,240000,0,2014,S24,38
Sarubala R Thondaiman,TIRUCHIRAPPALLI,0,Post Graduate,7437,INC,6518,570772432,1513575,2014,S22,24
Sarvesh,HARDOI,0,10th Pass,5009,IND,6519,3956424,270000,2014,S24,31
Sarvesh Dubey,MIRZAPUR,0,Graduate,9716,RPI(A),6520,1047500,445000,2014,S24,79
Sarvesh Kumar,HARDOI,2,Graduate,4398,INC,6521,2917101,0,2014,S24,31
Sarvesh Kumar Gupta,VARANASI,0,12th Pass,9763,IND,6522,171966,0,2014,S24,77
Sarvesh Kumar Saini,AMROHA,2,10th Pass,4085,SHS,6523,12800000,800000,2014,S24,9
Sarvey Sathyanarayana,MALKAJGIRI,2,Graduate Professional,7844,INC,6524,32275736,4195312,2014,S01,7
Sarwat Jahre Ansari,ARARIA,0,Post Graduate,4458,Samajwadi Janata Party (Rashtriya),6525,296000,0,2014,S04,9
Saseendran,VADAKARA,0,5th Pass,1845,BSP,6526,3271000,250000,2014,S11,3
Sasi Kumar .S,RAMANATHAPURAM,0,Not Given,7169,IND,6527,279000,0,2014,S22,35
Sasidharan K V,KANNUR,0,Post Graduate,1810,AAP,6528,2730285,360000,2014,S11,2
Sasikala K S,MAVELIKKARA,0,12th Pass,12,SUCI(C),6529,2700,0,2014,S11,16
Sasikkuttan Vakathanam,KOTTAYAM,0,10th Pass,705,CPI(ML) Red star,6530,361750,0,2014,S11,14
Sasti Chandra Sarkar,BALURGHAT,0,10th Pass,4829,Rashtriya Janadhikar Suraksha Party,6531,488095,203335,2014,S25,6
Satabdi Roy(Banerjee),BIRBHUM,0,Graduate,6022,AITC,6532,54972174,5478944,2014,S25,42
Satandra Singh (Tony Tomar),MORENA,0,Literate,2985,IND,6533,238000,0,2014,S12,1
Satav Atmaram Raghoji,HINGOLI,0,8th Pass,3527,IND,6534,500,500,2014,S13,15
Satav Raju Shankar,HINGOLI,1,Literate,3528,IND,6535,139000,0,2014,S13,15
Satbir,HISAR,0,5th Pass,431,IND,6536,4959708,0,2014,S07,4
Satendra Baitha,GOPALGANJ,0,10th Pass,9459,IND,6537,696174,0,2014,S04,17
Satendra Sharma,TEHRI GARHWAL,0,Graduate,7968,Naya Daur Party,6538,0,0,2014,S28,1
Satendra Veer Singh Chauhan,MAINPURI,0,Post Graduate,5049,AIFB,6539,2621288,40000,2014,S24,21
Satheesh Chandran,WAYANAD,0,Literate,1851,AITC,6540,112000,0,2014,S11,4
Satheesh Kumar E,SALEM,0,Post Graduate,4292,AAP,6541,11428000,2416872,2014,S22,15
Sathi Bashir Ahmed Bashamiyan Shaikh,MADHA,0,Literate,3579,IND,6542,2054596,16968,2014,S13,43
Sathiah .G,RAMANATHAPURAM,0,Graduate,7170,IND,6543,940000,0,2014,S22,35
Sathish Kumar .L,POLLACHI,0,Post Graduate,7139,SP,6544,497545,0,2014,S22,21
